prix,date
18.68,2021-10-10
19.0,2021-10-11
19.0,2021-10-12
18.91,2021-10-13
18.78,2021-10-14
18.56,2021-10-15
19.73,2021-10-16
18.22,2021-10-17
18.19,2021-10-18
19.7,2021-10-19
17.83,2021-10-20
19.0,2021-10-21
17.98,2021-10-22
18.0,2021-10-23
19.0,2021-10-24
19.14,2021-10-25
17.99,2021-10-26
18.61,2021-10-27
17.94,2021-10-28
19.0344,2021-10-29
19.0,2021-10-30
18.95,2021-10-31
19.0,2021-10-9
19.0344,2021-11-1
18.68,2021-11-10
18.68,2021-11-11
18.49,2021-11-12
19.1,2021-11-13
19.19,2021-11-14
19.2,2021-11-15
19.19,2021-11-16
18.56,2021-11-17
20.4,2021-11-18
19.19,2021-11-19
18.67,2021-11-2
19.19,2021-11-20
19.9,2021-11-21
19.9,2021-11-22
19.9,2021-11-23
21.09,2021-11-24
21.09,2021-11-25
21.0,2021-11-26
21.0,2021-11-27
19.7,2021-11-28
20.0,2021-11-29
19.0344,2021-11-3
20.0,2021-11-30
18.68,2021-11-4
18.64,2021-11-5
19.09,2021-11-6
19.49,2021-11-7
19.25,2021-11-8
18.79,2021-11-9
20.49,2021-12-1
20.62,2021-12-10
22.9,2021-12-11
19.95,2021-12-12
19.99,2021-12-13
20.15,2021-12-14
20.15,2021-12-15
19.96,2021-12-16
20.15,2021-12-17
19.58,2021-12-18
21.5,2021-12-19
20.0,2021-12-2
21.5,2021-12-20
20.0,2021-12-21
21.5,2021-12-22
21.4,2021-12-23
21.35,2021-12-24
20.35,2021-12-25
21.35,2021-12-26
21.35,2021-12-27
20.4166,2021-12-28
20.4166,2021-12-29
20.0,2021-12-3
20.4166,2021-12-30
20.4166,2021-12-31
20.0,2021-12-4
20.0,2021-12-5
19.5384,2021-12-6
18.9208,2021-12-7
19.73,2021-12-8
20.2725,2021-12-9
20.4166,2022-1-1
21.1,2022-1-10
21.1,2022-1-11
20.42,2022-1-12
20.42,2022-1-13
21.1,2022-1-14
21.1,2022-1-15
21.1,2022-1-16
21.89,2022-1-17
22.256,2022-1-18
22.18,2022-1-19
20.4166,2022-1-2
21.5883,2022-1-20
20.42,2022-1-21
20.9,2022-1-22
20.1938,2022-1-23
20.1938,2022-1-24
19.69,2022-1-25
19.69,2022-1-26
19.69,2022-1-27
19.69,2022-1-28
20.35,2022-1-29
20.4166,2022-1-3
20.3618,2022-1-30
19.9546,2022-1-31
21.59,2022-1-4
21.89,2022-1-5
21.15,2022-1-6
20.61,2022-1-7
21.1,2022-1-8
21.1,2022-1-9
19.9546,2022-2-1
21.4392,2022-2-10
21.288799999999995,2022-2-11
21.7504,2022-2-12
21.5783,2022-2-13
22.0,2022-2-14
22.0,2022-2-15
20.66,2022-2-16
20.26,2022-2-17
22.0,2022-2-18
22.0,2022-2-19
20.4,2022-2-2
22.0,2022-2-20
22.0,2022-2-21
21.3552,2022-2-22
21.3552,2022-2-23
21.3552,2022-2-24
21.3552,2022-2-25
21.3552,2022-2-26
20.27,2022-2-27
21.3552,2022-2-28
20.65,2022-2-3
20.6999,2022-2-4
22.47,2022-2-5
22.196000000000005,2022-2-6
21.8206,2022-2-7
21.5002,2022-2-8
21.2142,2022-2-9
21.25,2022-3-1
20.85,2022-3-10
22.9425,2022-3-11
21.14,2022-3-12
22.6296,2022-3-13
22.214700000000004,2022-3-14
22.7487,2022-3-15
22.5276,2022-3-16
22.3451,2022-3-17
22.3169,2022-3-18
21.11,2022-3-2
21.9916,2022-3-21
21.99,2022-3-22
21.99,2022-3-23
21.99,2022-3-24
21.51,2022-3-25
22.69,2022-3-26
22.0,2022-3-27
21.5,2022-3-28
21.5,2022-3-29
20.98,2022-3-3
21.22,2022-3-30
21.5,2022-3-31
21.3552,2022-3-4
21.3552,2022-3-5
21.3552,2022-3-6
21.99,2022-3-7
21.99,2022-3-8
21.99,2022-3-9
