prix,date
30.92,2021-10-10
30.15,2021-10-11
30.27,2021-10-12
31.4716,2021-10-13
29.66,2021-10-14
30.93,2021-10-15
29.74,2021-10-16
29.2,2021-10-17
29.72,2021-10-18
29.29,2021-10-19
30.09,2021-10-20
29.99,2021-10-21
28.84,2021-10-22
29.14,2021-10-23
28.94,2021-10-24
29.55,2021-10-25
29.91,2021-10-26
28.9,2021-10-27
29.91,2021-10-28
30.0,2021-10-29
29.6003,2021-10-30
30.0,2021-10-31
30.42,2021-10-9
33.0,2021-11-1
30.11,2021-11-10
30.9967,2021-11-11
31.5315,2021-11-12
30.26,2021-11-13
31.35,2021-11-14
31.3,2021-11-15
31.29,2021-11-16
31.29,2021-11-17
35.05,2021-11-18
30.72,2021-11-19
31.95,2021-11-2
30.33,2021-11-20
31.73,2021-11-21
32.2,2021-11-22
30.0,2021-11-23
31.49,2021-11-24
31.45,2021-11-25
31.44,2021-11-26
30.5,2021-11-27
31.45,2021-11-28
31.44,2021-11-29
30.68,2021-11-3
31.45,2021-11-30
31.9,2021-11-4
29.63,2021-11-5
30.06,2021-11-6
29.94,2021-11-7
29.83,2021-11-8
31.2826,2021-11-9
35.0,2021-12-1
33.0,2021-12-10
35.0,2021-12-11
32.61,2021-12-12
34.04,2021-12-13
34.04,2021-12-14
34.65,2021-12-15
34.65,2021-12-16
34.65,2021-12-17
34.0,2021-12-18
34.65,2021-12-19
32.0,2021-12-2
34.0,2021-12-20
34.0,2021-12-21
34.0,2021-12-22
34.0,2021-12-23
34.0,2021-12-24
29.58,2021-12-25
29.58,2021-12-26
34.0,2021-12-27
34.0,2021-12-28
29.58,2021-12-29
31.87,2021-12-3
35.94,2021-12-30
35.95,2021-12-31
32.0,2021-12-4
32.0,2021-12-5
32.0,2021-12-6
32.0,2021-12-7
32.0,2021-12-8
35.05,2021-12-9
35.95,2022-1-1
34.155,2022-1-10
34.155,2022-1-11
34.155,2022-1-12
34.155,2022-1-13
29.57,2022-1-14
34.155,2022-1-15
34.155,2022-1-16
29.57,2022-1-17
35.79,2022-1-18
37.0,2022-1-19
35.95,2022-1-2
36.375,2022-1-20
35.2838,2022-1-21
34.2253,2022-1-22
33.1985,2022-1-23
33.1985,2022-1-24
33.95,2022-1-25
33.95,2022-1-26
33.95,2022-1-27
33.95,2022-1-28
33.34,2022-1-29
29.58,2022-1-3
33.39,2022-1-30
33.34,2022-1-31
35.95,2022-1-4
37.95,2022-1-5
29.57,2022-1-6
37.95,2022-1-7
29.57,2022-1-8
33.99,2022-1-9
32.41,2022-2-1
36.99,2022-2-10
35.34,2022-2-11
35.34,2022-2-12
35.34,2022-2-13
35.2125,2022-2-14
35.2125,2022-2-15
32.78,2022-2-16
35.34,2022-2-17
35.34,2022-2-18
33.96,2022-2-19
33.95,2022-2-2
33.99,2022-2-20
37.45,2022-2-21
33.7,2022-2-22
33.35,2022-2-23
33.21,2022-2-24
36.0,2022-2-25
36.0,2022-2-26
37.45,2022-2-27
32.99,2022-2-28
32.34,2022-2-3
36.99,2022-2-4
34.0,2022-2-5
34.0,2022-2-6
34.0,2022-2-7
34.0,2022-2-8
34.0,2022-2-9
32.99,2022-3-1
34.43,2022-3-10
36.84,2022-3-11
36.09,2022-3-12
34.49,2022-3-13
36.18,2022-3-14
36.18,2022-3-15
34.23,2022-3-16
36.18,2022-3-17
34.2575,2022-3-18
34.98,2022-3-2
35.29,2022-3-21
36.0,2022-3-22
35.17,2022-3-23
34.95,2022-3-24
36.0,2022-3-25
34.75,2022-3-26
37.45,2022-3-27
36.7425,2022-3-28
36.7425,2022-3-29
34.98,2022-3-3
36.7425,2022-3-30
34.34,2022-3-31
33.9023,2022-3-4
34.98,2022-3-5
33.19,2022-3-6
33.8386,2022-3-7
35.41,2022-3-8
35.41,2022-3-9
37.25,2022-4-4
35.24,2022-4-5
37.185,2022-4-6
