,0,1
0,9.7,2021-10-10
1,9.37,2021-10-11
2,9.2,2021-10-12
3,9.48,2021-10-13
4,9.29,2021-10-14
5,9.37,2021-10-15
6,9.38,2021-10-16
7,9.02,2021-10-17
8,9.19,2021-10-18
9,9.0,2021-10-19
10,9.47,2021-10-20
11,8.77,2021-10-21
12,8.94,2021-10-22
13,8.939,2021-10-23
14,9.47,2021-10-24
15,8.9,2021-10-25
16,9.5,2021-10-26
17,9.8851,2021-10-27
18,9.9101,2021-10-28
19,9.55,2021-10-29
20,9.69,2021-10-30
21,9.5,2021-10-31
22,9.79,2021-10-9
23,9.48,2021-11-1
24,9.73,2021-11-10
25,10.2,2021-11-11
26,10.15,2021-11-12
27,10.15,2021-11-13
28,10.0,2021-11-14
29,10.0,2021-11-15
30,9.99,2021-11-16
31,9.9,2021-11-17
32,9.99,2021-11-18
33,10.05,2021-11-19
34,9.69,2021-11-2
35,9.9,2021-11-20
36,9.51,2021-11-21
37,9.89,2021-11-22
38,9.88,2021-11-23
39,9.7812,2021-11-24
40,9.77,2021-11-25
41,9.77,2021-11-26
42,9.5179,2021-11-27
43,9.0,2021-11-28
44,9.68,2021-11-29
45,9.65,2021-11-3
46,9.68,2021-11-30
47,10.35,2021-11-4
48,9.89,2021-11-5
49,9.47,2021-11-6
50,9.48,2021-11-7
51,10.5,2021-11-8
52,10.5,2021-11-9
53,9.68,2021-12-1
54,10.65,2021-12-10
55,10.65,2021-12-11
56,10.09,2021-12-12
57,10.0,2021-12-13
58,10.0,2021-12-14
59,10.0,2021-12-15
60,10.0,2021-12-16
61,9.91,2021-12-17
62,9.91,2021-12-18
63,9.89,2021-12-19
64,9.68,2021-12-2
65,9.89,2021-12-20
66,9.89,2021-12-21
67,9.89,2021-12-22
68,9.89,2021-12-23
69,9.89,2021-12-24
70,9.8,2021-12-25
71,10.5,2021-12-26
72,10.5,2021-12-27
73,10.4,2021-12-28
74,10.3,2021-12-29
75,9.3285,2021-12-3
76,10.3,2021-12-30
77,10.3,2021-12-31
78,9.5767,2021-12-4
79,9.8,2021-12-5
80,10.5,2021-12-6
81,10.79,2021-12-7
82,10.65,2021-12-8
83,10.65,2021-12-9
84,10.4,2022-1-1
85,11.1764,2022-1-10
86,11.1764,2022-1-11
87,10.97,2022-1-12
88,10.97,2022-1-13
89,10.965,2022-1-14
90,10.95,2022-1-15
91,10.93,2022-1-16
92,10.5,2022-1-17
93,10.49,2022-1-18
94,10.6,2022-1-19
95,10.24,2022-1-2
96,10.6,2022-1-20
97,10.45,2022-1-21
98,10.2,2022-1-22
99,10.0144,2022-1-23
100,10.0144,2022-1-24
101,10.25,2022-1-25
102,10.25,2022-1-26
103,10.25,2022-1-27
104,10.12,2022-1-28
105,10.2,2022-1-29
106,10.22,2022-1-3
107,10.2,2022-1-30
108,10.2,2022-1-31
109,10.4,2022-1-4
110,10.7,2022-1-5
111,10.7,2022-1-6
112,10.99,2022-1-7
113,11.0,2022-1-8
114,11.0,2022-1-9
115,10.2,2022-2-1
116,10.4,2022-2-10
117,10.0,2022-2-11
118,10.0,2022-2-12
119,10.0,2022-2-13
120,10.0,2022-2-14
121,10.0,2022-2-15
122,10.0,2022-2-16
123,10.0,2022-2-17
124,10.0,2022-2-18
125,10.0,2022-2-19
126,10.2,2022-2-2
127,10.0,2022-2-20
128,10.0906,2022-2-21
129,10.053,2022-2-22
130,10.0256,2022-2-23
131,10.0077,2022-2-24
132,10.0002,2022-2-25
133,10.0,2022-2-26
134,10.0,2022-2-27
135,9.98,2022-2-28
136,10.2,2022-2-3
137,10.2,2022-2-4
138,10.542,2022-2-5
139,10.542,2022-2-6
140,10.4,2022-2-7
141,10.4,2022-2-8
142,10.4,2022-2-9
143,10.3,2022-3-1
144,10.3,2022-3-10
145,10.3,2022-3-11
146,10.3,2022-3-12
147,10.3,2022-3-13
148,10.3,2022-3-14
149,10.3,2022-3-15
150,10.3,2022-3-16
151,10.3,2022-3-17
152,10.3,2022-3-18
153,10.3,2022-3-2
154,10.3,2022-3-21
155,10.2928,2022-3-22
156,10.3,2022-3-23
157,10.3,2022-3-24
158,9.9779,2022-3-25
159,9.6622,2022-3-26
160,10.6,2022-3-27
161,10.650700000000002,2022-3-28
162,10.5196,2022-3-29
163,10.3,2022-3-3
164,10.5196,2022-3-30
165,10.5196,2022-3-31
166,10.3,2022-3-4
167,10.3,2022-3-5
168,10.2049,2022-3-6
169,9.8409,2022-3-7
170,10.3,2022-3-8
171,10.39,2022-3-9
172,10.49,2022-4-4
173,10.65,2022-4-5
174,10.9,2022-4-6
