prix,date
3.19,2021-10-10
3.65,2021-10-11
3.14,2021-10-12
4.99,2021-10-13
3.01,2021-10-14
3.75,2021-10-15
3.1,2021-10-16
3.75,2021-10-17
4.99,2021-10-18
3.08,2021-10-19
2.99,2021-10-20
3.02,2021-10-21
2.96,2021-10-22
4.99,2021-10-23
3.07,2021-10-24
3.5,2021-10-25
4.99,2021-10-26
3.22,2021-10-27
5.9485,2021-10-28
5.9485,2021-10-29
3.16,2021-10-30
5.9485,2021-10-31
3.17,2021-10-9
3.38,2021-11-1
4.2,2021-11-10
3.54,2021-11-11
3.68,2021-11-12
3.68,2021-11-13
3.81,2021-11-14
3.74,2021-11-15
3.4272000000000005,2021-11-16
3.67,2021-11-17
3.67,2021-11-18
3.65,2021-11-19
3.49,2021-11-2
3.9,2021-11-20
3.94,2021-11-21
3.86,2021-11-22
3.69,2021-11-23
3.8325,2021-11-24
3.73,2021-11-25
4.45,2021-11-26
3.8,2021-11-27
3.8,2021-11-28
3.615,2021-11-29
3.52,2021-11-3
3.66,2021-11-30
4.1,2021-11-4
4.5,2021-11-5
3.55,2021-11-6
3.55,2021-11-7
4.1,2021-11-8
3.68,2021-11-9
3.8,2021-12-1
3.79,2021-12-10
4.1,2021-12-11
3.67,2021-12-12
3.61,2021-12-13
4.5,2021-12-14
4.1,2021-12-15
3.55,2021-12-16
4.5,2021-12-17
3.55,2021-12-18
3.63,2021-12-19
3.88,2021-12-2
4.5,2021-12-20
4.45,2021-12-21
3.58,2021-12-22
4.1,2021-12-23
4.1,2021-12-24
3.56,2021-12-25
3.55,2021-12-26
4.1,2021-12-27
4.1,2021-12-28
4.4056,2021-12-29
4.0,2021-12-3
4.1648,2021-12-30
3.9511,2021-12-31
4.0,2021-12-4
4.0,2021-12-5
3.67,2021-12-6
3.6,2021-12-7
4.0,2021-12-8
4.0,2021-12-9
3.7606,2022-1-1
4.0018,2022-1-10
4.0,2022-1-11
3.43,2022-1-12
3.38,2022-1-13
3.99,2022-1-14
3.99,2022-1-15
3.9,2022-1-16
3.9,2022-1-17
3.8,2022-1-18
3.28,2022-1-19
3.7184,2022-1-2
3.8,2022-1-20
3.31,2022-1-21
3.33,2022-1-22
3.8,2022-1-23
3.79,2022-1-24
3.79,2022-1-25
3.34,2022-1-26
3.79,2022-1-27
3.54,2022-1-28
3.79,2022-1-29
3.5716,2022-1-3
3.7803,2022-1-30
3.4,2022-1-31
3.575,2022-1-4
4.087,2022-1-5
4.0477,2022-1-6
4.02,2022-1-7
4.0291,2022-1-8
4.0106,2022-1-9
3.4,2022-2-1
3.69,2022-2-10
3.41,2022-2-11
3.27,2022-2-12
3.32,2022-2-13
3.69,2022-2-14
4.25,2022-2-15
4.25,2022-2-16
3.39,2022-2-17
3.38,2022-2-18
4.25,2022-2-19
3.49,2022-2-2
4.25,2022-2-20
4.25,2022-2-21
3.34,2022-2-22
4.25,2022-2-23
3.35,2022-2-24
3.24,2022-2-25
4.25,2022-2-26
5.3,2022-2-27
4.0589,2022-2-28
3.4,2022-2-3
3.4,2022-2-4
3.49,2022-2-5
3.39,2022-2-6
3.69,2022-2-7
3.36,2022-2-8
3.34,2022-2-9
3.8607,2022-3-1
3.3225,2022-3-10
3.3225,2022-3-11
3.3225,2022-3-12
3.4,2022-3-13
4.0,2022-3-14
3.02,2022-3-15
4.0,2022-3-16
3.2025,2022-3-17
2.9962,2022-3-18
3.6752,2022-3-2
2.9925,2022-3-21
2.94,2022-3-22
3.09,2022-3-23
2.82,2022-3-24
2.8624,2022-3-25
2.9063,2022-3-26
2.94,2022-3-27
2.94,2022-3-28
2.94,2022-3-29
3.5059,2022-3-3
2.8883,2022-3-30
2.94,2022-3-31
3.3225,2022-3-4
3.2099,2022-3-5
3.3225,2022-3-6
3.3225,2022-3-7
3.3225,2022-3-8
3.3225,2022-3-9
2.9925,2022-4-4
