,0,1
0,42.38,2021-10-10
1,45.74,2021-10-11
2,40.03,2021-10-12
3,40.64,2021-10-13
4,40.66,2021-10-14
5,42.51,2021-10-15
6,41.57,2021-10-16
7,38.72,2021-10-17
8,42.06,2021-10-18
9,41.16,2021-10-19
10,40.26,2021-10-20
11,39.94,2021-10-21
12,38.65,2021-10-22
13,39.6,2021-10-23
14,39.58,2021-10-24
15,39.09,2021-10-25
16,38.66,2021-10-26
17,38.95,2021-10-27
18,39.96,2021-10-28
19,40.51,2021-10-29
20,40.5,2021-10-30
21,40.49,2021-10-31
22,42.18,2021-10-9
23,43.93,2021-11-1
24,43.84,2021-11-11
25,42.17,2021-11-12
26,49.46,2021-11-13
27,42.02,2021-11-14
28,41.89,2021-11-15
29,41.88,2021-11-16
30,42.17,2021-11-17
31,43.35,2021-11-18
32,42.88,2021-11-19
33,40.51,2021-11-2
34,44.5,2021-11-20
35,44.35,2021-11-21
36,44.2,2021-11-22
37,44.33,2021-11-23
38,43.9,2021-11-24
39,43.93,2021-11-25
40,44.23,2021-11-26
41,42.28,2021-11-27
42,44.29,2021-11-28
43,43.43,2021-11-29
44,40.45,2021-11-3
45,43.9,2021-11-30
46,40.99,2021-11-4
47,41.31,2021-11-5
48,42.48,2021-11-6
49,44.0,2021-11-7
50,41.88,2021-11-8
51,42.22,2021-11-9
52,44.76,2021-12-1
53,46.35,2021-12-10
54,46.35,2021-12-11
55,46.3,2021-12-12
56,44.85,2021-12-13
57,46.35,2021-12-14
58,46.35,2021-12-15
59,48.47,2021-12-16
60,47.13,2021-12-17
61,48.47,2021-12-18
62,46.7,2021-12-19
63,44.27,2021-12-2
64,46.7,2021-12-20
65,46.68,2021-12-21
66,46.63,2021-12-22
67,46.59,2021-12-23
68,46.55,2021-12-24
69,46.5,2021-12-25
70,46.43,2021-12-26
71,46.37,2021-12-27
72,46.5,2021-12-28
73,46.47,2021-12-29
74,45.42,2021-12-3
75,50.0,2021-12-30
76,46.31,2021-12-31
77,45.09,2021-12-4
78,46.24,2021-12-5
79,46.81,2021-12-6
80,44.98,2021-12-7
81,47.69,2021-12-8
82,47.45,2021-12-9
83,46.19,2022-1-1
84,46.56,2022-1-10
85,46.56,2022-1-11
86,46.56,2022-1-12
87,46.56,2022-1-13
88,46.56,2022-1-14
89,46.56,2022-1-15
90,46.56,2022-1-16
91,46.56,2022-1-17
92,46.56,2022-1-18
93,49.0,2022-1-19
94,46.11,2022-1-2
95,46.56,2022-1-20
96,46.56,2022-1-21
97,46.56,2022-1-22
98,46.56,2022-1-23
99,46.56,2022-1-24
100,46.56,2022-1-25
101,48.99,2022-1-26
102,51.28,2022-1-27
103,49.46,2022-1-28
104,49.46,2022-1-29
105,46.07,2022-1-3
106,51.99,2022-1-30
107,51.99,2022-1-31
108,46.03,2022-1-4
109,46.0,2022-1-5
110,46.0,2022-1-6
111,46.56,2022-1-7
112,51.2,2022-1-8
113,46.56,2022-1-9
114,51.99,2022-2-1
115,53.77,2022-2-10
116,52.69,2022-2-11
117,59.38,2022-2-13
118,52.69,2022-2-14
119,54.97,2022-2-15
120,59.36,2022-2-16
121,54.77,2022-2-17
122,54.52,2022-2-18
123,58.75,2022-2-19
124,51.99,2022-2-2
125,58.74,2022-2-20
126,54.52,2022-2-21
127,54.52,2022-2-22
128,54.52,2022-2-23
129,54.52,2022-2-24
130,54.54,2022-2-25
131,57.67,2022-2-26
132,56.02,2022-2-27
133,58.65,2022-2-28
134,58.56,2022-2-3
135,58.56,2022-2-4
136,60.25,2022-2-5
137,58.56,2022-2-6
138,58.56,2022-2-7
139,55.02,2022-2-8
140,54.37,2022-2-9
141,55.91,2022-3-1
142,59.9,2022-3-10
143,55.71,2022-3-11
144,59.9,2022-3-12
145,59.9,2022-3-13
146,67.11,2022-3-14
147,59.9,2022-3-15
148,59.9,2022-3-16
149,59.9,2022-3-17
150,59.89,2022-3-18
151,55.55,2022-3-2
152,57.96,2022-3-21
153,57.24,2022-3-22
154,57.12,2022-3-23
155,58.81,2022-3-24
156,58.81,2022-3-25
157,58.81,2022-3-26
158,58.81,2022-3-27
159,57.6,2022-3-28
160,67.99,2022-3-29
161,62.2206,2022-3-3
162,57.43,2022-3-30
163,57.36,2022-3-31
164,61.5491,2022-3-4
165,60.9865,2022-3-5
166,60.5435,2022-3-6
167,60.2156,2022-3-7
168,60.003,2022-3-8
169,59.90560000000001,2022-3-9
