prix,date
2.25,2021-10-10
3.8,2021-10-11
2.13,2021-10-12
2.13,2021-10-13
2.13,2021-10-14
2.11,2021-10-15
2.1,2021-10-16
2.1,2021-10-17
1.97,2021-10-18
1.97,2021-10-19
1.89,2021-10-20
1.92,2021-10-21
2.18,2021-10-22
2.1,2021-10-23
1.96,2021-10-24
1.92,2021-10-25
2.0,2021-10-26
2.24,2021-10-27
2.23,2021-10-28
2.14,2021-10-29
2.01,2021-10-30
2.499,2021-10-9
2.14,2021-11-1
2.05,2021-11-10
2.07,2021-11-11
2.14,2021-11-14
2.14,2021-11-16
2.1,2021-11-17
2.08,2021-11-18
1.97,2021-11-19
2.11,2021-11-2
2.07,2021-11-20
2.08,2021-11-21
2.1,2021-11-22
2.09,2021-11-23
2.12,2021-11-24
2.13,2021-11-25
2.17,2021-11-26
2.21,2021-11-27
2.2,2021-11-28
2.08,2021-11-29
2.1,2021-11-3
2.08,2021-11-30
2.09,2021-11-4
2.11,2021-11-5
2.09,2021-11-6
2.09,2021-11-7
1.96,2021-11-8
1.95,2021-11-9
2.09,2021-12-1
2.15,2021-12-10
2.13,2021-12-11
2.13,2021-12-12
3.8,2021-12-13
2.13,2021-12-14
2.13,2021-12-15
2.13,2021-12-16
2.13,2021-12-17
2.13,2021-12-18
2.12,2021-12-19
2.12,2021-12-2
3.8,2021-12-20
3.8,2021-12-21
3.8,2021-12-22
1.99,2021-12-23
1.94,2021-12-24
1.94,2021-12-25
1.94,2021-12-26
3.8,2021-12-27
3.8,2021-12-28
3.8,2021-12-29
2.13,2021-12-3
3.8,2021-12-30
1.94,2021-12-31
2.13,2021-12-4
1.99,2021-12-5
2.14,2021-12-6
2.16,2021-12-7
2.16,2021-12-8
3.8,2021-12-9
3.8,2022-1-1
1.94,2022-1-10
1.94,2022-1-11
3.8,2022-1-12
3.8,2022-1-13
3.8,2022-1-14
3.8,2022-1-15
3.8,2022-1-16
2.58,2022-1-17
1.94,2022-1-18
3.8,2022-1-19
2.42,2022-1-2
3.8,2022-1-20
3.8,2022-1-21
1.94,2022-1-22
3.8,2022-1-23
3.8,2022-1-24
3.8,2022-1-25
2.24,2022-1-26
3.8,2022-1-27
3.8,2022-1-28
3.8,2022-1-29
3.8,2022-1-3
2.65,2022-1-30
2.65,2022-1-31
3.8,2022-1-4
3.8,2022-1-5
1.94,2022-1-6
1.94,2022-1-7
3.8,2022-1-8
3.8,2022-1-9
2.18,2022-2-1
2.5,2022-2-10
2.5,2022-2-11
2.5,2022-2-12
2.4075,2022-2-13
2.4075,2022-2-14
2.15,2022-2-15
2.4075,2022-2-16
2.4075,2022-2-17
2.3775,2022-2-18
2.37,2022-2-19
2.5,2022-2-2
2.34,2022-2-20
2.37,2022-2-21
2.37,2022-2-22
2.37,2022-2-23
2.37,2022-2-24
2.33,2022-2-25
2.25,2022-2-26
2.17,2022-2-27
2.37,2022-2-28
2.58,2022-2-3
2.5,2022-2-4
2.54,2022-2-5
2.5,2022-2-6
2.5,2022-2-7
2.5,2022-2-8
2.5,2022-2-9
2.26,2022-3-1
2.31,2022-3-10
2.22,2022-3-11
2.3775,2022-3-12
2.19,2022-3-13
2.4,2022-3-14
2.5,2022-3-15
2.5,2022-3-16
2.25,2022-3-17
2.5,2022-3-18
2.3775,2022-3-2
2.34,2022-3-21
2.41,2022-3-22
2.41,2022-3-23
2.42,2022-3-24
2.18,2022-3-25
2.3625,2022-3-26
2.18,2022-3-27
2.1,2022-3-28
2.18,2022-3-29
2.34,2022-3-3
2.18,2022-3-30
2.09,2022-3-31
2.3775,2022-3-4
2.27,2022-3-5
2.3775,2022-3-6
2.19,2022-3-7
2.3775,2022-3-8
2.3775,2022-3-9
