,0,1
0,63.95,2021-10-10
1,64.72,2021-10-11
2,63.74,2021-10-12
3,63.2,2021-10-13
4,66.0,2021-10-14
5,66.03,2021-10-15
6,63.53,2021-10-16
7,65.0,2021-10-17
8,65.47,2021-10-18
9,65.0,2021-10-19
10,64.0,2021-10-20
11,64.0,2021-10-21
12,64.8374,2021-10-22
13,63.99,2021-10-23
14,63.6421,2021-10-24
15,63.99,2021-10-25
16,64.99,2021-10-26
17,64.3,2021-10-27
18,68.0,2021-10-28
19,64.79,2021-10-29
20,63.96,2021-10-30
21,65.79,2021-10-31
22,61.5,2021-10-9
23,66.49,2021-11-1
24,64.38,2021-11-10
25,72.9,2021-11-11
26,67.31,2021-11-12
27,71.0,2021-11-13
28,70.9,2021-11-14
29,69.99,2021-11-15
30,66.62,2021-11-16
31,67.06,2021-11-17
32,65.13,2021-11-18
33,64.81,2021-11-19
34,65.79,2021-11-2
35,67.05,2021-11-20
36,71.06,2021-11-21
37,71.05,2021-11-22
38,66.5,2021-11-23
39,68.0,2021-11-24
40,68.0,2021-11-25
41,70.0,2021-11-26
42,66.61,2021-11-27
43,70.0,2021-11-28
44,69.99,2021-11-29
45,63.79,2021-11-3
46,69.27,2021-11-30
47,64.6,2021-11-4
48,66.49,2021-11-5
49,67.99,2021-11-6
50,73.0,2021-11-7
51,65.06,2021-11-8
52,73.34,2021-11-9
53,70.0,2021-12-1
54,72.99,2021-12-10
55,72.99,2021-12-11
56,72.99,2021-12-12
57,71.99,2021-12-13
58,70.94,2021-12-14
59,73.0,2021-12-15
60,70.23,2021-12-16
61,73.0,2021-12-17
62,73.0,2021-12-18
63,74.0,2021-12-19
64,68.0,2021-12-2
65,71.66,2021-12-20
66,74.0,2021-12-21
67,74.0,2021-12-22
68,74.4,2021-12-23
69,74.4,2021-12-24
70,74.3,2021-12-25
71,74.5,2021-12-26
72,74.5,2021-12-27
73,74.5,2021-12-28
74,74.75,2021-12-29
75,71.45,2021-12-3
76,74.75,2021-12-30
77,74.75,2021-12-31
78,70.5,2021-12-4
79,72.0,2021-12-5
80,74.99,2021-12-6
81,72.0,2021-12-7
82,72.0,2021-12-8
83,72.0,2021-12-9
84,74.75,2022-1-1
85,76.97,2022-1-10
86,75.8376,2022-1-11
87,75.9132,2022-1-12
88,76.0,2022-1-13
89,76.0,2022-1-14
90,76.0,2022-1-15
91,75.0,2022-1-16
92,71.65,2022-1-17
93,75.0,2022-1-18
94,74.99,2022-1-19
95,74.75,2022-1-2
96,74.99,2022-1-20
97,73.99,2022-1-21
98,78.0,2022-1-22
99,78.0,2022-1-23
100,75.0,2022-1-24
101,75.0,2022-1-25
102,75.0,2022-1-26
103,74.0,2022-1-27
104,72.4331,2022-1-28
105,73.9,2022-1-29
106,74.5,2022-1-3
107,73.9,2022-1-30
108,75.0,2022-1-31
109,76.0,2022-1-4
110,76.0,2022-1-5
111,76.0,2022-1-6
112,76.0,2022-1-7
113,76.0,2022-1-8
114,76.0,2022-1-9
115,75.0,2022-2-1
116,78.0,2022-2-10
117,78.85,2022-2-11
118,77.6,2022-2-12
119,77.6,2022-2-13
120,77.0061,2022-2-14
121,75.4846,2022-2-15
122,76.0,2022-2-16
123,77.2712,2022-2-17
124,76.8373,2022-2-18
125,76.4867,2022-2-19
126,77.0,2022-2-2
127,77.55,2022-2-20
128,77.55,2022-2-21
129,79.8,2022-2-22
130,79.0,2022-2-23
131,78.0,2022-2-24
132,78.0,2022-2-25
133,78.0,2022-2-26
134,79.07,2022-2-27
135,79.0,2022-2-28
136,77.0,2022-2-3
137,79.9,2022-2-4
138,78.0,2022-2-5
139,76.5,2022-2-6
140,78.0,2022-2-7
141,78.0,2022-2-8
142,80.0,2022-2-9
143,78.6467,2022-3-1
144,82.0,2022-3-10
145,82.0,2022-3-11
146,83.5,2022-3-12
147,84.0,2022-3-13
148,84.0,2022-3-14
149,82.9,2022-3-15
150,82.9,2022-3-16
151,82.9,2022-3-17
152,87.94,2022-3-18
153,78.0707,2022-3-2
154,87.77,2022-3-21
155,91.99,2022-3-22
156,86.0,2022-3-23
157,91.99,2022-3-24
158,89.64,2022-3-25
159,88.0,2022-3-26
160,84.84,2022-3-27
161,88.0,2022-3-28
162,86.72,2022-3-29
163,77.6195,2022-3-3
164,86.72,2022-3-30
165,86.72,2022-3-31
166,79.5,2022-3-4
167,79.5,2022-3-5
168,79.5,2022-3-6
169,78.8455,2022-3-7
170,78.8455,2022-3-8
171,81.4,2022-3-9
172,86.72,2022-4-4
173,86.99,2022-4-6
