prix,date
1.62,2021-10-10
1.53,2021-10-11
1.53,2021-10-12
1.56,2021-10-13
1.53,2021-10-14
1.49,2021-10-15
1.51,2021-10-16
1.5,2021-10-17
1.77,2021-10-18
1.47,2021-10-19
1.46,2021-10-20
1.44,2021-10-21
1.85,2021-10-22
1.4041,2021-10-23
1.59,2021-10-24
1.47,2021-10-25
1.4972,2021-10-26
1.49,2021-10-27
1.44,2021-10-28
1.41,2021-10-29
1.4,2021-10-30
1.4,2021-10-31
1.65,2021-10-9
1.44,2021-11-1
1.55,2021-11-10
1.53,2021-11-11
1.55,2021-11-12
1.4875999999999998,2021-11-13
1.482,2021-11-14
1.58,2021-11-15
1.6,2021-11-16
1.55,2021-11-17
1.6,2021-11-18
1.51,2021-11-19
1.49,2021-11-2
1.58,2021-11-20
1.63,2021-11-21
1.58,2021-11-22
1.75,2021-11-23
1.75,2021-11-24
1.65,2021-11-25
1.65,2021-11-26
1.75,2021-11-27
1.6905,2021-11-28
1.6331,2021-11-29
1.42,2021-11-3
1.5857,2021-11-30
1.42,2021-11-4
1.47,2021-11-5
1.49,2021-11-6
1.55,2021-11-7
1.55,2021-11-8
1.54,2021-11-9
1.5489,2021-12-1
1.56,2021-12-10
1.75,2021-12-11
1.75,2021-12-12
1.75,2021-12-13
1.75,2021-12-14
1.75,2021-12-15
1.7,2021-12-16
1.7,2021-12-17
1.75,2021-12-18
1.75,2021-12-19
1.5222,2021-12-2
1.51,2021-12-20
1.7,2021-12-21
1.7,2021-12-22
1.7,2021-12-23
1.7,2021-12-24
1.75,2021-12-25
1.75,2021-12-26
1.74,2021-12-27
1.74,2021-12-28
1.74,2021-12-29
1.75,2021-12-3
1.74,2021-12-30
1.74,2021-12-31
1.75,2021-12-4
1.51,2021-12-5
1.51,2021-12-6
1.75,2021-12-7
1.75,2021-12-8
1.75,2021-12-9
1.74,2022-1-1
1.6416,2022-1-10
1.82,2022-1-11
1.82,2022-1-12
1.82,2022-1-13
1.82,2022-1-14
1.82,2022-1-15
1.81,2022-1-16
1.81,2022-1-17
1.81,2022-1-18
1.82,2022-1-19
1.74,2022-1-2
1.82,2022-1-20
1.82,2022-1-21
1.82,2022-1-22
1.82,2022-1-23
1.82,2022-1-24
1.82,2022-1-25
1.834,2022-1-26
1.834,2022-1-27
1.834,2022-1-28
1.98,2022-1-29
1.6416,2022-1-3
1.98,2022-1-30
1.98,2022-1-31
1.6416,2022-1-4
1.6416,2022-1-5
1.6416,2022-1-6
1.62,2022-1-7
1.6416,2022-1-8
1.6416,2022-1-9
1.98,2022-2-1
2.0025,2022-2-10
2.0025,2022-2-11
2.0025,2022-2-12
2.0025,2022-2-13
2.13,2022-2-14
2.25,2022-2-15
2.25,2022-2-16
2.25,2022-2-17
2.25,2022-2-18
2.25,2022-2-19
1.87,2022-2-2
2.24,2022-2-20
2.24,2022-2-21
2.24,2022-2-22
2.25,2022-2-23
2.25,2022-2-24
2.15,2022-2-25
2.16,2022-2-26
2.399,2022-2-27
2.399,2022-2-28
1.98,2022-2-3
1.85,2022-2-4
1.98,2022-2-5
1.98,2022-2-6
1.89,2022-2-7
1.84,2022-2-8
1.98,2022-2-9
2.399,2022-3-1
2.3325,2022-3-10
2.3325,2022-3-11
2.3325,2022-3-12
2.3325,2022-3-13
2.27,2022-3-14
2.3325,2022-3-15
2.3325,2022-3-16
2.3325,2022-3-17
2.1888,2022-3-18
2.3325,2022-3-2
2.22,2022-3-21
2.1888,2022-3-22
2.21,2022-3-23
2.1888,2022-3-24
2.17,2022-3-25
2.1231,2022-3-26
2.1231,2022-3-27
2.3325,2022-3-28
2.3325,2022-3-29
2.25,2022-3-3
2.28,2022-3-30
2.28,2022-3-31
2.2435,2022-3-4
2.1491,2022-3-5
2.0654,2022-3-6
2.3325,2022-3-7
2.3325,2022-3-8
2.17,2022-3-9
2.28,2022-4-4
