prix,date
2222.22,2021-10-14
4000.0,2021-10-17
4000.0,2021-10-18
2599.0,2021-10-24
2969.69,2021-10-27
3333.0,2021-11-13
3199.99,2021-11-16
2700.0,2021-11-22
2919.99,2021-11-28
2969.69,2021-11-30
2599.0,2021-12-14
2743.5,2021-12-17
2716.1,2021-12-18
2740.44,2021-12-19
2715.94,2021-12-20
2668.84,2021-12-21
2667.14,2021-12-22
2668.84,2021-12-24
3600.0,2021-12-25
2665.86,2021-12-26
2574.64,2021-12-28
2610.91,2021-12-30
2590.42,2021-12-31
2699.0,2021-12-9
2576.14,2022-1-1
2800.0,2022-1-10
2700.0,2022-1-14
2650.0,2022-1-15
2400.0,2022-1-16
2600.0,2022-1-17
2890.0,2022-1-19
2568.45,2022-1-2
2661.0,2022-1-27
2566.88,2022-1-3
2465.27,2022-1-4
2514.39,2022-1-5
2900.0,2022-1-9
2700.0,2022-2-1
3221.3048,2022-2-10
3203.6873,2022-2-11
3186.6445000000003,2022-2-12
3170.355,2022-2-13
3154.6401,2022-2-14
3139.559,2022-2-15
3125.1123,2022-2-16
3111.2996,2022-2-17
3098.0749,2022-2-18
3085.5327,2022-2-19
3073.6662,2022-2-20
3062.3507,2022-2-21
3051.7109,2022-2-22
3041.8126,2022-2-23
3032.3344,2022-2-24
3023.5968,2022-2-25
3015.4934,2022-2-26
3008.0243,2022-2-27
3001.189,2022-2-28
2599.0,2022-2-5
3239.4895999999994,2022-2-9
2960.6291,2022-3-1
2750.0,2022-3-11
2700.0,2022-3-13
2600.0,2022-3-15
2650.0,2022-3-16
2946.2351,2022-3-2
2770.0,2022-3-22
2799.0,2022-3-24
2699.0,2022-3-26
2690.0,2022-3-29
2932.3929,2022-3-3
2699.0,2022-3-30
2788.0,2022-3-31
2919.097,2022-3-4
2495.89,2022-3-5
2549.0,2022-3-6
2400.0,2022-3-7
