prix,date
5000.0,2021-10-10
5485.522800000001,2021-10-11
4399.99,2021-10-12
4797.0,2021-10-13
4646.0,2021-10-16
5157.89,2021-10-17
4766.99,2021-10-18
5385.522800000001,2021-10-20
7000.0,2021-10-28
4854.99,2021-10-30
4199.0,2021-10-9
6500.0,2021-11-11
5285.522800000001,2021-11-14
6500.0,2021-11-18
3890.0,2021-11-22
4099.0,2021-11-23
3890.0,2021-11-24
4470.0,2021-11-25
3889.98,2021-11-26
4400.0,2021-11-27
7000.0,2021-11-3
6500.0,2021-11-30
4646.0,2021-11-5
4299.0,2021-12-1
4113.74,2021-12-10
4133.8,2021-12-11
4125.47,2021-12-12
4041.11,2021-12-13
4152.39,2021-12-14
4212.78,2021-12-15
4227.11,2021-12-16
4206.07,2021-12-17
4141.21,2021-12-18
4115.81,2021-12-19
4500.0,2021-12-2
4199.98,2021-12-20
4100.0,2021-12-21
4099.98,2021-12-22
4999.99,2021-12-24
4099.97,2021-12-25
4899.0,2021-12-26
4194.88,2021-12-27
4141.66,2021-12-28
4128.94,2021-12-29
4469.99,2021-12-3
4027.05,2021-12-30
3953.88,2021-12-31
3599.0,2021-12-4
3890.0,2021-12-5
3899.0,2021-12-6
3999.0,2021-12-7
4090.0,2021-12-8
4071.56,2022-1-1
11500.0,2022-1-10
4700.0,2022-1-13
4400.0,2022-1-14
4299.0,2022-1-16
4298.0,2022-1-17
4298.0,2022-1-19
3982.04,2022-1-2
4800.96,2022-1-20
4150.0,2022-1-23
4250.0,2022-1-24
4157.0,2022-1-27
3994.0,2022-1-28
4157.0,2022-1-29
4008.8,2022-1-3
4479.62,2022-1-4
4999.99,2022-1-7
5149.99,2022-1-8
4000.0,2022-2-1
3919.93,2022-2-10
3862.23,2022-2-11
4157.0,2022-2-12
11500.0,2022-2-13
4290.0,2022-2-14
4190.0,2022-2-15
4099.0,2022-2-16
3999.0,2022-2-17
5151.51,2022-2-18
3954.55,2022-2-19
3907.83,2022-2-20
4399.0,2022-2-21
4150.0,2022-2-23
3990.0,2022-2-24
4381.44,2022-2-27
4360.0,2022-2-28
4000.0,2022-2-4
4157.0,2022-2-5
3929.88,2022-2-6
3929.87,2022-2-7
3929.87,2022-2-8
3929.87,2022-2-9
4150.0,2022-3-11
4150.0,2022-3-13
4150.0,2022-3-15
11500.0,2022-3-16
4300.0,2022-3-17
3990.0,2022-3-2
4043.94,2022-3-21
4003.68,2022-3-22
3991.67,2022-3-23
3904.69,2022-3-24
3881.98,2022-3-25
11500.0,2022-3-26
4360.0,2022-3-27
4250.0,2022-3-28
4150.0,2022-3-30
4190.0,2022-3-4
3999.0,2022-4-4
