prix,date
28.18,2021-10-10
27.95,2021-10-11
28.17,2021-10-12
31.5,2021-10-13
31.5,2021-10-14
28.0,2021-10-15
31.3733,2021-10-16
31.2573,2021-10-17
31.07,2021-10-18
28.2797,2021-10-19
28.1175,2021-10-20
31.0,2021-10-21
26.74,2021-10-22
31.0,2021-10-23
26.5,2021-10-24
27.99,2021-10-25
31.0,2021-10-26
26.21,2021-10-27
27.5688,2021-10-28
27.32,2021-10-29
27.3,2021-10-30
27.49,2021-10-31
27.88,2021-10-9
27.32,2021-11-1
28.49,2021-11-10
28.44,2021-11-11
29.9,2021-11-12
27.17,2021-11-13
28.44,2021-11-14
28.5,2021-11-15
28.48,2021-11-16
26.74,2021-11-17
28.0,2021-11-18
27.76,2021-11-19
27.0,2021-11-2
28.49,2021-11-20
28.49,2021-11-21
27.32,2021-11-22
27.8,2021-11-23
28.5,2021-11-24
28.5,2021-11-25
28.5,2021-11-26
27.36,2021-11-27
27.75,2021-11-28
27.49,2021-11-29
27.0,2021-11-3
27.48,2021-11-30
27.03,2021-11-4
28.7175,2021-11-5
28.7175,2021-11-6
30.0,2021-11-7
27.0,2021-11-8
26.97,2021-11-9
27.47,2021-12-1
29.31,2021-12-10
29.5,2021-12-11
34.95,2021-12-12
28.73,2021-12-13
31.0,2021-12-14
30.46,2021-12-15
35.0,2021-12-16
29.69,2021-12-17
29.39,2021-12-18
29.24,2021-12-19
27.45,2021-12-2
28.86,2021-12-20
35.0,2021-12-21
35.0,2021-12-22
35.0,2021-12-23
35.0,2021-12-24
29.1,2021-12-25
35.0,2021-12-26
35.0,2021-12-27
35.0,2021-12-28
29.16,2021-12-29
28.01,2021-12-3
34.99,2021-12-30
29.07,2021-12-31
28.35,2021-12-4
28.46,2021-12-5
34.95,2021-12-6
34.95,2021-12-7
29.78,2021-12-8
29.73,2021-12-9
29.01,2022-1-1
29.16,2022-1-10
31.0,2022-1-11
31.0,2022-1-12
29.16,2022-1-13
31.27,2022-1-14
29.16,2022-1-15
29.16,2022-1-16
29.16,2022-1-17
31.11,2022-1-18
31.11,2022-1-19
34.99,2022-1-2
30.8654,2022-1-20
29.9394,2022-1-21
29.2329,2022-1-22
28.9225,2022-1-23
29.73,2022-1-24
29.16,2022-1-25
31.0,2022-1-26
28.85,2022-1-27
31.11,2022-1-28
31.0,2022-1-29
29.11,2022-1-3
31.0,2022-1-30
28.8,2022-1-31
28.68,2022-1-4
34.99,2022-1-5
35.0,2022-1-6
31.0,2022-1-7
29.16,2022-1-8
31.0,2022-1-9
31.0,2022-2-1
29.49,2022-2-10
29.49,2022-2-11
31.0,2022-2-12
29.17,2022-2-13
31.0,2022-2-14
30.8,2022-2-15
30.8,2022-2-16
30.8,2022-2-17
30.8,2022-2-18
30.9,2022-2-19
31.0,2022-2-2
30.9,2022-2-20
30.9,2022-2-21
29.75,2022-2-22
31.99,2022-2-23
31.13,2022-2-24
29.94,2022-2-25
31.99,2022-2-26
29.79,2022-2-27
31.99,2022-2-28
31.0,2022-2-3
31.0,2022-2-4
29.04,2022-2-5
31.0,2022-2-6
29.49,2022-2-7
31.0,2022-2-8
29.0,2022-2-9
31.84,2022-3-1
30.57,2022-3-10
31.6,2022-3-11
31.7,2022-3-12
31.8,2022-3-13
30.52,2022-3-14
32.0,2022-3-15
32.0,2022-3-16
30.22,2022-3-17
30.6,2022-3-18
31.62,2022-3-2
31.14,2022-3-21
31.8,2022-3-22
32.9,2022-3-23
31.34,2022-3-24
31.26,2022-3-25
32.586,2022-3-26
31.5362,2022-3-27
30.7829,2022-3-28
32.7,2022-3-29
31.9594,2022-3-3
31.04,2022-3-30
30.96,2022-3-31
30.5521,2022-3-4
31.8,2022-3-5
31.8,2022-3-6
30.62,2022-3-7
30.51,2022-3-8
30.0,2022-3-9
32.61,2022-4-4
32.68,2022-4-6
