prix,date
131.3,2021-10-10
130.49,2021-10-11
140.0,2021-10-12
144.0,2021-10-13
128.0,2021-10-14
175.0,2021-10-15
147.37,2021-10-16
147.36,2021-10-17
129.8,2021-10-18
131.05,2021-10-19
127.74,2021-10-20
129.59,2021-10-21
129.4,2021-10-22
122.19,2021-10-23
122.16,2021-10-24
124.48,2021-10-25
124.48,2021-10-26
124.48,2021-10-27
128.0,2021-10-28
127.7,2021-10-29
175.0,2021-10-30
128.49,2021-10-31
127.57,2021-11-1
125.0,2021-11-10
125.0,2021-11-11
125.0,2021-11-12
133.99,2021-11-13
133.99,2021-11-14
124.99,2021-11-16
123.75,2021-11-17
123.74,2021-11-18
125.87,2021-11-2
123.74,2021-11-20
139.99,2021-11-21
130.0,2021-11-22
139.99,2021-11-23
120.55,2021-11-24
126.0,2021-11-25
139.99,2021-11-26
134.99,2021-11-27
120.75,2021-11-28
126.0,2021-11-29
131.0,2021-11-3
126.0,2021-11-30
139.99,2021-11-4
125.9,2021-11-5
126.93,2021-11-6
133.0,2021-11-7
127.45,2021-11-8
124.79,2021-11-9
126.0,2021-12-1
132.0,2021-12-10
133.91,2021-12-11
139.99,2021-12-12
132.6,2021-12-13
129.44,2021-12-14
138.0,2021-12-15
134.99,2021-12-16
134.99,2021-12-17
144.99,2021-12-18
144.99,2021-12-19
123.54,2021-12-2
154.99,2021-12-20
134.99,2021-12-21
132.0,2021-12-22
134.99,2021-12-23
134.99,2021-12-24
138.0,2021-12-25
140.56,2021-12-26
138.0,2021-12-28
134.99,2021-12-29
127.64,2021-12-3
138.0,2021-12-30
137.4558,2021-12-31
128.72,2021-12-4
129.67,2021-12-5
133.54,2021-12-6
134.99,2021-12-7
134.99,2021-12-8
132.6,2021-12-9
131.6786,2022-1-1
134.78,2022-1-10
134.7,2022-1-11
134.61,2022-1-12
145.0,2022-1-13
145.0,2022-1-14
145.0,2022-1-15
145.0,2022-1-16
134.99,2022-1-18
145.0,2022-1-19
145.0,2022-1-2
134.99,2022-1-20
134.99,2022-1-21
134.99,2022-1-22
145.0,2022-1-23
134.99,2022-1-25
144.44,2022-1-26
151.3,2022-1-27
151.3,2022-1-28
151.3,2022-1-29
145.0,2022-1-3
150.0,2022-1-30
151.3,2022-1-31
134.89,2022-1-4
134.89,2022-1-5
145.0,2022-1-6
134.89,2022-1-7
134.89,2022-1-8
134.85,2022-1-9
179.5,2022-2-1
151.0,2022-2-10
145.0,2022-2-11
150.7,2022-2-12
145.0,2022-2-13
149.9,2022-2-14
153.8,2022-2-15
149.8,2022-2-16
149.65,2022-2-17
153.8,2022-2-18
149.45,2022-2-19
151.3,2022-2-2
149.36,2022-2-20
149.27,2022-2-21
149.17,2022-2-22
149.09,2022-2-23
149.01,2022-2-24
148.98,2022-2-25
158.38,2022-2-26
152.91,2022-2-27
153.8,2022-2-28
151.3,2022-2-3
151.3,2022-2-4
151.3,2022-2-5
151.3,2022-2-6
167.0,2022-2-7
145.0,2022-2-8
165.33,2022-2-9
163.4,2022-3-1
165.0,2022-3-10
196.6697,2022-3-11
186.8,2022-3-12
196.6697,2022-3-13
186.8,2022-3-14
172.47,2022-3-15
187.01,2022-3-16
170.29,2022-3-17
169.08,2022-3-18
152.01,2022-3-2
175.67,2022-3-21
175.65,2022-3-22
174.78,2022-3-24
172.74,2022-3-25
171.63,2022-3-26
171.63,2022-3-27
171.63,2022-3-28
171.63,2022-3-29
150.21,2022-3-3
189.0,2022-3-30
158.55,2022-3-4
156.17,2022-3-5
199.99,2022-3-6
189.09,2022-3-7
196.6697,2022-3-8
