prix,date
33.5,2021-10-10
33.5,2021-10-11
32.72,2021-10-12
34.5,2021-10-13
32.0,2021-10-14
34.5,2021-10-15
33.3,2021-10-16
32.34,2021-10-17
34.4,2021-10-18
32.49,2021-10-19
33.18,2021-10-20
32.54,2021-10-21
32.69,2021-10-22
32.98,2021-10-23
32.0,2021-10-24
30.99,2021-10-25
34.0,2021-10-26
31.74,2021-10-27
34.2,2021-10-28
31.67,2021-10-29
34.19,2021-10-30
31.88,2021-10-31
33.9,2021-10-9
34.2,2021-11-1
33.77,2021-11-10
36.23,2021-11-11
34.67,2021-11-12
34.77,2021-11-13
33.9,2021-11-14
36.75,2021-11-15
36.98,2021-11-16
33.96,2021-11-17
34.21,2021-11-18
36.99,2021-11-19
31.88,2021-11-2
36.99,2021-11-20
34.5,2021-11-21
34.08,2021-11-22
36.99,2021-11-23
34.38,2021-11-24
34.48,2021-11-25
37.1612,2021-11-26
37.1612,2021-11-27
35.83,2021-11-28
35.83,2021-11-29
31.73,2021-11-3
44.9,2021-11-30
35.0,2021-11-4
35.0,2021-11-5
32.77,2021-11-6
35.0,2021-11-7
39.95,2021-11-8
34.73,2021-11-9
44.9,2021-12-1
42.0,2021-12-10
41.99,2021-12-11
37.38,2021-12-12
40.1,2021-12-13
37.58,2021-12-14
41.99,2021-12-15
37.49,2021-12-16
41.99,2021-12-17
41.7134,2021-12-18
41.3102,2021-12-19
38.85,2021-12-2
41.0123,2021-12-20
40.8233,2021-12-21
44.9,2021-12-22
37.36,2021-12-23
37.35,2021-12-24
37.35,2021-12-25
37.15,2021-12-26
37.34,2021-12-27
37.33,2021-12-28
42.8,2021-12-29
44.9,2021-12-3
42.8,2021-12-30
37.96,2021-12-31
38.83,2021-12-4
37.32,2021-12-5
37.22,2021-12-6
39.59,2021-12-7
38.74,2021-12-8
44.9,2021-12-9
42.8,2022-1-1
40.09,2022-1-10
42.0,2022-1-11
44.8,2022-1-12
39.9,2022-1-13
39.9,2022-1-14
39.5,2022-1-15
40.07,2022-1-16
39.9,2022-1-17
40.07,2022-1-18
40.07,2022-1-19
42.8,2022-1-2
40.0508,2022-1-20
40.0508,2022-1-21
38.96,2022-1-22
39.99,2022-1-23
43.89,2022-1-24
38.9,2022-1-25
43.89,2022-1-26
38.82,2022-1-27
38.87,2022-1-28
38.48,2022-1-29
38.95,2022-1-3
43.8,2022-1-30
38.35,2022-1-31
38.94,2022-1-4
44.9,2022-1-5
38.91,2022-1-6
38.9,2022-1-7
40.09,2022-1-8
42.0,2022-1-9
43.8,2022-2-1
43.79,2022-2-10
43.79,2022-2-11
43.75,2022-2-12
43.74,2022-2-13
40.39,2022-2-14
43.59,2022-2-15
39.97,2022-2-16
43.59,2022-2-17
41.85,2022-2-18
43.59,2022-2-19
38.45,2022-2-2
42.42,2022-2-20
42.42,2022-2-21
42.42,2022-2-22
42.795,2022-2-23
42.795,2022-2-24
42.8625,2022-2-25
42.8625,2022-2-26
41.2,2022-2-27
41.2,2022-2-28
38.42,2022-2-3
40.37,2022-2-4
40.54,2022-2-5
40.54,2022-2-6
43.8,2022-2-7
43.8,2022-2-8
43.79,2022-2-9
40.23,2022-3-1
43.57,2022-3-10
43.57,2022-3-11
45.12,2022-3-12
45.7,2022-3-13
43.57,2022-3-14
43.57,2022-3-15
43.0,2022-3-16
43.5,2022-3-17
43.01,2022-3-18
41.2,2022-3-2
45.51,2022-3-21
44.94,2022-3-22
45.43,2022-3-23
47.05,2022-3-24
43.24,2022-3-25
43.0,2022-3-26
43.8,2022-3-27
43.8,2022-3-28
43.5295,2022-3-29
40.06,2022-3-3
43.89,2022-3-30
44.95,2022-3-31
41.6805,2022-3-4
43.57,2022-3-5
43.57,2022-3-6
43.57,2022-3-7
45.76,2022-3-8
43.57,2022-3-9
