prix,date
300.5992,2021-10-10
300.0098,2021-10-11
300.0,2021-10-12
318.0,2021-10-13
320.0,2021-10-14
318.0,2021-10-15
320.12,2021-10-16
315.3305,2021-10-17
311.2563,2021-10-18
306.966,2021-10-19
305.9472,2021-10-20
301.9609,2021-10-21
301.6096,2021-10-22
300.006,2021-10-23
300.0,2021-10-24
296.64,2021-10-25
314.69,2021-10-26
309.99,2021-10-27
300.0,2021-10-28
309.5975,2021-10-29
322.26,2021-10-30
319.98,2021-10-31
302.0181,2021-10-9
309.5975,2021-11-1
323.95,2021-11-10
321.7756,2021-11-11
320.3458,2021-11-12
319.9,2021-11-13
316.78,2021-11-14
317.31,2021-11-15
319.9,2021-11-16
319.9,2021-11-17
302.18,2021-11-18
301.04,2021-11-19
301.18,2021-11-2
312.25,2021-11-20
318.0,2021-11-21
319.69,2021-11-22
310.0,2021-11-23
310.0,2021-11-24
320.0,2021-11-25
317.84,2021-11-26
320.0,2021-11-27
324.49,2021-11-28
317.85,2021-11-29
309.99,2021-11-3
317.86,2021-11-30
309.95,2021-11-4
315.94,2021-11-5
322.95,2021-11-6
315.01,2021-11-7
304.6,2021-11-8
313.06,2021-11-9
314.0,2021-12-1
301.1304,2021-12-10
308.97,2021-12-11
362.1958,2021-12-12
347.77,2021-12-13
330.99,2021-12-14
350.0,2021-12-15
305.0,2021-12-16
315.0,2021-12-17
339.78,2021-12-18
330.43,2021-12-19
314.0,2021-12-2
315.0,2021-12-20
315.0,2021-12-21
331.19,2021-12-22
315.0,2021-12-23
330.61,2021-12-24
320.0,2021-12-25
320.0,2021-12-26
330.0,2021-12-27
329.0,2021-12-28
319.99,2021-12-29
314.83,2021-12-3
319.99,2021-12-30
359.0,2021-12-31
334.0,2021-12-4
314.85,2021-12-5
312.0,2021-12-6
312.0,2021-12-7
307.7591,2021-12-8
303.0,2021-12-9
359.0,2022-1-1
339.0,2022-1-10
330.62,2022-1-11
339.0,2022-1-12
330.62,2022-1-13
330.61,2022-1-14
339.0,2022-1-15
330.62,2022-1-16
339.0,2022-1-17
339.0,2022-1-18
350.0,2022-1-19
359.0,2022-1-2
359.99,2022-1-20
344.99,2022-1-21
339.86,2022-1-22
339.86,2022-1-23
340.0,2022-1-24
330.62,2022-1-25
366.7962,2022-1-26
366.3301,2022-1-27
366.0365,2022-1-28
365.904,2022-1-29
359.0,2022-1-3
365.9,2022-1-30
350.26,2022-1-31
330.62,2022-1-4
359.0,2022-1-5
350.0,2022-1-6
341.0,2022-1-7
329.05,2022-1-8
341.0,2022-1-9
362.0,2022-2-1
364.0,2022-2-10
341.0,2022-2-11
364.0,2022-2-12
364.0,2022-2-13
364.0,2022-2-14
364.0,2022-2-15
341.99,2022-2-16
336.98,2022-2-17
336.98,2022-2-18
364.0,2022-2-19
365.9,2022-2-2
365.0,2022-2-20
364.0,2022-2-21
340.0,2022-2-22
340.0,2022-2-23
345.0,2022-2-24
345.0,2022-2-25
335.64,2022-2-26
345.0,2022-2-27
339.43,2022-2-28
365.0,2022-2-3
365.0,2022-2-4
365.0,2022-2-5
365.0,2022-2-6
348.09,2022-2-7
365.0,2022-2-8
365.0,2022-2-9
339.34,2022-3-1
340.0,2022-3-10
363.0,2022-3-11
370.66,2022-3-12
365.9,2022-3-13
365.85,2022-3-14
365.85,2022-3-15
365.85,2022-3-16
365.85,2022-3-17
355.47,2022-3-18
345.0,2022-3-2
352.64,2022-3-21
352.57,2022-3-22
352.56,2022-3-23
354.95,2022-3-24
354.5647,2022-3-25
354.5647,2022-3-26
351.4745,2022-3-27
365.0,2022-3-28
365.0,2022-3-29
345.0,2022-3-3
347.84,2022-3-30
365.0,2022-3-31
339.08,2022-3-4
363.0,2022-3-5
363.0,2022-3-6
363.0,2022-3-7
346.0,2022-3-8
340.0,2022-3-9
355.0,2022-4-4
359.99,2022-4-5
370.0,2022-4-6
