prix,date
825.0,2021-10-10
850.0,2021-10-11
849.65,2021-10-16
899.99,2021-10-17
939.99,2021-10-18
900.0,2021-10-19
889.99,2021-10-20
910.8,2021-10-21
901.69,2021-10-22
835.0,2021-10-23
804.99,2021-10-24
799.99,2021-10-25
875.0,2021-10-26
799.98,2021-10-28
799.96,2021-10-29
799.95,2021-10-30
845.0,2021-10-31
799.94,2021-11-1
900.0,2021-11-14
915.63,2021-11-15
910.0,2021-11-18
871.33,2021-11-2
910.0,2021-11-22
910.0,2021-11-23
850.0,2021-11-24
868.0,2021-11-25
884.9,2021-11-26
844.0157,2021-11-27
825.0,2021-11-28
877.75,2021-11-29
950.0,2021-11-3
872.75,2021-11-30
889.98,2021-11-4
884.99,2021-11-5
856.97,2021-11-6
856.97,2021-11-7
890.99,2021-11-8
900.03,2021-11-9
874.8659,2021-12-1
939.95,2021-12-10
937.95,2021-12-11
950.0,2021-12-12
899.11,2021-12-14
945.0,2021-12-15
887.2,2021-12-16
887.2,2021-12-18
947.0,2021-12-19
947.95,2021-12-2
940.0,2021-12-20
887.2,2021-12-21
907.5858,2021-12-23
919.99,2021-12-24
919.0,2021-12-25
910.0,2021-12-26
894.26,2021-12-27
900.23,2021-12-28
950.0,2021-12-29
929.09,2021-12-30
918.4182,2021-12-31
940.0,2021-12-4
940.0,2021-12-5
940.0,2021-12-6
915.0,2021-12-7
939.95,2021-12-8
937.96,2021-12-9
946.743,2022-1-1
1016.99,2022-1-10
930.0,2022-1-11
912.58,2022-1-12
912.57,2022-1-13
945.0,2022-1-14
945.0,2022-1-15
912.52,2022-1-16
945.0,2022-1-17
945.0,2022-1-18
945.0,2022-1-19
907.09,2022-1-2
999.0,2022-1-20
932.58,2022-1-21
932.57,2022-1-22
990.0,2022-1-23
995.0,2022-1-24
980.0,2022-1-25
978.0,2022-1-26
950.6,2022-1-27
920.0,2022-1-28
944.0,2022-1-29
903.75,2022-1-3
930.0,2022-1-30
920.0,2022-1-31
950.0,2022-1-4
1011.99,2022-1-5
1011.99,2022-1-6
930.0,2022-1-7
930.0,2022-1-8
930.0,2022-1-9
958.76,2022-2-1
969.69,2022-2-10
967.0,2022-2-11
967.0,2022-2-12
955.0,2022-2-13
950.4,2022-2-14
970.0,2022-2-15
950.4,2022-2-17
959.99,2022-2-18
944.0,2022-2-2
939.98,2022-2-20
939.96,2022-2-21
929.66,2022-2-22
934.97,2022-2-23
919.98,2022-2-24
934.96,2022-2-25
970.0,2022-2-26
929.98,2022-2-27
949.99,2022-2-28
944.0,2022-2-4
950.0,2022-2-5
950.0,2022-2-8
955.0,2022-2-9
930.0,2022-3-1
990.0,2022-3-10
990.0,2022-3-11
985.0,2022-3-12
949.95,2022-3-13
949.95,2022-3-14
970.0,2022-3-15
1057.8704,2022-3-16
944.73,2022-3-2
1092.06,2022-3-21
1090.0,2022-3-22
1000.0,2022-3-24
1000.0,2022-3-25
999.36,2022-3-26
999.29,2022-3-27
1053.92,2022-3-28
1055.95,2022-3-29
949.99,2022-3-3
999.35,2022-3-30
999.35,2022-3-31
949.95,2022-3-4
959.95,2022-3-5
1075.99,2022-3-6
1097.99,2022-3-7
949.95,2022-3-8
949.95,2022-3-9
1059.0,2022-4-4
