prix,date
211.0,2021-10-10
215.0,2021-10-11
208.36,2021-10-13
206.28,2021-10-14
206.28,2021-10-15
214.99,2021-10-21
214.99,2021-10-22
224.5,2021-10-25
215.0,2021-10-26
210.0,2021-10-27
200.0,2021-10-29
200.0,2021-10-30
220.0,2021-10-9
214.14,2021-11-10
218.0,2021-11-11
214.0,2021-11-12
210.0,2021-11-13
212.0,2021-11-14
206.0,2021-11-15
209.99,2021-11-16
205.0,2021-11-17
205.7,2021-11-18
209.99,2021-11-23
192.98,2021-11-24
207.0,2021-11-25
189.99,2021-11-26
189.99,2021-11-27
189.95,2021-11-28
207.0,2021-11-29
219.99,2021-11-3
205.0,2021-11-30
219.0,2021-11-4
205.0,2021-11-5
218.7,2021-11-6
218.0,2021-11-8
199.0,2021-11-9
205.2,2021-12-1
205.0,2021-12-10
209.99,2021-12-11
215.49,2021-12-12
215.49,2021-12-13
215.49,2021-12-14
221.49,2021-12-15
217.3,2021-12-16
215.14,2021-12-17
206.11,2021-12-18
215.0,2021-12-19
205.2,2021-12-2
214.44,2021-12-20
228.8781,2021-12-21
226.9492,2021-12-22
225.0936,2021-12-23
223.2977,2021-12-24
221.5563,2021-12-25
219.8943,2021-12-26
218.2989,2021-12-27
216.7702,2021-12-28
215.3239,2021-12-29
205.0,2021-12-3
213.9128,2021-12-30
212.5887,2021-12-31
219.99,2021-12-4
219.99,2021-12-6
219.99,2021-12-7
204.99,2021-12-8
219.99,2021-12-9
211.345,2022-1-1
205.0,2022-1-10
204.0,2022-1-11
199.67,2022-1-12
228.8,2022-1-13
208.82,2022-1-14
204.0,2022-1-15
204.0,2022-1-16
208.84,2022-1-17
203.0,2022-1-18
208.84,2022-1-19
210.1267,2022-1-2
203.0,2022-1-20
229.0,2022-1-21
234.6,2022-1-22
234.6,2022-1-23
233.0,2022-1-24
232.8,2022-1-25
222.0,2022-1-26
232.0,2022-1-27
232.0,2022-1-28
208.99,2022-1-3
231.5,2022-1-30
206.99,2022-1-31
205.0,2022-1-4
204.64,2022-1-5
205.0,2022-1-6
219.99,2022-1-7
205.0,2022-1-8
204.6,2022-1-9
220.99,2022-2-1
231.5,2022-2-10
230.0,2022-2-11
230.0,2022-2-13
229.79,2022-2-14
229.79,2022-2-16
216.0,2022-2-17
222.22,2022-2-18
229.79,2022-2-19
222.0,2022-2-2
203.18,2022-2-20
222.0,2022-2-21
220.0,2022-2-22
229.9,2022-2-23
210.0,2022-2-24
229.85,2022-2-25
227.77,2022-2-26
210.0,2022-2-27
229.85,2022-2-28
231.5,2022-2-3
206.58,2022-2-4
206.04,2022-2-5
206.45,2022-2-6
204.98,2022-2-7
202.58,2022-2-8
224.99,2022-2-9
222.0,2022-3-1
239.99,2022-3-10
253.92,2022-3-11
253.4,2022-3-12
252.14,2022-3-13
219.25,2022-3-14
236.74,2022-3-15
234.44,2022-3-16
228.59,2022-3-17
222.0,2022-3-2
223.86,2022-3-21
233.0,2022-3-22
233.0,2022-3-23
216.08,2022-3-24
213.51,2022-3-25
231.69,2022-3-26
227.42,2022-3-27
227.42,2022-3-28
227.13,2022-3-29
215.22,2022-3-3
229.4,2022-3-30
226.66,2022-3-31
229.85,2022-3-4
215.22,2022-3-6
220.0,2022-3-7
229.85,2022-3-8
218.5,2022-3-9
233.0,2022-4-4
