prix,date
17.52,2021-10-10
14.86,2021-10-11
15.0,2021-10-12
14.89,2021-10-13
14.99,2021-10-14
14.43,2021-10-15
16.09,2021-10-16
16.09,2021-10-17
15.54,2021-10-18
14.9,2021-10-19
14.47,2021-10-20
14.38,2021-10-21
14.23,2021-10-22
15.86,2021-10-23
15.8,2021-10-24
14.34,2021-10-25
13.83,2021-10-26
15.8,2021-10-27
13.99,2021-10-28
15.86,2021-10-29
15.0,2021-10-30
14.04,2021-10-31
15.86,2021-10-9
14.7,2021-11-1
14.96,2021-11-10
15.05,2021-11-11
14.87,2021-11-12
15.9,2021-11-13
14.67,2021-11-14
14.79,2021-11-15
14.87,2021-11-16
14.75,2021-11-17
14.75,2021-11-18
14.5,2021-11-19
14.66,2021-11-2
15.8,2021-11-20
15.82,2021-11-21
15.84,2021-11-22
15.09,2021-11-23
15.9,2021-11-24
15.9,2021-11-25
16.04,2021-11-26
15.9,2021-11-27
15.9,2021-11-28
15.36,2021-11-29
14.54,2021-11-3
15.15,2021-11-30
15.9,2021-11-4
14.59,2021-11-5
14.68,2021-11-6
15.03,2021-11-7
15.05,2021-11-8
15.05,2021-11-9
15.9,2021-12-1
16.07,2021-12-10
16.49,2021-12-11
16.34,2021-12-12
16.34,2021-12-13
24.9,2021-12-14
16.22,2021-12-15
16.22,2021-12-16
24.9,2021-12-17
16.02,2021-12-18
16.68,2021-12-19
15.48,2021-12-2
16.78,2021-12-20
16.34,2021-12-21
16.29,2021-12-22
17.91,2021-12-23
17.32,2021-12-24
17.47,2021-12-25
18.16,2021-12-26
17.22,2021-12-27
17.19,2021-12-28
16.79,2021-12-29
15.9,2021-12-3
17.45,2021-12-30
24.9,2021-12-31
16.34,2021-12-4
15.95,2021-12-5
20.95,2021-12-6
15.9,2021-12-7
16.5,2021-12-8
16.03,2021-12-9
17.9,2022-1-1
18.0,2022-1-10
17.9,2022-1-11
17.23,2022-1-12
17.2,2022-1-13
18.0,2022-1-14
17.9,2022-1-15
18.0,2022-1-16
17.9,2022-1-17
19.8,2022-1-18
19.8,2022-1-19
17.9,2022-1-2
18.0,2022-1-20
17.9,2022-1-21
17.9,2022-1-22
17.9,2022-1-23
17.9,2022-1-24
18.0,2022-1-25
18.0,2022-1-26
18.0,2022-1-27
18.31,2022-1-28
18.22,2022-1-29
18.5597,2022-1-3
18.0,2022-1-30
18.0,2022-1-31
24.9,2022-1-4
20.95,2022-1-5
17.9,2022-1-6
17.9,2022-1-7
17.9,2022-1-8
18.0,2022-1-9
18.0,2022-2-1
17.1,2022-2-10
17.01,2022-2-11
19.0,2022-2-12
19.0,2022-2-13
17.22,2022-2-14
17.82,2022-2-15
17.67,2022-2-16
19.0,2022-2-17
18.48,2022-2-18
18.18,2022-2-19
20.95,2022-2-2
18.03,2022-2-20
19.0,2022-2-21
19.0,2022-2-22
19.0,2022-2-23
19.0,2022-2-24
19.0,2022-2-25
17.31,2022-2-26
17.35,2022-2-27
17.35,2022-2-28
17.67,2022-2-3
19.0,2022-2-4
17.59,2022-2-5
17.53,2022-2-6
17.48,2022-2-7
17.24,2022-2-8
17.17,2022-2-9
19.0,2022-3-1
18.5,2022-3-10
19.8,2022-3-11
18.54,2022-3-12
18.46,2022-3-13
18.5,2022-3-14
18.5,2022-3-15
19.5,2022-3-16
17.68,2022-3-17
17.65,2022-3-18
19.0,2022-3-2
17.68,2022-3-21
19.5,2022-3-22
18.2,2022-3-23
18.28,2022-3-24
18.28,2022-3-25
18.28,2022-3-26
18.28,2022-3-27
19.5,2022-3-28
19.5,2022-3-29
18.6,2022-3-3
19.5,2022-3-30
19.5,2022-3-31
19.5,2022-3-4
19.5,2022-3-5
19.5,2022-3-6
18.41,2022-3-7
18.52,2022-3-8
18.5,2022-3-9
19.5,2022-4-4
