prix,date
38.34,2021-10-10
39.88,2021-10-11
39.88,2021-10-12
39.88,2021-10-13
38.13,2021-10-14
38.54,2021-10-15
43.0,2021-10-16
37.84,2021-10-17
41.0,2021-10-18
38.99,2021-10-19
36.99,2021-10-20
40.0,2021-10-21
38.0,2021-10-22
35.37,2021-10-23
64.0,2021-10-24
34.61,2021-10-25
34.49,2021-10-26
42.0,2021-10-27
34.92,2021-10-28
36.73,2021-10-29
36.0,2021-10-30
37.5,2021-10-31
39.89,2021-10-9
35.36,2021-11-1
38.33,2021-11-10
38.0,2021-11-11
38.0,2021-11-12
40.6579,2021-11-13
40.2961,2021-11-14
40.0503,2021-11-15
64.0,2021-11-16
45.79,2021-11-17
38.42,2021-11-18
38.42,2021-11-19
36.03,2021-11-2
38.42,2021-11-20
39.43,2021-11-21
37.6487,2021-11-22
37.0,2021-11-23
37.0,2021-11-24
41.0,2021-11-25
41.0,2021-11-26
64.0,2021-11-27
38.19,2021-11-28
64.0,2021-11-29
35.4,2021-11-3
38.8,2021-11-30
37.56,2021-11-4
37.5,2021-11-5
36.0,2021-11-6
37.5,2021-11-7
39.0,2021-11-8
41.0,2021-11-9
38.5,2021-12-1
44.99,2021-12-10
40.49,2021-12-11
46.568000000000005,2021-12-12
45.3641,2021-12-13
44.4071,2021-12-14
43.695,2021-12-15
43.23389999999999,2021-12-16
43.0178,2021-12-17
43.0035,2021-12-18
43.96,2021-12-19
64.0,2021-12-2
42.99,2021-12-20
42.99,2021-12-21
42.99,2021-12-22
48.95,2021-12-23
47.98,2021-12-24
64.0,2021-12-25
41.03,2021-12-26
41.03,2021-12-27
44.69,2021-12-28
44.69,2021-12-29
41.55,2021-12-3
41.01,2021-12-30
40.99,2021-12-31
42.5,2021-12-4
45.32,2021-12-5
44.99,2021-12-6
41.7,2021-12-7
41.71,2021-12-8
41.97,2021-12-9
44.69,2022-1-1
44.24,2022-1-10
44.24,2022-1-11
76.17,2022-1-12
43.0,2022-1-13
43.21,2022-1-14
43.01,2022-1-15
43.0,2022-1-16
43.05,2022-1-17
43.0,2022-1-18
47.0,2022-1-19
44.69,2022-1-2
44.24,2022-1-20
42.77,2022-1-21
43.0,2022-1-22
43.0,2022-1-23
43.0,2022-1-24
42.58,2022-1-25
42.47,2022-1-26
42.45,2022-1-27
41.93,2022-1-28
43.0,2022-1-29
40.99,2022-1-3
43.0,2022-1-30
43.0,2022-1-31
40.99,2022-1-4
40.98,2022-1-5
45.99,2022-1-6
43.6,2022-1-7
76.17,2022-1-8
44.24,2022-1-9
45.7145,2022-2-1
42.45,2022-2-10
55.0,2022-2-11
54.47740000000001,2022-2-12
54.47740000000001,2022-2-13
43.7475,2022-2-14
43.8075,2022-2-15
41.46,2022-2-16
43.8375,2022-2-17
43.8375,2022-2-18
42.45,2022-2-19
43.43,2022-2-2
42.33,2022-2-20
43.8375,2022-2-21
45.0,2022-2-22
42.38,2022-2-23
42.29,2022-2-24
42.2,2022-2-25
42.1,2022-2-26
42.03,2022-2-27
41.96,2022-2-28
46.95,2022-2-3
45.45,2022-2-4
45.45,2022-2-5
45.45,2022-2-6
45.45,2022-2-7
45.45,2022-2-8
43.0,2022-2-9
47.0,2022-3-1
43.0,2022-3-10
43.0,2022-3-11
43.5,2022-3-12
44.03,2022-3-13
43.94,2022-3-14
44.0,2022-3-15
43.74,2022-3-16
47.99,2022-3-17
43.63,2022-3-18
41.81,2022-3-2
43.72,2022-3-21
44.99,2022-3-22
44.98,2022-3-23
43.81,2022-3-24
44.0,2022-3-25
43.75,2022-3-26
45.0,2022-3-27
44.0,2022-3-28
43.71,2022-3-29
42.08,2022-3-3
44.0,2022-3-30
43.29679999999999,2022-3-31
41.99,2022-3-4
41.89,2022-3-5
46.18,2022-3-6
43.82,2022-3-7
43.72,2022-3-8
44.0,2022-3-9
44.9,2022-4-4
43.52,2022-4-5
45.49,2022-4-6
