prix,date
39.05,2021-10-10
38.76,2021-10-11
43.7,2021-10-12
43.7,2021-10-13
42.7,2021-10-15
40.24,2021-10-16
40.47,2021-10-17
42.6,2021-10-18
39.57,2021-10-19
40.0,2021-10-20
42.0,2021-10-21
41.99,2021-10-22
39.35,2021-10-23
39.01,2021-10-24
38.23,2021-10-25
38.23,2021-10-26
38.23,2021-10-27
39.64,2021-10-28
41.0,2021-10-29
43.43,2021-10-30
39.65,2021-10-31
38.55,2021-10-9
42.99,2021-11-1
40.99,2021-11-10
40.8,2021-11-11
38.82,2021-11-12
38.64,2021-11-13
39.0,2021-11-14
41.6,2021-11-15
41.0,2021-11-16
39.0,2021-11-17
39.65,2021-11-18
40.0,2021-11-19
41.0,2021-11-2
38.83,2021-11-20
38.0,2021-11-21
39.98,2021-11-22
38.83,2021-11-23
38.24,2021-11-24
39.0,2021-11-25
38.19,2021-11-26
39.0,2021-11-27
37.67,2021-11-28
42.0,2021-11-29
41.91,2021-11-3
40.36,2021-11-30
41.63,2021-11-4
41.0,2021-11-5
39.0,2021-11-6
39.33,2021-11-7
40.6483,2021-11-8
39.2175,2021-11-9
39.11,2021-12-1
40.4,2021-12-10
41.75,2021-12-11
41.67,2021-12-12
41.29,2021-12-13
45.0,2021-12-14
45.0,2021-12-15
41.31,2021-12-16
43.0,2021-12-17
41.31,2021-12-18
40.29,2021-12-19
38.7,2021-12-2
38.13,2021-12-20
41.32,2021-12-21
39.48,2021-12-22
43.0,2021-12-23
43.0,2021-12-24
39.62,2021-12-25
43.0,2021-12-26
40.75,2021-12-27
40.38,2021-12-28
43.0,2021-12-29
40.34,2021-12-3
40.13,2021-12-30
40.1,2021-12-31
41.4,2021-12-4
41.4,2021-12-5
41.4,2021-12-6
40.26,2021-12-7
41.79,2021-12-8
45.0,2021-12-9
40.04,2022-1-1
41.23,2022-1-10
41.23,2022-1-11
41.23,2022-1-12
45.77,2022-1-13
40.41,2022-1-14
41.02,2022-1-15
41.21,2022-1-16
41.23,2022-1-17
41.23,2022-1-18
41.23,2022-1-19
43.0,2022-1-2
41.23,2022-1-20
41.23,2022-1-21
41.23,2022-1-22
41.23,2022-1-23
41.23,2022-1-24
41.23,2022-1-25
44.71,2022-1-26
42.72,2022-1-27
42.71,2022-1-28
46.49,2022-1-29
47.0,2022-1-3
46.39,2022-1-30
44.0,2022-1-31
40.69,2022-1-4
40.67,2022-1-5
40.63,2022-1-6
41.23,2022-1-7
47.0,2022-1-8
41.23,2022-1-9
42.26,2022-2-1
44.0,2022-2-10
44.0,2022-2-11
41.74,2022-2-12
44.0,2022-2-13
43.54,2022-2-14
44.0,2022-2-15
42.84,2022-2-16
44.0,2022-2-17
44.18,2022-2-18
42.79,2022-2-19
42.96,2022-2-2
44.0,2022-2-20
43.03,2022-2-21
46.8,2022-2-22
42.62,2022-2-23
46.8,2022-2-24
42.46,2022-2-25
46.8,2022-2-26
42.34,2022-2-27
42.26,2022-2-28
42.05,2022-2-3
44.0,2022-2-4
42.02,2022-2-5
44.79,2022-2-6
44.0,2022-2-7
44.0,2022-2-8
43.86,2022-2-9
42.17,2022-3-1
42.77,2022-3-10
42.25,2022-3-11
41.77,2022-3-12
45.9,2022-3-13
45.9,2022-3-14
46.0,2022-3-15
46.0,2022-3-16
43.08,2022-3-17
43.06,2022-3-18
42.0,2022-3-2
42.66,2022-3-21
46.8,2022-3-22
47.0,2022-3-23
47.0,2022-3-24
44.35,2022-3-25
41.92,2022-3-26
44.0,2022-3-27
43.44,2022-3-28
43.34,2022-3-29
41.9,2022-3-3
43.27,2022-3-30
42.69,2022-3-31
41.82,2022-3-4
41.73,2022-3-5
41.67,2022-3-6
44.59,2022-3-7
45.76,2022-3-8
46.8,2022-3-9
