prix,date
156.79,2021-10-10
156.0,2021-10-11
165.0,2021-10-12
165.0,2021-10-13
165.0,2021-10-14
152.59,2021-10-15
153.1,2021-10-16
153.17,2021-10-17
165.0,2021-10-18
160.64,2021-10-19
158.99,2021-10-20
159.9,2021-10-21
160.0,2021-10-22
156.32,2021-10-23
170.0,2021-10-25
170.0,2021-10-26
160.0,2021-10-29
159.97,2021-10-30
159.98,2021-10-31
158.38,2021-11-1
161.79,2021-11-10
161.75,2021-11-11
161.74,2021-11-12
161.78,2021-11-13
161.6,2021-11-14
153.67,2021-11-15
159.99,2021-11-16
159.49,2021-11-17
159.48,2021-11-18
156.8,2021-11-2
163.25,2021-11-22
156.95,2021-11-23
156.94,2021-11-24
155.95,2021-11-25
155.9,2021-11-26
155.0,2021-11-27
156.8,2021-11-28
163.0,2021-11-29
156.79,2021-11-3
163.0,2021-11-30
156.78,2021-11-4
158.39,2021-11-6
156.81,2021-11-8
155.24,2021-11-9
161.5,2021-12-1
149.5,2021-12-10
162.5,2021-12-11
162.4,2021-12-12
159.39,2021-12-13
160.78,2021-12-14
160.0,2021-12-15
160.0,2021-12-16
159.99,2021-12-17
159.0,2021-12-18
155.86,2021-12-19
158.0,2021-12-2
156.97,2021-12-20
164.99,2021-12-21
159.0,2021-12-22
150.0,2021-12-23
155.0,2021-12-24
150.0,2021-12-25
155.0,2021-12-26
155.0,2021-12-27
164.8,2021-12-28
155.0,2021-12-29
163.0,2021-12-3
157.9,2021-12-30
157.9,2021-12-31
150.99,2021-12-5
150.99,2021-12-6
163.0,2021-12-7
155.43,2021-12-8
155.0,2021-12-9
159.99,2022-1-1
169.0,2022-1-10
163.8,2022-1-11
168.95,2022-1-12
167.99,2022-1-13
163.76,2022-1-14
168.95,2022-1-15
168.95,2022-1-16
168.8,2022-1-17
161.63,2022-1-18
168.8,2022-1-19
163.7,2022-1-2
164.99,2022-1-20
164.99,2022-1-21
164.98,2022-1-22
164.99,2022-1-23
168.8,2022-1-24
164.96,2022-1-25
164.91,2022-1-26
172.0,2022-1-27
164.88,2022-1-28
164.83,2022-1-29
163.69,2022-1-3
170.32,2022-1-30
170.32,2022-1-31
163.69,2022-1-4
156.96,2022-1-5
159.0,2022-1-6
159.99,2022-1-7
163.7,2022-1-8
169.0,2022-1-9
171.92,2022-2-1
174.98,2022-2-10
172.0,2022-2-11
171.92,2022-2-12
171.92,2022-2-13
171.91,2022-2-14
172.0,2022-2-15
171.91,2022-2-16
170.0,2022-2-17
171.92,2022-2-18
170.2,2022-2-19
172.0,2022-2-2
172.0,2022-2-20
162.02,2022-2-21
161.94,2022-2-22
177.75,2022-2-23
162.36,2022-2-24
172.0,2022-2-25
175.36,2022-2-26
172.0,2022-2-27
179.99,2022-2-28
171.91,2022-2-3
171.91,2022-2-4
172.0,2022-2-5
171.92,2022-2-6
171.92,2022-2-7
171.92,2022-2-8
171.92,2022-2-9
172.0,2022-3-1
172.0,2022-3-10
173.0,2022-3-11
173.0,2022-3-12
183.0,2022-3-13
183.0,2022-3-14
183.0,2022-3-15
182.91,2022-3-16
183.0,2022-3-17
165.59,2022-3-18
181.97,2022-3-2
172.0,2022-3-21
174.28,2022-3-22
174.27,2022-3-23
174.08,2022-3-24
175.0,2022-3-25
179.99,2022-3-26
175.0,2022-3-27
175.0,2022-3-28
179.99,2022-3-29
166.8537,2022-3-3
