prix,date
290.0,2021-10-10
277.18,2021-10-11
262.38,2021-10-12
269.99,2021-10-13
269.98,2021-10-14
278.0,2021-10-15
303.33,2021-10-17
256.4348,2021-10-18
270.0,2021-10-19
258.99,2021-10-20
277.0,2021-10-21
288.16,2021-10-22
256.31,2021-10-23
342.0,2021-10-24
253.26,2021-10-25
253.56,2021-10-26
258.24,2021-10-27
303.33,2021-10-28
272.97,2021-10-29
299.9,2021-10-30
279.99,2021-10-31
289.06,2021-10-9
269.99,2021-11-1
279.98,2021-11-11
268.86,2021-11-12
267.27,2021-11-14
289.89,2021-11-15
282.99,2021-11-16
260.0,2021-11-17
260.0,2021-11-18
260.0,2021-11-19
260.0,2021-11-21
245.04,2021-11-22
333.0,2021-11-23
260.0,2021-11-24
258.8,2021-11-25
325.0,2021-11-26
258.0,2021-11-27
257.73,2021-11-28
325.0,2021-11-29
270.0,2021-11-3
325.0,2021-11-30
338.7673,2021-11-4
267.3,2021-11-5
268.86,2021-11-8
267.28,2021-11-9
257.73,2021-12-1
263.91,2021-12-10
257.04,2021-12-11
263.0,2021-12-12
256.49,2021-12-13
325.0,2021-12-14
252.66,2021-12-15
266.0,2021-12-16
325.0,2021-12-17
268.59,2021-12-18
273.8,2021-12-19
325.0,2021-12-2
268.22,2021-12-20
268.2,2021-12-21
263.56,2021-12-22
264.89,2021-12-23
325.0,2021-12-24
266.0,2021-12-25
310.0,2021-12-26
310.0,2021-12-27
266.0,2021-12-28
310.0,2021-12-29
257.73,2021-12-3
268.22,2021-12-30
310.0,2021-12-31
270.0,2021-12-4
325.0,2021-12-5
325.0,2021-12-6
325.0,2021-12-7
256.07,2021-12-8
325.0,2021-12-9
268.15,2022-1-1
300.0,2022-1-10
300.0,2022-1-11
300.0,2022-1-12
267.78,2022-1-13
311.0,2022-1-14
268.22,2022-1-15
268.22,2022-1-16
299.97,2022-1-17
311.0,2022-1-18
295.49,2022-1-19
268.1,2022-1-2
295.49,2022-1-20
268.22,2022-1-21
268.22,2022-1-22
299.68,2022-1-23
283.49,2022-1-24
268.22,2022-1-25
283.49,2022-1-26
294.7,2022-1-27
293.36,2022-1-28
294.0,2022-1-29
268.06,2022-1-3
293.19,2022-1-30
293.13,2022-1-31
268.02,2022-1-4
267.99,2022-1-5
267.94,2022-1-6
300.0,2022-1-7
267.91,2022-1-8
267.86,2022-1-9
293.09,2022-2-1
439.0,2022-2-10
429.0,2022-2-11
290.0,2022-2-12
277.96,2022-2-13
429.0,2022-2-14
439.0,2022-2-15
275.06,2022-2-16
275.0,2022-2-17
269.98,2022-2-18
294.69,2022-2-19
293.07,2022-2-2
439.0,2022-2-20
294.69,2022-2-21
290.03,2022-2-22
290.01,2022-2-23
280.0,2022-2-24
439.0,2022-2-25
271.69,2022-2-26
299.0,2022-2-27
285.27,2022-2-28
275.0,2022-2-3
293.0,2022-2-4
291.43,2022-2-5
291.38,2022-2-6
275.0,2022-2-7
284.65,2022-2-8
287.38,2022-2-9
285.19,2022-3-1
330.0,2022-3-10
449.0,2022-3-11
311.73,2022-3-12
308.76,2022-3-13
295.7,2022-3-14
295.7,2022-3-15
449.0,2022-3-17
330.0,2022-3-18
282.48,2022-3-2
423.88,2022-3-21
449.0,2022-3-22
302.42,2022-3-24
449.0,2022-3-25
449.0,2022-3-26
299.31,2022-3-27
449.0,2022-3-28
299.12,2022-3-29
280.0,2022-3-3
299.05,2022-3-30
298.98,2022-3-31
299.0,2022-3-4
299.0,2022-3-5
279.77,2022-3-6
449.0,2022-3-7
