prix,date
1.13,2021-10-10
1.25,2021-10-11
0.91,2021-10-12
0.9,2021-10-13
1.06,2021-10-14
1.02,2021-10-15
0.99,2021-10-16
0.98,2021-10-17
0.96,2021-10-18
1.25,2021-10-19
0.95,2021-10-20
0.9,2021-10-21
0.85,2021-10-22
0.93,2021-10-23
0.98,2021-10-24
0.82,2021-10-25
1.24,2021-10-26
0.97,2021-10-27
0.94,2021-10-28
0.79,2021-10-29
0.82,2021-10-30
1.0,2021-10-31
1.2,2021-10-9
1.23,2021-11-1
0.91,2021-11-10
1.23,2021-11-11
0.86,2021-11-12
0.86,2021-11-13
1.24,2021-11-14
0.91,2021-11-15
0.9,2021-11-16
0.89,2021-11-17
0.9,2021-11-18
0.89,2021-11-19
0.98,2021-11-2
0.89,2021-11-20
0.88,2021-11-21
1.2,2021-11-22
0.7888,2021-11-23
0.8775,2021-11-24
0.8775,2021-11-25
0.8775,2021-11-26
0.84,2021-11-27
0.8775,2021-11-28
0.8775,2021-11-29
0.8,2021-11-3
0.8775,2021-11-30
1.08,2021-11-4
1.02,2021-11-5
0.88,2021-11-6
0.89,2021-11-7
0.93,2021-11-8
0.93,2021-11-9
0.8775,2021-12-1
0.86,2021-12-10
0.91,2021-12-11
1.0,2021-12-12
1.0,2021-12-13
0.89,2021-12-14
0.89,2021-12-15
0.88,2021-12-16
1.0,2021-12-17
1.0,2021-12-18
1.0,2021-12-19
0.93,2021-12-2
1.24,2021-12-20
1.24,2021-12-21
1.24,2021-12-22
0.9,2021-12-23
1.24,2021-12-24
1.24,2021-12-25
1.24,2021-12-26
1.24,2021-12-27
1.24,2021-12-28
1.24,2021-12-29
0.93,2021-12-3
1.24,2021-12-30
1.25,2021-12-31
0.85,2021-12-4
1.24,2021-12-5
1.24,2021-12-6
0.9,2021-12-7
1.24,2021-12-8
1.0,2021-12-9
1.25,2022-1-1
1.25,2022-1-10
1.25,2022-1-11
1.1,2022-1-12
1.1,2022-1-13
1.1,2022-1-14
1.1,2022-1-15
1.1,2022-1-16
0.93,2022-1-17
1.1,2022-1-18
1.1,2022-1-19
1.2004,2022-1-2
1.1,2022-1-20
0.93,2022-1-21
0.93,2022-1-22
1.1,2022-1-23
1.1,2022-1-24
1.1,2022-1-25
1.0827,2022-1-26
1.0611,2022-1-27
1.0408,2022-1-28
1.0206,2022-1-29
1.1374,2022-1-3
1.0018,2022-1-30
0.9837,2022-1-31
1.0,2022-1-4
0.975,2022-1-5
0.9459,2022-1-6
1.25,2022-1-7
1.25,2022-1-8
1.25,2022-1-9
0.9667,2022-2-1
0.9225,2022-2-10
0.9225,2022-2-11
0.9225,2022-2-12
1.1,2022-2-13
1.1,2022-2-14
1.1,2022-2-15
0.8976,2022-2-16
1.1,2022-2-17
2.0,2022-2-18
2.5,2022-2-19
0.9506,2022-2-2
2.0,2022-2-20
2.0,2022-2-21
2.0,2022-2-22
2.0,2022-2-23
1.25,2022-2-24
1.25,2022-2-25
1.25,2022-2-26
1.25,2022-2-27
1.25,2022-2-28
0.9352,2022-2-3
0.9208,2022-2-4
0.9071,2022-2-5
0.895,2022-2-6
1.1,2022-2-7
1.1,2022-2-8
0.9225,2022-2-9
1.25,2022-3-1
1.06,2022-3-10
1.2,2022-3-11
1.2,2022-3-12
1.2,2022-3-13
1.2,2022-3-14
1.2,2022-3-15
1.2,2022-3-16
1.2,2022-3-17
1.2,2022-3-18
1.25,2022-3-2
1.2,2022-3-21
1.2,2022-3-22
1.14,2022-3-23
1.2,2022-3-24
1.2,2022-3-25
1.2,2022-3-26
1.19,2022-3-27
1.1812,2022-3-28
1.1224,2022-3-29
1.0,2022-3-3
1.0674,2022-3-30
1.0179,2022-3-31
1.25,2022-3-4
1.25,2022-3-5
1.25,2022-3-6
1.2,2022-3-7
1.2,2022-3-8
1.2,2022-3-9
0.8586,2022-4-4
0.8519,2022-4-5
0.8097,2022-4-6
