prix,date
3.5,2021-10-10
2.5,2021-10-11
2.51,2021-10-12
2.84,2021-10-13
2.45,2021-10-14
2.37,2021-10-15
2.35,2021-10-16
2.35,2021-10-17
3.5,2021-10-18
2.36,2021-10-19
2.35,2021-10-20
2.34,2021-10-21
4.85,2021-10-22
2.69,2021-10-23
2.59,2021-10-24
2.55,2021-10-25
2.47,2021-10-26
2.55,2021-10-27
3.0,2021-10-28
2.5795,2021-10-29
2.29,2021-10-30
2.49,2021-10-31
2.69,2021-10-9
2.35,2021-11-1
2.5,2021-11-10
2.44,2021-11-11
2.46,2021-11-12
2.43,2021-11-13
3.7,2021-11-14
2.8,2021-11-15
2.51,2021-11-16
2.5,2021-11-17
2.46,2021-11-18
2.52,2021-11-19
2.35,2021-11-2
2.47,2021-11-20
2.54,2021-11-21
2.52,2021-11-22
2.8079999999999994,2021-11-23
2.76,2021-11-24
2.66,2021-11-25
2.76,2021-11-26
2.92,2021-11-27
2.89,2021-11-28
2.76,2021-11-29
2.34,2021-11-3
2.76,2021-11-30
4.85,2021-11-4
2.55,2021-11-5
2.69,2021-11-6
2.45,2021-11-7
2.61,2021-11-8
2.5,2021-11-9
2.87,2021-12-1
3.49,2021-12-10
2.89,2021-12-11
2.96,2021-12-12
2.92,2021-12-13
2.8,2021-12-14
4.85,2021-12-15
2.89,2021-12-16
2.9,2021-12-17
3.5,2021-12-18
3.2253,2021-12-19
2.76,2021-12-2
2.9513,2021-12-20
3.2,2021-12-21
2.9,2021-12-22
2.9,2021-12-23
3.16,2021-12-24
3.16,2021-12-25
3.16,2021-12-26
3.2,2021-12-27
2.83,2021-12-28
3.2,2021-12-29
3.49,2021-12-3
2.8,2021-12-30
3.25,2021-12-31
2.83,2021-12-4
2.84,2021-12-5
2.83,2021-12-6
2.77,2021-12-7
2.84,2021-12-8
2.88,2021-12-9
3.2,2022-1-1
2.9,2022-1-10
3.3,2022-1-11
2.89,2022-1-12
2.88,2022-1-13
3.6,2022-1-14
2.88,2022-1-15
3.75,2022-1-16
3.4,2022-1-17
3.75,2022-1-18
3.4,2022-1-19
3.15,2022-1-2
3.3,2022-1-20
3.29,2022-1-21
2.87,2022-1-22
3.75,2022-1-23
2.9,2022-1-24
3.75,2022-1-25
3.16,2022-1-26
3.75,2022-1-27
3.24,2022-1-28
3.1312,2022-1-29
2.9,2022-1-3
3.1312,2022-1-30
3.1312,2022-1-31
3.15,2022-1-4
3.15,2022-1-5
3.3,2022-1-6
2.84,2022-1-7
2.84,2022-1-8
3.3,2022-1-9
3.48,2022-2-1
3.392,2022-2-10
3.392,2022-2-11
3.9,2022-2-12
3.05,2022-2-13
3.75,2022-2-14
3.75,2022-2-15
3.75,2022-2-16
3.06,2022-2-17
3.75,2022-2-18
3.05,2022-2-19
3.29,2022-2-2
3.04,2022-2-20
4.0,2022-2-21
2.94,2022-2-22
3.02,2022-2-23
3.04,2022-2-24
2.94,2022-2-25
2.95,2022-2-26
3.02,2022-2-27
3.8733,2022-2-28
3.1312,2022-2-3
3.779,2022-2-4
2.99,2022-2-5
3.574,2022-2-6
3.3164,2022-2-7
3.392,2022-2-8
3.392,2022-2-9
3.6841,2022-3-1
3.04,2022-3-10
3.06,2022-3-11
3.0,2022-3-12
3.09,2022-3-13
4.0,2022-3-14
3.0,2022-3-15
3.6178,2022-3-16
3.4479,2022-3-17
3.4203,2022-3-18
3.5071,2022-3-2
3.06,2022-3-21
3.03,2022-3-22
3.02,2022-3-23
3.04,2022-3-24
3.07,2022-3-25
4.0,2022-3-26
4.0,2022-3-27
2.98,2022-3-28
3.02,2022-3-29
3.3456,2022-3-3
2.94,2022-3-30
4.0,2022-3-31
3.1977,2022-3-4
3.0632,2022-3-5
4.0,2022-3-6
4.0,2022-3-7
4.0,2022-3-8
