prix,date
88.78,2021-10-10
94.98,2021-10-11
83.9,2021-10-12
94.98,2021-10-13
84.68,2021-10-14
81.53,2021-10-15
86.89,2021-10-16
85.65,2021-10-17
105.99,2021-10-18
85.48,2021-10-19
86.46,2021-10-20
88.78,2021-10-21
89.06,2021-10-22
89.7,2021-10-23
105.99,2021-10-24
89.04,2021-10-25
87.36,2021-10-26
85.59,2021-10-27
84.7,2021-10-28
85.04,2021-10-29
85.19,2021-10-30
94.9,2021-10-31
88.78,2021-10-9
84.73,2021-11-1
84.71,2021-11-10
85.65,2021-11-11
84.17,2021-11-12
85.0,2021-11-13
95.0,2021-11-14
94.9,2021-11-15
90.0,2021-11-16
83.7,2021-11-17
83.7,2021-11-18
84.2,2021-11-19
84.89,2021-11-2
83.9,2021-11-20
82.85,2021-11-21
82.0,2021-11-22
90.0,2021-11-23
84.83,2021-11-24
83.35,2021-11-25
85.62,2021-11-26
83.21,2021-11-27
90.0,2021-11-28
82.99,2021-11-29
88.0,2021-11-3
90.0,2021-11-30
85.55,2021-11-4
85.16,2021-11-5
84.32,2021-11-6
85.01,2021-11-7
84.92,2021-11-8
95.0,2021-11-9
82.61,2021-12-1
89.0,2021-12-10
88.39,2021-12-11
90.14,2021-12-12
87.0,2021-12-13
87.0,2021-12-14
89.0,2021-12-15
87.0,2021-12-16
89.0,2021-12-17
88.28,2021-12-18
87.16,2021-12-19
90.0,2021-12-2
105.99,2021-12-20
86.29,2021-12-21
85.52,2021-12-22
105.2492,2021-12-23
98.0,2021-12-24
89.4,2021-12-25
99.0,2021-12-26
84.58,2021-12-27
99.0,2021-12-28
84.49,2021-12-29
85.73,2021-12-3
84.42,2021-12-30
99.0,2021-12-31
86.8,2021-12-4
91.0,2021-12-5
91.0,2021-12-6
86.21,2021-12-7
100.0,2021-12-8
89.7,2021-12-9
99.0,2022-1-1
99.0,2022-1-10
84.73,2022-1-11
84.72,2022-1-12
105.0,2022-1-13
84.73,2022-1-14
105.0,2022-1-15
105.0,2022-1-16
84.73,2022-1-17
105.0,2022-1-18
100.0,2022-1-19
84.73,2022-1-2
105.0,2022-1-20
84.73,2022-1-21
100.0,2022-1-22
84.73,2022-1-23
84.73,2022-1-24
98.11,2022-1-25
92.53,2022-1-26
102.95,2022-1-27
94.98,2022-1-28
105.0,2022-1-29
99.0,2022-1-3
93.99,2022-1-30
105.0,2022-1-31
84.73,2022-1-4
99.0,2022-1-5
99.0,2022-1-6
99.0,2022-1-7
84.73,2022-1-8
84.73,2022-1-9
91.96,2022-2-1
102.0,2022-2-10
94.37,2022-2-11
102.0,2022-2-12
103.9,2022-2-13
93.6,2022-2-14
103.9,2022-2-15
94.4,2022-2-16
103.9,2022-2-17
103.9,2022-2-18
97.9,2022-2-19
105.0,2022-2-2
97.9,2022-2-20
103.95,2022-2-21
95.45,2022-2-22
95.63,2022-2-23
103.95,2022-2-24
94.57,2022-2-25
104.0,2022-2-26
94.4,2022-2-27
94.33,2022-2-28
102.0,2022-2-3
102.0,2022-2-4
94.8,2022-2-5
102.0,2022-2-6
94.18,2022-2-7
93.1,2022-2-8
94.38,2022-2-9
100.0,2022-3-1
104.0,2022-3-10
95.04,2022-3-11
95.04,2022-3-12
104.0,2022-3-13
103.9,2022-3-14
103.9,2022-3-15
94.61,2022-3-16
94.51,2022-3-17
94.47,2022-3-18
103.9,2022-3-2
102.0,2022-3-21
102.0,2022-3-22
101.06,2022-3-23
101.1,2022-3-24
100.98,2022-3-25
98.8,2022-3-26
104.9,2022-3-27
104.9,2022-3-28
98.53,2022-3-29
95.1,2022-3-3
104.9,2022-3-30
97.96,2022-3-31
95.1,2022-3-4
99.0,2022-3-5
103.9,2022-3-6
94.97,2022-3-7
94.98,2022-3-8
95.04,2022-3-9
104.9,2022-4-4
102.38,2022-4-5
104.9,2022-4-6
