prix,date
63.32,2021-10-10
61.67,2021-10-11
63.3,2021-10-12
60.82,2021-10-13
63.0,2021-10-14
61.66,2021-10-15
62.95,2021-10-16
85.0,2021-10-17
85.0,2021-10-18
68.0,2021-10-19
62.35,2021-10-20
63.0,2021-10-21
63.97,2021-10-22
63.96,2021-10-24
63.95,2021-10-25
68.39,2021-10-28
67.68,2021-10-30
78.5692,2021-10-31
61.69,2021-10-9
79.5021,2021-11-1
61.04,2021-11-10
61.0,2021-11-11
66.24,2021-11-12
60.99,2021-11-13
62.0,2021-11-14
61.2,2021-11-15
62.0,2021-11-16
61.0,2021-11-17
62.0,2021-11-18
62.77,2021-11-19
78.4523,2021-11-2
62.39,2021-11-20
61.99,2021-11-21
61.99,2021-11-22
61.99,2021-11-23
60.53,2021-11-24
60.53,2021-11-25
60.53,2021-11-26
61.99,2021-11-27
62.0,2021-11-28
66.0,2021-11-29
77.4041,2021-11-3
62.52,2021-11-30
76.5938,2021-11-4
75.9455,2021-11-5
75.448,2021-11-6
75.1103,2021-11-7
74.9304,2021-11-8
74.9,2021-11-9
62.0,2021-12-1
59.0,2021-12-10
66.0,2021-12-11
62.0,2021-12-12
61.55,2021-12-13
66.0,2021-12-14
61.59,2021-12-15
61.58,2021-12-16
60.96,2021-12-17
60.05,2021-12-18
61.25,2021-12-19
62.0,2021-12-2
61.0,2021-12-20
66.0,2021-12-21
60.06,2021-12-22
60.31,2021-12-23
66.0,2021-12-24
60.26,2021-12-25
60.2,2021-12-26
60.3,2021-12-27
66.0,2021-12-28
66.0,2021-12-29
62.0,2021-12-3
60.3,2021-12-30
66.0,2021-12-31
66.0,2021-12-4
66.52,2021-12-5
61.89,2021-12-6
62.67,2021-12-7
63.03,2021-12-8
61.17,2021-12-9
67.0,2022-1-1
60.3,2022-1-10
67.0,2022-1-11
60.3,2022-1-12
67.0,2022-1-13
60.3,2022-1-14
60.3,2022-1-15
60.3,2022-1-16
74.9,2022-1-17
60.3,2022-1-18
70.0,2022-1-19
60.3,2022-1-2
60.3,2022-1-20
67.0,2022-1-21
67.0,2022-1-22
60.3,2022-1-23
60.3,2022-1-24
60.3,2022-1-25
67.63,2022-1-26
67.59,2022-1-27
74.9,2022-1-28
66.45,2022-1-29
67.0,2022-1-3
66.41,2022-1-30
66.32,2022-1-31
60.3,2022-1-4
67.0,2022-1-5
60.3,2022-1-6
67.0,2022-1-7
67.0,2022-1-8
60.3,2022-1-9
68.67,2022-2-1
68.47,2022-2-10
68.68,2022-2-11
68.68,2022-2-12
74.9,2022-2-13
68.68,2022-2-14
68.68,2022-2-15
66.59,2022-2-16
66.53,2022-2-17
66.42,2022-2-18
69.0,2022-2-19
68.67,2022-2-2
69.0,2022-2-20
73.99,2022-2-21
65.98,2022-2-22
72.0,2022-2-23
72.0,2022-2-24
72.0,2022-2-25
71.23,2022-2-26
69.5,2022-2-27
73.9,2022-2-28
67.95,2022-2-3
67.72,2022-2-4
70.85,2022-2-5
70.0,2022-2-6
70.0,2022-2-7
70.0,2022-2-8
69.09,2022-2-9
73.9,2022-3-1
72.4,2022-3-10
69.32,2022-3-11
68.46,2022-3-12
68.36,2022-3-13
67.77,2022-3-14
66.89,2022-3-15
72.4,2022-3-16
69.56,2022-3-17
68.77,2022-3-18
72.99,2022-3-2
73.85,2022-3-21
68.96,2022-3-22
68.95,2022-3-23
68.92,2022-3-24
68.84,2022-3-25
68.55,2022-3-26
68.48,2022-3-27
68.4,2022-3-28
68.3,2022-3-29
72.99,2022-3-3
75.0,2022-3-30
67.97,2022-3-31
73.99,2022-3-4
73.99,2022-3-5
71.57,2022-3-6
71.57,2022-3-7
72.49,2022-3-8
72.4,2022-3-9
