,0,1
0,48.83,2021-10-10
1,48.59,2021-10-11
2,49.46,2021-10-15
3,49.54,2021-10-16
4,48.96,2021-10-17
5,49.78,2021-10-18
6,47.99,2021-10-19
7,48.13,2021-10-20
8,46.53,2021-10-21
9,46.49,2021-10-22
10,46.53,2021-10-23
11,48.32,2021-10-24
12,47.56,2021-10-25
13,46.45,2021-10-26
14,49.08,2021-10-27
15,54.43,2021-10-28
16,51.0,2021-10-29
17,49.07,2021-10-30
18,49.05,2021-10-31
19,53.99,2021-11-1
20,47.7,2021-11-10
21,47.22,2021-11-11
22,47.36,2021-11-12
23,49.01,2021-11-13
24,49.0,2021-11-14
25,47.01,2021-11-15
26,48.53,2021-11-16
27,46.15,2021-11-17
28,46.15,2021-11-18
29,48.53,2021-11-19
30,48.53,2021-11-21
31,49.0,2021-11-22
32,46.64,2021-11-23
33,46.66,2021-11-24
34,48.0,2021-11-25
35,46.27,2021-11-26
36,46.64,2021-11-27
37,45.84,2021-11-28
38,46.26,2021-11-29
39,49.06,2021-11-3
40,45.64,2021-11-30
41,49.04,2021-11-4
42,49.99,2021-11-5
43,48.66,2021-11-6
44,47.7,2021-11-7
45,47.7,2021-11-8
46,46.98,2021-11-9
47,48.0,2021-12-1
48,45.72,2021-12-10
49,48.5,2021-12-11
50,45.72,2021-12-12
51,47.82,2021-12-13
52,49.57,2021-12-14
53,48.1,2021-12-15
54,49.99,2021-12-16
55,49.55,2021-12-17
56,49.8,2021-12-18
57,47.31,2021-12-19
58,47.02,2021-12-2
59,46.34,2021-12-20
60,49.8,2021-12-21
61,45.99,2021-12-22
62,46.62,2021-12-23
63,47.88,2021-12-24
64,49.8,2021-12-25
65,47.8,2021-12-26
66,47.76,2021-12-27
67,47.87,2021-12-28
68,47.83,2021-12-29
69,48.36,2021-12-3
70,47.77,2021-12-30
71,47.74,2021-12-31
72,47.0,2021-12-4
73,47.22,2021-12-5
74,46.41,2021-12-6
75,46.71,2021-12-7
76,48.0,2021-12-8
77,45.65,2021-12-9
78,47.69,2022-1-1
79,47.88,2022-1-10
80,47.88,2022-1-11
81,47.87,2022-1-12
82,47.88,2022-1-13
83,47.88,2022-1-14
84,47.88,2022-1-15
85,47.88,2022-1-16
86,47.88,2022-1-17
87,47.88,2022-1-18
88,47.88,2022-1-19
89,47.36,2022-1-2
90,47.88,2022-1-20
91,47.88,2022-1-21
92,46.69,2022-1-22
93,47.39,2022-1-23
94,47.16,2022-1-24
95,46.69,2022-1-25
96,47.5,2022-1-26
97,51.99,2022-1-27
98,53.0,2022-1-28
99,52.59,2022-1-29
100,47.32,2022-1-3
101,51.69,2022-1-30
102,51.28,2022-1-31
103,47.28,2022-1-4
104,49.8,2022-1-5
105,47.21,2022-1-6
106,47.88,2022-1-7
107,53.0,2022-1-8
108,48.7,2022-1-9
109,51.14,2022-2-1
110,50.39,2022-2-10
111,50.11,2022-2-11
112,49.51,2022-2-12
113,49.2,2022-2-13
114,49.2,2022-2-14
115,48.97,2022-2-15
116,52.5,2022-2-16
117,53.0,2022-2-17
118,51.98,2022-2-18
119,50.95,2022-2-19
120,50.43,2022-2-2
121,50.83,2022-2-20
122,53.0,2022-2-21
123,48.38,2022-2-22
124,48.31,2022-2-23
125,48.23,2022-2-24
126,50.32,2022-2-25
127,49.27,2022-2-26
128,54.77,2022-2-27
129,49.48,2022-2-28
130,51.28,2022-2-3
131,51.26,2022-2-4
132,51.29,2022-2-5
133,53.0,2022-2-6
134,49.35,2022-2-7
135,50.4,2022-2-8
136,51.56,2022-2-9
137,54.77,2022-3-1
138,55.99,2022-3-10
139,49.81,2022-3-11
140,49.72,2022-3-12
141,49.57,2022-3-13
142,49.47,2022-3-14
143,49.38,2022-3-15
144,49.3,2022-3-16
145,49.21,2022-3-17
146,49.19,2022-3-18
147,49.44,2022-3-2
148,54.75,2022-3-21
149,54.75,2022-3-22
150,50.76,2022-3-24
151,55.99,2022-3-25
152,55.99,2022-3-26
153,51.7,2022-3-27
154,51.45,2022-3-28
155,51.35,2022-3-29
156,54.77,2022-3-3
157,49.09,2022-3-30
158,48.42,2022-3-31
159,48.82,2022-3-4
160,48.73,2022-3-5
161,54.77,2022-3-6
162,52.0,2022-3-7
