prix,date
520.8988,2021-10-10
520.0147,2021-10-11
510.0,2021-10-12
509.0,2021-10-13
500.46,2021-10-14
499.0,2021-10-15
518.5,2021-10-16
499.0,2021-10-17
510.0,2021-10-18
494.99,2021-10-19
494.98,2021-10-20
500.8839,2021-10-21
500.7257,2021-10-22
500.0,2021-10-23
549.74,2021-10-24
489.98,2021-10-25
489.98,2021-10-27
511.49,2021-10-28
489.95,2021-10-29
489.98,2021-10-30
540.0,2021-10-31
523.0272,2021-10-9
489.98,2021-11-1
528.78,2021-11-10
529.47,2021-11-11
527.85,2021-11-12
549.99,2021-11-13
529.47,2021-11-14
526.03,2021-11-15
529.47,2021-11-16
526.03,2021-11-17
526.03,2021-11-18
526.03,2021-11-19
499.95,2021-11-2
526.03,2021-11-20
526.03,2021-11-21
525.83,2021-11-22
505.0,2021-11-23
498.0,2021-11-24
500.78,2021-11-25
500.0,2021-11-26
500.0,2021-11-27
500.0,2021-11-28
510.0,2021-11-29
511.6116,2021-11-3
510.0,2021-11-30
501.27,2021-11-4
490.61,2021-11-5
490.46,2021-11-6
535.79,2021-11-7
499.58,2021-11-8
500.0,2021-11-9
518.71,2021-12-1
500.0,2021-12-10
500.0,2021-12-11
500.0,2021-12-12
534.99,2021-12-13
534.99,2021-12-14
500.0,2021-12-15
500.0,2021-12-16
519.0,2021-12-17
530.0,2021-12-18
530.0,2021-12-19
510.0,2021-12-2
530.0,2021-12-20
530.0,2021-12-21
550.0,2021-12-22
535.0,2021-12-23
535.0,2021-12-24
520.0,2021-12-25
520.0,2021-12-26
520.0,2021-12-27
520.0,2021-12-28
500.0,2021-12-29
518.45,2021-12-3
500.0,2021-12-30
525.0,2021-12-31
498.64,2021-12-4
529.0,2021-12-5
511.5,2021-12-6
511.5,2021-12-7
519.0,2021-12-8
518.67,2021-12-9
508.57,2022-1-1
529.99,2022-1-10
529.99,2022-1-11
529.99,2022-1-12
533.0,2022-1-13
508.57,2022-1-14
580.0,2022-1-15
508.57,2022-1-16
550.0,2022-1-17
508.57,2022-1-18
589.99,2022-1-19
529.95,2022-1-2
520.0,2022-1-20
530.0,2022-1-21
530.0,2022-1-22
553.6125,2022-1-23
553.6125,2022-1-24
508.57,2022-1-25
550.0,2022-1-26
550.0,2022-1-27
550.0,2022-1-28
550.0,2022-1-29
529.95,2022-1-3
550.0,2022-1-30
534.95,2022-1-31
529.95,2022-1-4
500.0,2022-1-5
545.0,2022-1-6
509.0,2022-1-7
533.0,2022-1-8
533.0,2022-1-9
534.95,2022-2-1
589.99,2022-2-10
589.99,2022-2-11
583.24,2022-2-12
589.99,2022-2-13
556.92,2022-2-14
583.0,2022-2-15
589.99,2022-2-16
582.85,2022-2-17
581.86,2022-2-18
560.0,2022-2-19
553.98,2022-2-2
560.0,2022-2-20
548.14,2022-2-21
560.0,2022-2-22
560.0,2022-2-23
560.0,2022-2-24
570.0,2022-2-25
570.0,2022-2-26
560.0,2022-2-27
560.0,2022-2-28
553.98,2022-2-3
534.95,2022-2-4
534.95,2022-2-5
534.95,2022-2-6
589.99,2022-2-7
589.99,2022-2-8
586.4603,2022-2-9
560.0,2022-3-1
561.0,2022-3-10
619.9,2022-3-11
561.0,2022-3-12
561.0,2022-3-13
561.9694,2022-3-14
561.9,2022-3-15
561.9694,2022-3-16
570.76,2022-3-17
589.4,2022-3-18
560.0,2022-3-2
618.12,2022-3-21
615.0,2022-3-22
614.99,2022-3-23
603.49,2022-3-24
587.0,2022-3-25
587.0,2022-3-26
613.98,2022-3-27
613.98,2022-3-28
615.0,2022-3-29
561.0,2022-3-3
587.0,2022-3-30
610.0,2022-3-31
556.57,2022-3-4
556.48,2022-3-5
556.42,2022-3-6
556.32,2022-3-7
561.0,2022-3-8
561.0,2022-3-9
587.0,2022-4-4
583.99,2022-4-5
680.0,2022-4-6
