prix,date
14.0,2021-10-10
13.7,2021-10-11
13.16,2021-10-12
13.55,2021-10-13
13.65,2021-10-14
13.42,2021-10-15
13.27,2021-10-16
18.53,2021-10-17
18.53,2021-10-18
16.7,2021-10-19
18.0,2021-10-20
13.75,2021-10-21
18.95,2021-10-22
14.75,2021-10-23
14.5,2021-10-24
14.7,2021-10-25
14.69,2021-10-26
14.69,2021-10-27
14.7,2021-10-28
14.81,2021-10-29
14.7,2021-10-30
14.69,2021-10-31
13.66,2021-10-9
15.84,2021-11-1
20.75,2021-11-10
18.05,2021-11-11
20.75,2021-11-12
18.77,2021-11-13
18.04,2021-11-14
18.93,2021-11-15
18.28,2021-11-16
19.25,2021-11-17
19.28,2021-11-18
19.07,2021-11-19
17.54,2021-11-2
19.46,2021-11-20
19.47,2021-11-21
19.39,2021-11-22
17.41,2021-11-23
17.42,2021-11-24
19.24,2021-11-25
18.61,2021-11-26
19.39,2021-11-27
19.4,2021-11-28
18.01,2021-11-29
19.26,2021-11-3
19.39,2021-11-30
20.7,2021-11-4
17.72,2021-11-5
20.86,2021-11-6
24.2517,2021-11-7
50.0,2021-11-8
18.5,2021-11-9
19.4,2021-12-1
19.6,2021-12-10
19.66,2021-12-11
19.59,2021-12-12
21.36,2021-12-13
20.71,2021-12-14
21.63,2021-12-15
21.63,2021-12-16
21.59,2021-12-17
21.61,2021-12-18
21.77,2021-12-19
18.73,2021-12-2
21.75,2021-12-20
21.54,2021-12-21
21.32,2021-12-22
21.32,2021-12-23
21.31,2021-12-24
21.3,2021-12-25
21.05,2021-12-26
21.06,2021-12-27
21.06,2021-12-28
27.0,2021-12-29
19.63,2021-12-3
20.84,2021-12-30
20.63,2021-12-31
19.82,2021-12-4
19.27,2021-12-5
18.87,2021-12-6
19.8,2021-12-7
19.23,2021-12-8
19.81,2021-12-9
