,0,1
0,14.99,2022-1-31
1,8.0,2022-2-1
2,6.06,2022-2-10
3,5.87,2022-2-11
4,5.0,2022-2-12
5,5.43,2022-2-13
6,5.16,2022-2-14
7,4.8,2022-2-15
8,4.74,2022-2-16
9,4.62,2022-2-17
10,4.6,2022-2-18
11,4.69,2022-2-19
12,5.29,2022-2-2
13,4.68,2022-2-20
14,4.53,2022-2-21
15,4.6,2022-2-22
16,4.39,2022-2-23
17,4.65,2022-2-24
18,4.56,2022-2-25
19,4.22,2022-2-26
20,4.04,2022-2-27
21,3.9,2022-2-28
22,17.0,2022-2-3
23,8.93,2022-2-4
24,8.93,2022-2-5
25,6.15,2022-2-6
26,5.89,2022-2-7
27,5.9,2022-2-8
28,7.45,2022-2-9
29,3.8,2022-3-1
30,3.53,2022-3-10
31,4.15,2022-3-11
32,5.7,2022-3-12
33,3.48,2022-3-13
34,3.7,2022-3-14
35,4.15,2022-3-15
36,3.85,2022-3-16
37,3.31,2022-3-17
38,3.27,2022-3-18
39,3.69,2022-3-2
40,3.48,2022-3-21
41,3.07,2022-3-22
42,3.06,2022-3-23
43,3.5292000000000003,2022-3-24
44,3.19,2022-3-25
45,2.91,2022-3-26
46,2.92,2022-3-27
47,3.15,2022-3-28
48,3.14,2022-3-29
49,4.2,2022-3-3
50,3.13,2022-3-30
51,2.96,2022-3-31
52,4.0,2022-3-4
53,4.15,2022-3-5
54,3.74,2022-3-6
55,3.81,2022-3-7
56,4.15,2022-3-8
57,3.63,2022-3-9
58,2.92,2022-4-4
59,3.47,2022-4-6
