prix,date
45.2,2021-10-10
42.96,2021-10-11
43.48,2021-10-12
47.5,2021-10-13
47.557,2021-10-14
46.28799999999999,2021-10-15
49.9,2021-10-16
47.52,2021-10-17
73.41,2021-10-18
57.0,2021-10-19
65.0,2021-10-20
62.99,2021-10-21
43.52,2021-10-22
49.99,2021-10-23
44.0,2021-10-24
44.0,2021-10-25
50.0,2021-10-26
49.59,2021-10-27
48.56,2021-10-28
60.0,2021-10-29
59.99,2021-10-30
55.0,2021-10-31
43.63,2021-10-9
55.78,2021-11-1
56.41,2021-11-10
64.5,2021-11-11
57.21,2021-11-12
58.15,2021-11-13
57.34,2021-11-14
56.67,2021-11-15
56.4,2021-11-16
59.89,2021-11-17
57.23,2021-11-18
54.94,2021-11-19
66.32,2021-11-2
57.24,2021-11-20
57.24,2021-11-21
57.5,2021-11-22
57.31,2021-11-23
56.9,2021-11-24
63.2662,2021-11-25
60.90740000000001,2021-11-26
59.2584,2021-11-27
58.3,2021-11-28
58.29,2021-11-29
66.32,2021-11-3
58.0,2021-11-30
57.36,2021-11-4
60.02,2021-11-5
59.72,2021-11-6
59.61,2021-11-7
57.1,2021-11-8
64.5,2021-11-9
58.06,2021-12-1
77.9265,2021-12-10
90.0,2021-12-11
63.94,2021-12-12
74.95,2021-12-13
67.701,2021-12-14
61.47,2021-12-15
67.701,2021-12-16
67.701,2021-12-17
62.43,2021-12-18
63.69,2021-12-19
59.47,2021-12-2
63.72,2021-12-20
67.6582,2021-12-21
67.6582,2021-12-22
61.49,2021-12-23
67.6582,2021-12-24
67.6582,2021-12-25
67.6582,2021-12-26
65.99,2021-12-27
65.99,2021-12-28
61.62,2021-12-29
61.71,2021-12-3
61.6,2021-12-30
69.0,2021-12-31
76.9796,2021-12-4
64.74,2021-12-5
64.54,2021-12-6
90.0,2021-12-7
67.1,2021-12-8
67.09,2021-12-9
61.58,2022-1-1
61.63,2022-1-10
61.63,2022-1-11
70.3,2022-1-12
70.3,2022-1-13
61.63,2022-1-14
69.0,2022-1-15
69.0,2022-1-16
69.6379,2022-1-17
66.0,2022-1-18
66.0,2022-1-19
69.0,2022-1-2
65.8059,2022-1-20
61.63,2022-1-21
64.0,2022-1-22
63.98479999999999,2022-1-23
63.98479999999999,2022-1-24
64.0,2022-1-25
64.0,2022-1-26
64.0,2022-1-27
64.0,2022-1-28
63.99,2022-1-29
74.9,2022-1-3
63.99,2022-1-30
66.83,2022-1-31
72.97,2022-1-4
70.3,2022-1-5
61.62,2022-1-6
61.63,2022-1-7
61.61,2022-1-8
61.63,2022-1-9
67.7,2022-2-1
71.7788,2022-2-10
79.95,2022-2-11
79.0,2022-2-12
73.7714,2022-2-13
68.5,2022-2-14
73.5161,2022-2-15
67.85,2022-2-16
70.51,2022-2-17
79.4876,2022-2-18
69.16,2022-2-19
67.7,2022-2-2
77.77,2022-2-20
69.2,2022-2-21
75.0,2022-2-22
68.96,2022-2-23
75.0,2022-2-24
68.83,2022-2-25
67.31,2022-2-26
66.91,2022-2-27
75.0,2022-2-28
67.6,2022-2-3
69.5,2022-2-4
69.5,2022-2-5
69.5,2022-2-6
78.971,2022-2-7
75.9517,2022-2-8
73.5564,2022-2-9
70.02,2022-3-1
74.0,2022-3-10
74.0,2022-3-11
77.0,2022-3-12
86.99,2022-3-13
84.21,2022-3-14
84.21,2022-3-15
84.21,2022-3-16
84.21,2022-3-17
84.49,2022-3-18
75.0,2022-3-2
79.98,2022-3-21
79.91,2022-3-22
79.9,2022-3-23
83.76,2022-3-24
80.74,2022-3-25
80.74,2022-3-26
80.74,2022-3-27
85.66,2022-3-28
85.62,2022-3-29
74.1047,2022-3-3
85.0,2022-3-30
75.79,2022-3-31
75.0,2022-3-4
75.0,2022-3-5
76.02,2022-3-6
75.0,2022-3-7
75.0,2022-3-8
76.34,2022-3-9
80.0,2022-4-4
