prix,date
29.99,2021-10-10
26.53,2021-10-11
25.32,2021-10-12
24.2364,2021-10-13
25.18,2021-10-14
23.45,2021-10-15
24.17,2021-10-16
24.74,2021-10-17
23.22,2021-10-18
22.98,2021-10-19
24.99,2021-10-20
24.0,2021-10-21
23.87,2021-10-22
25.9,2021-10-23
23.68,2021-10-24
22.44,2021-10-25
25.44,2021-10-26
25.0,2021-10-27
22.09,2021-10-28
22.1,2021-10-29
23.99,2021-10-30
24.0,2021-10-31
25.2799,2021-10-9
24.0,2021-11-1
21.65,2021-11-10
22.5,2021-11-11
21.63,2021-11-12
21.61,2021-11-13
21.62,2021-11-14
22.48,2021-11-15
22.69,2021-11-16
22.46,2021-11-17
22.34,2021-11-18
22.46,2021-11-19
22.75,2021-11-2
22.45,2021-11-20
22.44,2021-11-21
22.49,2021-11-22
22.06,2021-11-23
21.5,2021-11-24
21.47,2021-11-25
22.48,2021-11-26
21.46,2021-11-27
22.48,2021-11-28
22.48,2021-11-29
22.84,2021-11-3
21.8,2021-11-30
23.0,2021-11-4
22.74,2021-11-5
22.87,2021-11-6
22.99,2021-11-7
21.54,2021-11-8
21.65,2021-11-9
22.44,2021-12-1
25.86,2021-12-10
25.8,2021-12-11
24.85,2021-12-12
25.78,2021-12-13
25.15,2021-12-14
26.9877,2021-12-15
27.02,2021-12-16
26.9877,2021-12-17
34.95,2021-12-18
33.8297,2021-12-19
22.62,2021-12-2
32.6586,2021-12-20
31.5877,2021-12-21
30.612800000000004,2021-12-22
29.7369,2021-12-23
28.9534,2021-12-24
28.261299999999995,2021-12-25
27.6704,2021-12-26
27.1754,2021-12-27
34.95,2021-12-28
27.65,2021-12-29
25.16,2021-12-3
27.65,2021-12-30
27.57,2021-12-31
25.16,2021-12-4
28.0,2021-12-5
30.0718,2021-12-6
26.9877,2021-12-7
27.34,2021-12-8
25.59,2021-12-9
27.48,2022-1-1
27.6,2022-1-10
27.65,2022-1-11
31.5755,2022-1-12
28.418,2022-1-13
28.418,2022-1-14
27.65,2022-1-15
28.418,2022-1-16
30.37,2022-1-17
30.37,2022-1-18
27.65,2022-1-19
34.95,2022-1-2
27.62,2022-1-20
27.56,2022-1-21
30.37,2022-1-22
29.0,2022-1-23
29.0,2022-1-24
26.98,2022-1-25
26.88,2022-1-26
29.0,2022-1-27
28.864,2022-1-28
28.0,2022-1-29
27.41,2022-1-3
28.97,2022-1-30
26.2,2022-1-31
27.64,2022-1-4
34.95,2022-1-5
34.95,2022-1-6
27.65,2022-1-7
34.95,2022-1-8
27.65,2022-1-9
28.0,2022-2-1
27.33,2022-2-10
26.54,2022-2-11
26.54,2022-2-12
27.73,2022-2-13
27.24,2022-2-14
27.0,2022-2-15
27.0,2022-2-16
27.0,2022-2-17
27.0,2022-2-18
25.81,2022-2-19
28.97,2022-2-2
27.7,2022-2-20
26.36,2022-2-21
27.41,2022-2-22
27.0,2022-2-23
27.0,2022-2-24
27.0,2022-2-25
26.9,2022-2-26
27.41,2022-2-27
27.0,2022-2-28
28.0,2022-2-3
28.0,2022-2-4
28.97,2022-2-5
28.97,2022-2-6
27.35,2022-2-7
28.0,2022-2-8
27.33,2022-2-9
27.42,2022-3-1
28.21,2022-3-10
27.0,2022-3-11
27.4,2022-3-12
27.0,2022-3-13
26.9,2022-3-14
26.9,2022-3-15
26.9,2022-3-16
27.0,2022-3-17
27.0,2022-3-18
27.24,2022-3-2
31.47,2022-3-21
29.62,2022-3-22
29.61,2022-3-23
29.0,2022-3-24
29.0,2022-3-25
28.42,2022-3-26
28.35,2022-3-27
28.26,2022-3-28
29.0,2022-3-29
27.0,2022-3-3
28.09,2022-3-30
28.02,2022-3-31
26.61,2022-3-4
26.39,2022-3-5
26.61,2022-3-6
27.42,2022-3-7
26.61,2022-3-8
