prix,date
394.78,2021-10-10
390.48,2021-10-11
400.0,2021-10-12
455.0,2021-10-13
394.46,2021-10-14
443.3739,2021-10-15
432.4227,2021-10-16
422.4811,2021-10-17
414.7845,2021-10-18
406.2573,2021-10-19
388.68799999999993,2021-10-20
440.0,2021-10-21
399.99,2021-10-22
380.0,2021-10-23
407.39,2021-10-25
409.99,2021-10-26
393.99,2021-10-28
390.0,2021-10-29
455.0,2021-10-30
399.0,2021-10-31
455.0,2021-10-9
400.0,2021-11-1
419.99,2021-11-10
419.95,2021-11-11
419.94,2021-11-12
419.93,2021-11-13
419.98,2021-11-14
419.99,2021-11-15
419.98,2021-11-16
419.95,2021-11-17
419.99,2021-11-18
409.99,2021-11-19
401.8,2021-11-2
410.53,2021-11-20
409.99,2021-11-21
409.99,2021-11-22
410.53,2021-11-23
407.64,2021-11-24
400.0,2021-11-25
400.0,2021-11-26
400.0,2021-11-27
400.0,2021-11-28
380.0,2021-11-29
401.79,2021-11-3
400.54,2021-11-30
395.21,2021-11-4
399.23,2021-11-5
395.0,2021-11-6
389.9,2021-11-7
401.0,2021-11-8
410.0,2021-11-9
389.59,2021-12-1
396.84,2021-12-10
400.0,2021-12-11
400.0,2021-12-12
400.3,2021-12-13
397.35,2021-12-14
409.0,2021-12-15
400.0,2021-12-16
419.55,2021-12-17
400.0,2021-12-18
400.0,2021-12-19
380.0,2021-12-2
400.0,2021-12-20
398.0,2021-12-21
398.0,2021-12-22
398.0,2021-12-23
393.17,2021-12-24
409.0,2021-12-25
409.0,2021-12-26
396.12,2021-12-27
396.12,2021-12-28
409.0,2021-12-29
394.96,2021-12-3
409.0,2021-12-30
409.0,2021-12-31
395.0,2021-12-4
395.0,2021-12-5
395.0,2021-12-6
387.23,2021-12-7
389.1,2021-12-8
394.19,2021-12-9
400.0,2022-1-1
414.99,2022-1-10
414.99,2022-1-11
414.99,2022-1-12
414.99,2022-1-13
396.12,2022-1-14
446.26,2022-1-15
396.12,2022-1-16
420.0,2022-1-17
396.12,2022-1-18
420.0,2022-1-19
409.0,2022-1-2
420.0,2022-1-20
396.12,2022-1-21
396.12,2022-1-22
419.99,2022-1-23
420.0,2022-1-24
396.12,2022-1-25
420.0,2022-1-26
420.0,2022-1-27
412.97,2022-1-28
400.0,2022-1-29
396.12,2022-1-3
410.0,2022-1-30
439.6,2022-1-31
409.0,2022-1-4
414.0,2022-1-5
414.0,2022-1-6
396.12,2022-1-7
414.0,2022-1-8
396.12,2022-1-9
410.0,2022-2-1
436.56,2022-2-10
438.0,2022-2-11
424.95,2022-2-12
438.0,2022-2-13
424.95,2022-2-14
424.95,2022-2-15
424.95,2022-2-16
459.99,2022-2-17
443.8,2022-2-18
450.0,2022-2-19
424.88,2022-2-2
450.0,2022-2-20
450.0,2022-2-21
459.99,2022-2-22
422.85,2022-2-23
419.99,2022-2-24
419.99,2022-2-25
440.8,2022-2-26
419.99,2022-2-27
459.99,2022-2-28
419.47,2022-2-3
410.0,2022-2-4
416.23,2022-2-5
410.0,2022-2-6
459.99,2022-2-7
437.0,2022-2-8
436.56,2022-2-9
440.0,2022-3-1
459.79,2022-3-10
459.79,2022-3-11
460.0,2022-3-12
439.7,2022-3-13
439.7,2022-3-14
439.7,2022-3-15
469.76,2022-3-16
459.99,2022-3-17
487.96,2022-3-18
428.46,2022-3-2
459.99,2022-3-21
459.99,2022-3-22
478.98,2022-3-23
469.64,2022-3-24
449.99,2022-3-25
459.99,2022-3-26
467.75,2022-3-27
459.99,2022-3-28
459.99,2022-3-29
439.7,2022-3-3
459.99,2022-3-30
459.99,2022-3-31
439.7,2022-3-4
439.7,2022-3-5
439.7,2022-3-6
439.7,2022-3-7
459.8,2022-3-8
459.8,2022-3-9
469.93,2022-4-4
474.98,2022-4-5
459.99,2022-4-6
