prix,date
3.81,2021-10-10
3.81,2021-10-11
3.73,2021-10-12
3.68,2021-10-13
3.72,2021-10-14
3.67,2021-10-15
3.8,2021-10-16
3.78,2021-10-17
3.73,2021-10-18
3.74,2021-10-19
3.72,2021-10-20
3.74,2021-10-21
3.85,2021-10-22
3.85,2021-10-23
3.79,2021-10-24
3.77,2021-10-25
4.5,2021-10-26
3.71,2021-10-27
3.7,2021-10-28
3.7,2021-10-29
3.88,2021-10-30
3.58,2021-10-31
3.55,2021-11-1
4.5,2021-11-10
3.67,2021-11-11
3.65,2021-11-12
3.65,2021-11-13
4.14,2021-11-14
3.81,2021-11-15
3.84,2021-11-16
3.83,2021-11-17
3.95,2021-11-18
3.77,2021-11-19
3.6,2021-11-2
3.71,2021-11-20
3.63,2021-11-21
3.72,2021-11-22
3.72,2021-11-23
3.72,2021-11-24
3.67,2021-11-25
3.68,2021-11-26
3.7,2021-11-27
3.66,2021-11-28
3.87,2021-11-29
3.68,2021-11-3
3.87,2021-11-30
3.67,2021-11-4
3.73,2021-11-5
3.63,2021-11-6
3.67,2021-11-7
3.62,2021-11-8
3.55,2021-11-9
3.79,2021-12-1
3.89,2021-12-10
4.0,2021-12-11
3.95,2021-12-12
4.09,2021-12-13
4.06,2021-12-14
4.15,2021-12-15
4.15,2021-12-16
3.99,2021-12-17
4.23,2021-12-18
4.23,2021-12-19
3.74,2021-12-2
4.17,2021-12-20
4.14,2021-12-21
4.07,2021-12-22
4.14,2021-12-23
4.14,2021-12-24
4.14,2021-12-25
4.14,2021-12-26
4.14,2021-12-27
4.13,2021-12-28
4.12,2021-12-29
3.84,2021-12-3
4.09,2021-12-30
4.07,2021-12-31
3.87,2021-12-4
3.89,2021-12-5
3.86,2021-12-6
5.0,2021-12-7
3.89,2021-12-8
3.89,2021-12-9
4.07,2022-1-1
4.09,2022-1-10
4.47,2022-1-11
5.0,2022-1-12
4.13,2022-1-13
5.0,2022-1-14
4.08,2022-1-15
4.12,2022-1-16
4.11,2022-1-17
4.09,2022-1-18
5.0,2022-1-19
4.07,2022-1-2
4.1,2022-1-20
4.95,2022-1-21
4.08,2022-1-22
4.07,2022-1-23
4.06,2022-1-24
4.05,2022-1-25
4.04,2022-1-26
4.2,2022-1-27
4.19,2022-1-28
4.17,2022-1-29
4.07,2022-1-3
4.95,2022-1-30
4.14,2022-1-31
4.07,2022-1-4
4.06,2022-1-5
4.14,2022-1-6
4.09,2022-1-7
4.09,2022-1-8
4.09,2022-1-9
4.14,2022-2-1
4.27,2022-2-10
4.26,2022-2-11
4.95,2022-2-12
4.25,2022-2-13
4.35,2022-2-14
4.75,2022-2-15
4.34,2022-2-16
4.7,2022-2-17
4.7,2022-2-18
4.65,2022-2-19
4.95,2022-2-2
4.6,2022-2-20
4.5,2022-2-21
4.4,2022-2-22
3.95,2022-2-23
4.3,2022-2-24
4.1,2022-2-25
4.05,2022-2-26
4.99,2022-2-27
5.2,2022-2-28
4.12,2022-2-3
4.11,2022-2-4
4.11,2022-2-5
4.1,2022-2-6
4.95,2022-2-7
4.1,2022-2-8
4.29,2022-2-9
3.93,2022-3-1
4.11,2022-3-10
4.03,2022-3-11
4.1,2022-3-12
3.99,2022-3-13
4.07,2022-3-14
3.97,2022-3-15
3.89,2022-3-16
5.2,2022-3-17
4.14,2022-3-18
3.95,2022-3-2
3.95,2022-3-21
4.99,2022-3-22
3.86,2022-3-23
4.11,2022-3-24
4.03,2022-3-25
3.95,2022-3-26
3.88,2022-3-27
4.7311,2022-3-28
4.3464,2022-3-29
3.95,2022-3-3
4.99,2022-3-30
4.04,2022-3-31
4.2,2022-3-4
4.13,2022-3-5
4.07,2022-3-6
3.97,2022-3-7
3.87,2022-3-8
4.16,2022-3-9
4.99,2022-4-4
