prix,date
2.27,2021-10-10
2.26,2021-10-11
2.3,2021-10-12
2.29,2021-10-13
2.28,2021-10-14
2.6,2021-10-15
2.23,2021-10-16
2.28,2021-10-17
2.25,2021-10-18
2.28,2021-10-19
2.19,2021-10-20
2.18,2021-10-21
2.19,2021-10-22
2.6,2021-10-23
2.23,2021-10-24
2.25,2021-10-25
2.19,2021-10-26
3.0,2021-10-27
2.1096,2021-10-28
2.1975,2021-10-29
2.18,2021-10-30
2.6,2021-10-31
2.29,2021-10-9
4.99,2021-11-1
2.57,2021-11-10
2.09,2021-11-11
2.53,2021-11-12
2.36,2021-11-13
2.49,2021-11-14
2.3,2021-11-15
2.41,2021-11-16
2.49,2021-11-17
2.3,2021-11-18
2.5,2021-11-19
2.19,2021-11-2
2.49,2021-11-20
2.49,2021-11-21
2.7496,2021-11-22
2.7137,2021-11-23
2.6825,2021-11-24
2.6563,2021-11-25
2.6349,2021-11-26
2.6185,2021-11-27
2.6069,2021-11-28
2.6004,2021-11-29
3.25,2021-11-3
2.5988,2021-11-30
2.18,2021-11-4
4.99,2021-11-5
2.18,2021-11-6
2.17,2021-11-7
2.16,2021-11-8
2.75,2021-11-9
2.31,2021-12-1
2.2725,2021-12-10
3.25,2021-12-11
2.47,2021-12-12
2.49,2021-12-13
2.46,2021-12-14
2.49,2021-12-15
3.1601,2021-12-16
3.0971,2021-12-17
3.0397,2021-12-18
2.9881,2021-12-19
2.31,2021-12-2
2.9418,2021-12-20
2.9009000000000005,2021-12-21
2.8657,2021-12-22
2.8361,2021-12-23
2.8119,2021-12-24
2.7932,2021-12-25
2.7801,2021-12-26
2.7725,2021-12-27
2.7705,2021-12-28
2.7705,2021-12-29
2.3,2021-12-3
2.95,2021-12-30
2.17,2021-12-31
2.22,2021-12-4
2.2275,2021-12-5
2.2275,2021-12-6
2.21,2021-12-7
2.2575,2021-12-8
2.21,2021-12-9
2.95,2022-1-1
2.6651,2022-1-10
2.6634,2022-1-11
2.5444,2022-1-12
3.25,2022-1-13
2.17,2022-1-14
2.99,2022-1-15
2.99,2022-1-16
2.99,2022-1-17
2.17,2022-1-18
2.99,2022-1-19
2.17,2022-1-2
2.17,2022-1-20
2.17,2022-1-21
2.99,2022-1-22
2.17,2022-1-23
2.17,2022-1-24
2.17,2022-1-25
2.56,2022-1-26
2.52,2022-1-27
2.99,2022-1-28
2.45,2022-1-29
2.17,2022-1-3
2.45,2022-1-30
2.44,2022-1-31
2.95,2022-1-4
2.17,2022-1-5
3.25,2022-1-6
2.17,2022-1-7
3.25,2022-1-8
2.17,2022-1-9
2.99,2022-2-1
2.53,2022-2-10
2.99,2022-2-11
2.99,2022-2-12
2.43,2022-2-13
2.69,2022-2-14
2.54,2022-2-15
2.99,2022-2-16
2.99,2022-2-17
2.76,2022-2-18
2.7,2022-2-19
2.44,2022-2-2
2.66,2022-2-20
2.64,2022-2-21
2.99,2022-2-22
2.68,2022-2-23
2.64,2022-2-24
2.63,2022-2-25
2.56,2022-2-26
2.59,2022-2-27
2.54,2022-2-28
2.99,2022-2-3
2.45,2022-2-4
2.99,2022-2-5
2.43,2022-2-6
2.43,2022-2-7
2.47,2022-2-8
2.99,2022-2-9
2.49,2022-3-1
2.49,2022-3-10
2.48,2022-3-11
2.48,2022-3-12
2.69,2022-3-13
2.5,2022-3-14
2.99,2022-3-15
2.4,2022-3-16
2.99,2022-3-17
2.55,2022-3-2
2.47,2022-3-21
2.56,2022-3-22
2.55,2022-3-24
2.55,2022-3-25
3.25,2022-3-26
2.55,2022-3-27
2.55,2022-3-28
2.55,2022-3-29
2.56,2022-3-3
2.55,2022-3-30
2.56,2022-3-31
2.99,2022-3-4
2.49,2022-3-5
2.56,2022-3-6
2.75,2022-3-7
2.99,2022-3-8
2.99,2022-3-9
3.25,2022-4-4
