prix,date
44.0,2021-10-10
45.49,2021-10-11
44.98,2021-10-12
45.76,2021-10-13
45.8,2021-10-14
45.67,2021-10-15
45.58,2021-10-16
44.89,2021-10-17
44.88,2021-10-18
44.5,2021-10-19
44.49,2021-10-20
46.46,2021-10-21
46.45,2021-10-22
43.77,2021-10-23
44.17,2021-10-24
44.16,2021-10-25
43.65,2021-10-26
44.17,2021-10-27
44.18,2021-10-28
42.76,2021-10-29
43.24,2021-10-30
43.18,2021-10-31
44.65,2021-10-9
43.11,2021-11-1
42.59,2021-11-10
43.17,2021-11-11
44.2,2021-11-12
49.99,2021-11-13
49.97,2021-11-14
48.7,2021-11-15
46.11,2021-11-16
45.01,2021-11-17
44.85,2021-11-18
44.2,2021-11-19
44.12,2021-11-2
43.5,2021-11-20
44.4,2021-11-21
43.56,2021-11-22
44.4,2021-11-23
57.0,2021-11-24
43.83,2021-11-25
44.62,2021-11-26
45.95,2021-11-27
44.68,2021-11-28
44.19,2021-11-29
44.11,2021-11-3
45.94,2021-11-30
43.44,2021-11-5
43.21,2021-11-6
43.17,2021-11-7
42.06,2021-11-8
42.76,2021-11-9
46.98,2021-12-1
50.17,2021-12-10
45.66,2021-12-11
45.64,2021-12-12
46.06,2021-12-13
45.22,2021-12-14
45.72,2021-12-15
45.93,2021-12-16
47.99,2021-12-17
46.9,2021-12-18
45.3,2021-12-19
46.77,2021-12-2
45.23,2021-12-20
46.9,2021-12-21
46.9,2021-12-22
44.37,2021-12-23
45.6,2021-12-24
45.99,2021-12-25
46.9,2021-12-26
46.9,2021-12-27
44.16,2021-12-28
44.09,2021-12-29
50.22,2021-12-3
46.9,2021-12-30
44.18,2021-12-31
49.25,2021-12-4
47.83,2021-12-5
44.89,2021-12-6
44.63,2021-12-7
46.21,2021-12-8
46.0,2021-12-9
50.0,2022-1-1
50.0,2022-1-10
50.0,2022-1-11
44.33,2022-1-12
50.0,2022-1-13
44.34,2022-1-14
44.34,2022-1-15
50.0,2022-1-16
44.34,2022-1-17
44.34,2022-1-18
50.0,2022-1-19
50.0,2022-1-2
44.34,2022-1-20
44.34,2022-1-21
47.8,2022-1-22
44.34,2022-1-23
50.0,2022-1-24
50.0,2022-1-25
49.39,2022-1-26
47.07,2022-1-27
46.35,2022-1-28
50.0,2022-1-29
49.3769,2022-1-3
45.74,2022-1-30
48.29,2022-1-31
48.9981,2022-1-4
50.0,2022-1-5
50.0,2022-1-6
50.0,2022-1-7
50.0,2022-1-8
44.34,2022-1-9
50.0,2022-2-1
48.14,2022-2-10
49.08,2022-2-11
50.0,2022-2-12
50.0,2022-2-13
49.17,2022-2-14
50.0,2022-2-15
50.0,2022-2-16
49.26,2022-2-17
50.0,2022-2-18
49.06,2022-2-19
49.14,2022-2-2
48.02,2022-2-20
50.0,2022-2-21
50.0,2022-2-22
50.17,2022-2-23
50.0,2022-2-24
50.02,2022-2-25
50.0,2022-2-26
50.87,2022-2-27
52.8,2022-2-28
49.1,2022-2-3
49.07,2022-2-4
49.04,2022-2-5
48.82,2022-2-6
47.96,2022-2-7
48.15,2022-2-8
50.0,2022-2-9
52.8,2022-3-1
49.65,2022-3-10
49.57,2022-3-11
49.49,2022-3-12
49.39,2022-3-13
49.31,2022-3-14
51.55,2022-3-15
49.12,2022-3-16
53.76,2022-3-17
50.35,2022-3-2
50.1,2022-3-21
49.46,2022-3-22
49.45,2022-3-23
51.55,2022-3-24
49.18,2022-3-25
49.29,2022-3-26
49.29,2022-3-27
52.8,2022-3-28
52.8,2022-3-29
49.71,2022-3-3
52.8,2022-3-30
51.0,2022-3-31
49.45,2022-3-4
49.24,2022-3-5
48.75,2022-3-6
48.8,2022-3-7
51.55,2022-3-8
51.55,2022-3-9
