,0,1
0,11.28,2021-10-10
1,11.35,2021-10-11
2,11.28,2021-10-12
3,11.28,2021-10-13
4,11.1,2021-10-14
5,11.28,2021-10-15
6,12.16,2021-10-23
7,11.82,2021-10-24
8,10.99,2021-10-25
9,12.03,2021-10-26
10,12.09,2021-10-27
11,11.28,2021-10-28
12,10.64,2021-10-29
13,16.4187,2021-10-30
14,12.39,2021-10-31
15,12.27,2021-10-9
16,11.28,2021-11-1
17,11.55,2021-11-10
18,11.75,2021-11-11
19,11.75,2021-11-12
20,13.65,2021-11-14
21,13.51,2021-11-15
22,13.39,2021-11-16
23,13.26,2021-11-17
24,11.75,2021-11-18
25,11.81,2021-11-19
26,11.81,2021-11-20
27,11.81,2021-11-21
28,11.81,2021-11-22
29,11.81,2021-11-23
30,11.81,2021-11-24
31,12.37,2021-11-25
32,11.97,2021-11-26
33,12.43,2021-11-27
34,12.43,2021-11-28
35,12.43,2021-11-29
36,12.14,2021-11-3
37,12.1,2021-11-30
38,11.48,2021-11-4
39,11.44,2021-11-5
40,11.15,2021-11-6
41,11.49,2021-11-7
42,11.7,2021-11-8
43,11.76,2021-11-9
44,12.09,2021-12-1
45,12.13,2021-12-10
46,12.49,2021-12-11
47,12.14,2021-12-12
48,13.0,2021-12-13
49,12.14,2021-12-14
50,14.65,2021-12-15
51,12.0,2021-12-16
52,14.65,2021-12-17
53,11.93,2021-12-18
54,12.08,2021-12-19
55,12.17,2021-12-2
56,12.54,2021-12-20
57,13.71,2021-12-21
58,13.12,2021-12-22
59,13.03,2021-12-23
60,13.07,2021-12-24
61,13.07,2021-12-25
62,12.99,2021-12-26
63,12.88,2021-12-27
64,12.84,2021-12-28
65,12.8,2021-12-29
66,12.17,2021-12-3
67,12.71,2021-12-30
68,12.65,2021-12-31
69,12.15,2021-12-5
70,12.15,2021-12-6
71,12.04,2021-12-7
72,12.15,2021-12-8
73,12.5,2021-12-9
74,12.58,2022-1-1
75,12.83,2022-1-10
76,15.53,2022-1-11
77,12.56,2022-1-12
78,12.55,2022-1-13
79,12.55,2022-1-14
80,12.53,2022-1-15
81,12.52,2022-1-16
82,13.07,2022-1-17
83,13.07,2022-1-18
84,12.69,2022-1-19
85,12.53,2022-1-2
86,12.66,2022-1-20
87,13.07,2022-1-21
88,12.8,2022-1-22
89,14.08,2022-1-23
90,12.8,2022-1-24
91,14.5,2022-1-25
92,15.95,2022-1-26
93,13.72,2022-1-27
94,13.39,2022-1-28
95,13.39,2022-1-29
96,12.5,2022-1-3
97,13.37,2022-1-30
98,20.0,2022-1-31
99,12.47,2022-1-4
100,12.45,2022-1-5
101,12.58,2022-1-6
102,12.84,2022-1-7
103,16.29,2022-1-8
104,16.25,2022-1-9
105,13.43,2022-2-1
106,14.4,2022-2-10
107,13.47,2022-2-11
108,12.84,2022-2-12
109,13.54,2022-2-13
110,13.55,2022-2-14
111,14.39,2022-2-15
112,14.39,2022-2-16
113,13.55,2022-2-17
114,13.47,2022-2-18
115,13.38,2022-2-19
116,12.97,2022-2-2
117,13.26,2022-2-20
118,13.09,2022-2-21
119,12.95,2022-2-22
120,12.86,2022-2-23
121,12.81,2022-2-24
122,12.76,2022-2-25
123,12.75,2022-2-26
124,12.68,2022-2-27
125,12.6,2022-2-28
126,13.68,2022-2-3
127,13.66,2022-2-4
128,13.62,2022-2-5
129,13.59,2022-2-6
130,13.57,2022-2-7
131,13.57,2022-2-8
132,13.57,2022-2-9
133,16.0,2022-3-1
134,12.66,2022-3-10
135,12.58,2022-3-11
136,12.5,2022-3-12
137,12.4,2022-3-13
138,13.55,2022-3-14
139,12.98,2022-3-15
140,12.9,2022-3-16
141,12.81,2022-3-17
142,12.8,2022-3-18
143,12.51,2022-3-21
144,13.3,2022-3-22
145,13.29,2022-3-23
146,13.45,2022-3-24
147,13.32,2022-3-25
148,12.81,2022-3-26
149,13.16,2022-3-27
150,13.5,2022-3-28
151,12.17,2022-3-29
152,14.07,2022-3-3
153,13.19,2022-3-30
154,12.15,2022-3-31
155,13.19,2022-3-4
156,13.11,2022-3-5
157,13.04,2022-3-6
158,12.94,2022-3-7
159,12.83,2022-3-8
160,14.0,2022-3-9
