prix,date
0.7967,2021-10-10
0.67,2021-10-11
0.7967,2021-10-12
0.7967,2021-10-13
0.7955,2021-10-14
0.78,2021-10-15
0.64,2021-10-16
0.69,2021-10-17
0.67,2021-10-18
0.68,2021-10-19
0.67,2021-10-20
0.67,2021-10-21
0.67,2021-10-22
0.66,2021-10-23
0.63,2021-10-24
0.61,2021-10-25
0.6764,2021-10-26
0.78,2021-10-27
0.76,2021-10-28
0.64,2021-10-29
0.65,2021-10-30
0.65,2021-10-31
0.64,2021-10-9
0.7967,2021-11-1
0.7,2021-11-10
0.7,2021-11-11
0.629,2021-11-12
0.629,2021-11-13
0.67,2021-11-14
0.69,2021-11-15
0.66,2021-11-16
0.64,2021-11-17
0.63,2021-11-18
0.68,2021-11-19
0.7,2021-11-2
0.67,2021-11-20
0.63,2021-11-21
0.67,2021-11-22
0.659,2021-11-23
0.659,2021-11-24
0.64,2021-11-25
0.64,2021-11-26
0.64,2021-11-27
0.6579,2021-11-28
0.6579,2021-11-29
0.78,2021-11-3
0.6579,2021-11-30
0.69,2021-11-4
0.7,2021-11-5
0.7,2021-11-6
0.7,2021-11-7
0.71,2021-11-8
0.66,2021-11-9
0.6579,2021-12-1
0.885,2021-12-10
0.885,2021-12-11
0.706,2021-12-12
0.885,2021-12-13
0.8,2021-12-14
0.885,2021-12-15
0.885,2021-12-16
0.885,2021-12-17
0.885,2021-12-18
0.885,2021-12-19
0.67,2021-12-2
0.885,2021-12-20
0.885,2021-12-21
0.885,2021-12-22
0.885,2021-12-23
0.885,2021-12-24
0.885,2021-12-25
0.6919,2021-12-26
0.75,2021-12-27
0.75,2021-12-28
0.75,2021-12-29
0.67,2021-12-3
0.75,2021-12-30
0.75,2021-12-31
0.77,2021-12-4
0.77,2021-12-5
0.8320000000000001,2021-12-6
0.885,2021-12-7
0.885,2021-12-8
0.885,2021-12-9
0.75,2022-1-1
0.879,2022-1-10
0.879,2022-1-11
0.84,2022-1-12
0.84,2022-1-13
0.84,2022-1-14
0.84,2022-1-15
0.84,2022-1-16
0.93,2022-1-17
1.0947,2022-1-18
1.15,2022-1-19
0.7070000000000001,2022-1-2
1.15,2022-1-20
0.975,2022-1-21
0.975,2022-1-22
0.975,2022-1-23
0.975,2022-1-24
0.975,2022-1-25
0.975,2022-1-26
0.9715,2022-1-27
0.9528,2022-1-28
0.9343,2022-1-29
0.7609999999999999,2022-1-3
0.9172,2022-1-30
0.9006000000000001,2022-1-31
0.7609999999999999,2022-1-4
0.8273,2022-1-5
0.8146,2022-1-6
0.8051999999999999,2022-1-7
0.799,2022-1-8
0.879,2022-1-9
0.885,2022-2-1
0.8590000000000001,2022-2-10
0.806,2022-2-11
0.7988,2022-2-12
0.806,2022-2-13
0.806,2022-2-14
0.806,2022-2-15
0.806,2022-2-16
0.806,2022-2-17
0.806,2022-2-18
0.8156,2022-2-19
0.8983,2022-2-2
0.846,2022-2-20
0.858,2022-2-21
0.89,2022-2-22
0.7475,2022-2-23
0.75,2022-2-24
0.75,2022-2-25
0.75,2022-2-26
0.782,2022-2-27
0.782,2022-2-28
0.8983,2022-2-3
0.8983,2022-2-4
0.8983,2022-2-5
0.8983,2022-2-6
0.8983,2022-2-7
0.89,2022-2-8
0.877,2022-2-9
0.782,2022-3-1
0.8286,2022-3-10
0.8286,2022-3-11
0.8286,2022-3-12
0.8184,2022-3-13
0.8184,2022-3-14
0.8184,2022-3-15
0.8184,2022-3-16
0.8184,2022-3-17
0.8184,2022-3-18
0.782,2022-3-2
0.8184,2022-3-21
0.8031,2022-3-22
0.8031,2022-3-23
0.89,2022-3-24
0.89,2022-3-25
0.89,2022-3-26
0.89,2022-3-27
0.8007,2022-3-28
0.89,2022-3-29
0.843,2022-3-3
0.89,2022-3-30
0.82,2022-3-31
0.843,2022-3-4
0.843,2022-3-5
0.851,2022-3-6
0.851,2022-3-7
0.851,2022-3-8
0.851,2022-3-9
0.85,2022-4-4
0.883,2022-4-5
0.883,2022-4-6
