prix,date
846.34,2021-10-10
800.0,2021-10-11
846.32,2021-10-12
800.0,2021-10-13
1100.0,2021-10-14
846.31,2021-10-15
822.35,2021-10-16
1100.0,2021-10-17
1100.0,2021-10-18
846.28,2021-10-19
846.27,2021-10-20
846.26,2021-10-21
846.25,2021-10-22
775.0,2021-10-23
839.99,2021-10-24
839.98,2021-10-25
800.0,2021-10-27
794.99,2021-10-28
749.98,2021-10-29
740.0,2021-10-30
1100.0,2021-10-9
739.99,2021-11-1
1596.1143,2021-11-10
1594.989,2021-11-11
1593.9031,2021-11-12
1592.8716,2021-11-13
1591.8755,2021-11-14
1590.9226,2021-11-15
1590.0128,2021-11-16
1200.0,2021-11-17
793.99,2021-11-18
788.99,2021-11-22
793.99,2021-11-23
1100.0,2021-11-24
1583.7637,2021-11-25
1583.2837,2021-11-26
1582.8501,2021-11-27
1582.4566999999995,2021-11-28
1582.1091,2021-11-29
837.55,2021-11-3
1581.8023,2021-11-30
819.24,2021-11-4
801.46,2021-11-5
844.11,2021-11-6
1599.749,2021-11-7
1598.4942999999998,2021-11-8
1597.2828,2021-11-9
1581.5415,2021-12-1
1549.6325,2021-12-10
1546.4378,2021-12-11
1543.3182000000002,2021-12-12
1540.3198000000002,2021-12-13
1537.4313,2021-12-14
1534.6427,2021-12-15
1531.9835,2021-12-16
1529.4244,2021-12-17
1526.975,2021-12-18
1524.6438,2021-12-19
1581.3209999999997,2021-12-2
1522.4057,2021-12-20
1520.2856999999997,2021-12-21
1518.2756,2021-12-22
1516.382,2021-12-23
1514.5909999999997,2021-12-24
1512.898,2021-12-25
1511.3274,2021-12-26
965.3021,2021-12-27
794.09,2021-12-28
1581.144,2021-12-3
819.99,2021-12-31
1581.0112999999997,2021-12-4
1580.9209,2021-12-5
1580.8741,2021-12-6
1580.8671,2021-12-7
760.0,2021-12-8
760.0,2021-12-9
815.0,2022-1-1
851.6954,2022-1-10
851.6954,2022-1-12
893.8,2022-1-16
802.86,2022-1-19
890.0,2022-1-20
999.99,2022-1-21
839.8565999999998,2022-1-23
815.779,2022-1-25
999.99,2022-1-28
896.1064,2022-1-3
999.99,2022-1-30
819.99,2022-1-4
893.8,2022-1-7
1100.0,2022-2-1
1000.0,2022-2-10
1199.0,2022-2-12
1199.0,2022-2-13
1199.0,2022-2-17
949.99,2022-2-19
839.95,2022-2-2
939.0,2022-2-21
940.83,2022-2-24
922.91,2022-2-25
917.63,2022-2-26
917.61,2022-2-27
917.55,2022-2-28
1080.0,2022-2-6
1035.0,2022-2-8
1015.0,2022-2-9
917.46,2022-3-1
916.7,2022-3-10
916.62,2022-3-11
916.54,2022-3-12
916.44,2022-3-13
916.36,2022-3-14
916.28,2022-3-15
916.2,2022-3-16
916.11,2022-3-17
916.08,2022-3-18
917.38,2022-3-2
915.92,2022-3-22
1199.0,2022-3-25
1090.0,2022-3-27
1060.0,2022-3-29
917.29,2022-3-3
1090.0,2022-3-31
1250.0,2022-3-4
917.13,2022-3-5
1200.0,2022-3-6
