prix,date
137.44,2021-10-13
135.0,2021-10-14
135.67,2021-10-15
135.65,2021-10-16
135.32,2021-10-17
136.79,2021-10-18
137.5,2021-10-19
137.5,2021-10-20
135.0,2021-10-28
133.64,2021-11-1
157.0,2021-11-11
151.5,2021-11-17
133.4,2021-11-2
133.0,2021-11-3
130.0,2021-11-4
131.67,2021-11-5
131.66,2021-11-8
133.0,2021-11-9
140.0,2021-12-10
135.0,2021-12-11
138.93,2021-12-12
138.95,2021-12-13
138.94,2021-12-14
147.79,2021-12-15
138.93,2021-12-17
138.95,2021-12-18
147.6,2021-12-19
145.0,2021-12-2
130.0,2021-12-20
146.31,2021-12-21
146.31,2021-12-24
150.0,2021-12-25
146.31,2021-12-26
149.99,2021-12-27
149.49,2021-12-28
146.31,2021-12-29
146.31,2021-12-30
144.99,2021-12-4
138.99,2021-12-5
138.98,2021-12-6
145.0,2021-12-7
138.94,2021-12-9
146.31,2022-1-1
146.31,2022-1-11
146.31,2022-1-13
155.0,2022-1-14
146.31,2022-1-15
146.31,2022-1-16
155.0,2022-1-18
146.31,2022-1-19
146.31,2022-1-22
155.0,2022-1-24
173.99,2022-1-26
160.0,2022-1-27
164.0,2022-1-30
153.0,2022-1-31
155.0,2022-1-4
146.31,2022-1-6
140.0,2022-1-7
146.31,2022-1-8
159.39,2022-2-10
164.0,2022-2-12
159.0,2022-2-13
164.0,2022-2-14
164.0,2022-2-16
158.97,2022-2-17
164.0,2022-2-18
158.5,2022-2-19
153.0,2022-2-2
164.0,2022-2-20
168.92,2022-2-21
158.5,2022-2-22
168.9,2022-2-26
155.09,2022-2-27
148.49,2022-2-28
161.0,2022-2-3
153.0,2022-2-4
