prix,date
24.77,2021-10-10
25.51,2021-10-11
25.48,2021-10-12
26.0,2021-10-13
25.21,2021-10-14
25.0,2021-10-15
25.21,2021-10-16
25.0,2021-10-17
25.9,2021-10-18
25.19,2021-10-19
24.9,2021-10-20
25.62,2021-10-21
24.39,2021-10-22
23.9,2021-10-23
24.24,2021-10-24
26.0,2021-10-25
23.85,2021-10-26
25.75,2021-10-27
23.0,2021-10-28
25.8623,2021-10-29
25.5,2021-10-30
24.75,2021-10-31
25.9,2021-10-9
25.5,2021-11-1
24.7,2021-11-10
24.7,2021-11-11
29.96,2021-11-12
25.28,2021-11-13
25.14,2021-11-14
25.15,2021-11-15
29.99,2021-11-16
29.69,2021-11-17
27.96,2021-11-18
25.9,2021-11-19
25.99,2021-11-2
29.99,2021-11-20
28.21,2021-11-21
26.06,2021-11-22
27.69,2021-11-23
27.69,2021-11-24
27.54,2021-11-25
27.69,2021-11-26
27.59,2021-11-27
26.59,2021-11-28
38.9,2021-11-29
25.89,2021-11-3
29.95,2021-11-30
38.9,2021-11-4
38.9,2021-11-5
25.98,2021-11-6
38.9,2021-11-7
26.0,2021-11-8
24.73,2021-11-9
29.95,2021-12-1
28.335,2021-12-10
28.334,2021-12-11
27.32,2021-12-12
29.95,2021-12-13
29.95,2021-12-14
27.5,2021-12-15
27.32,2021-12-16
31.99,2021-12-17
31.95,2021-12-18
28.08,2021-12-19
29.95,2021-12-2
27.74,2021-12-20
31.95,2021-12-21
31.95,2021-12-22
28.06,2021-12-23
27.5,2021-12-24
27.88,2021-12-25
31.95,2021-12-26
27.27,2021-12-27
31.95,2021-12-28
31.95,2021-12-29
29.95,2021-12-3
31.95,2021-12-30
27.03,2021-12-31
29.95,2021-12-4
29.8567,2021-12-5
28.4736,2021-12-6
27.7125,2021-12-7
28.85,2021-12-8
27.54,2021-12-9
31.95,2022-1-1
33.696,2022-1-10
28.41,2022-1-11
33.696,2022-1-12
33.696,2022-1-13
33.696,2022-1-14
33.696,2022-1-15
33.696,2022-1-16
28.75,2022-1-17
33.696,2022-1-18
33.696,2022-1-19
33.696,2022-1-2
33.696,2022-1-20
28.69,2022-1-21
31.99,2022-1-22
31.99,2022-1-23
31.99,2022-1-24
29.72,2022-1-25
29.72,2022-1-26
29.72,2022-1-27
29.72,2022-1-28
28.0,2022-1-29
33.696,2022-1-3
27.93,2022-1-30
30.99,2022-1-31
26.4,2022-1-4
33.696,2022-1-5
33.696,2022-1-6
33.696,2022-1-7
28.4,2022-1-8
33.696,2022-1-9
29.11,2022-2-1
29.01,2022-2-10
30.99,2022-2-11
30.99,2022-2-12
30.99,2022-2-13
28.49,2022-2-14
30.99,2022-2-15
30.99,2022-2-16
30.99,2022-2-17
30.99,2022-2-18
30.99,2022-2-19
29.06,2022-2-2
30.99,2022-2-20
29.63,2022-2-21
29.25,2022-2-22
29.14,2022-2-23
30.99,2022-2-24
30.99,2022-2-25
29.02,2022-2-26
29.02,2022-2-27
29.02,2022-2-28
30.99,2022-2-3
29.565,2022-2-4
29.565,2022-2-5
28.98,2022-2-6
28.58,2022-2-7
28.56,2022-2-8
29.01,2022-2-9
30.9,2022-3-1
31.11,2022-3-10
30.87,2022-3-11
30.79,2022-3-12
30.68,2022-3-13
30.49,2022-3-14
30.49,2022-3-15
30.35,2022-3-16
28.0,2022-3-17
28.0,2022-3-18
28.76,2022-3-2
29.89,2022-3-21
29.81,2022-3-22
29.79,2022-3-23
29.98,2022-3-24
29.99,2022-3-25
29.6548,2022-3-26
29.31,2022-3-27
29.6548,2022-3-28
29.8,2022-3-29
30.9,2022-3-3
32.0,2022-3-30
28.12,2022-3-31
28.49,2022-3-4
30.9,2022-3-5
30.9,2022-3-6
31.22,2022-3-7
30.49,2022-3-8
