prix,date
490.0,2021-10-10
698.0,2021-10-11
575.0,2021-10-12
597.49,2021-10-13
596.99,2021-10-14
645.0,2021-10-15
586.4,2021-10-16
557.68,2021-10-17
528.96,2021-10-18
549.99,2021-10-19
592.95,2021-10-20
590.0,2021-10-21
589.75,2021-10-22
645.0,2021-10-23
615.0,2021-10-24
645.0,2021-10-25
549.75,2021-10-27
577.95,2021-10-28
578.75,2021-10-29
573.0,2021-10-31
520.0,2021-10-9
540.0,2021-11-1
549.99,2021-11-11
574.99,2021-11-12
539.99,2021-11-13
519.99,2021-11-15
460.0,2021-11-16
550.0,2021-11-17
460.0,2021-11-18
460.0,2021-11-19
575.0,2021-11-2
460.0,2021-11-21
460.0,2021-11-22
500.0,2021-11-23
455.0,2021-11-24
520.0,2021-11-25
449.95,2021-11-28
519.75,2021-11-29
455.36,2021-11-30
569.99,2021-11-4
600.0,2021-11-5
578.95,2021-11-6
574.99,2021-11-8
581.0,2021-11-9
700.0,2021-12-1
523.02,2021-12-10
523.02,2021-12-11
499.0,2021-12-12
575.4584,2021-12-14
550.0,2021-12-15
515.32,2021-12-16
550.0,2021-12-17
509.84,2021-12-18
503.25,2021-12-19
509.63,2021-12-20
512.58,2021-12-21
512.55,2021-12-22
512.52,2021-12-23
575.4584,2021-12-24
506.41,2021-12-26
499.99,2021-12-27
485.0,2021-12-28
484.96,2021-12-29
501.99,2021-12-3
484.98,2021-12-30
484.95,2021-12-31
700.0,2021-12-4
510.0,2021-12-5
539.75,2021-12-6
537.24,2021-12-7
520.86,2021-12-8
520.4,2021-12-9
484.91,2022-1-1
495.0,2022-1-10
488.17,2022-1-12
488.17,2022-1-13
435.0,2022-1-14
529.0,2022-1-15
499.95,2022-1-16
529.0,2022-1-17
520.0,2022-1-18
519.0,2022-1-19
484.87,2022-1-2
499.95,2022-1-20
476.48,2022-1-21
477.99,2022-1-22
476.69,2022-1-23
499.95,2022-1-24
