prix,date
516.86,2021-10-10
515.38,2021-10-11
523.68,2021-10-12
521.27,2021-10-13
516.26,2021-10-14
519.6,2021-10-15
495.0,2021-10-16
800.0,2021-10-19
492.46,2021-10-23
491.41,2021-10-24
495.0,2021-10-25
489.17,2021-10-26
494.25,2021-10-27
629.0,2021-10-28
495.0,2021-10-29
495.0,2021-10-30
480.71,2021-10-31
524.66,2021-10-9
495.0,2021-11-1
580.0,2021-11-10
540.0,2021-11-13
509.0,2021-11-15
1045.0,2021-11-16
525.26,2021-11-17
466.13,2021-11-18
488.66,2021-11-19
1045.0,2021-11-2
481.09,2021-11-20
486.24,2021-11-21
488.34,2021-11-22
481.4,2021-11-23
482.42,2021-11-24
480.86,2021-11-25
474.13,2021-11-26
619.9,2021-11-27
457.47,2021-11-28
455.9,2021-11-29
456.76,2021-11-30
504.99,2021-11-4
504.99,2021-11-5
1045.0,2021-11-6
589.0,2021-12-1
498.0,2021-12-10
450.0,2021-12-11
589.0,2021-12-12
477.99,2021-12-13
498.99,2021-12-14
610.0,2021-12-15
475.0,2021-12-17
610.0,2021-12-18
589.0,2021-12-19
457.69,2021-12-2
472.0,2021-12-20
469.9,2021-12-21
468.0,2021-12-22
467.0,2021-12-23
467.0,2021-12-24
464.0,2021-12-27
1050.0,2021-12-28
469.52,2021-12-3
550.0,2021-12-4
475.89,2021-12-5
475.89,2021-12-6
505.0,2021-12-7
450.0,2021-12-8
470.53,2022-1-10
610.0,2022-1-11
490.0,2022-1-17
511.25,2022-1-19
1049.0,2022-1-2
449.0,2022-1-21
450.0,2022-1-22
450.0,2022-1-23
589.0,2022-1-24
509.95,2022-1-25
508.0,2022-1-28
699.95,2022-1-3
599.99,2022-1-4
625.0,2022-1-6
456.8,2022-2-19
507.7,2022-2-2
509.0,2022-2-20
508.0,2022-2-21
509.0,2022-2-24
456.8,2022-2-27
507.75,2022-2-4
505.0,2022-2-5
505.0,2022-2-8
495.28,2022-3-1
509.0,2022-3-10
509.0,2022-3-12
509.0,2022-3-13
537.99,2022-3-16
650.0,2022-3-17
453.61,2022-3-2
595.0,2022-3-25
509.0,2022-3-3
595.0,2022-3-31
509.0,2022-3-4
450.11,2022-3-5
509.0,2022-3-7
501.99,2022-3-8
508.0,2022-3-9
589.0,2022-4-6
