prix,date
539.99,2021-10-12
806.27,2021-10-14
806.27,2021-10-21
560.0,2021-10-22
550.0,2021-10-23
511.6225999999999,2021-10-28
501.0816,2021-10-29
599.0,2021-10-30
800.0,2021-11-1
600.0,2021-11-10
700.0,2021-11-11
580.0,2021-11-13
797.77,2021-11-17
700.0,2021-11-18
550.0,2021-11-19
550.0,2021-11-21
700.0,2021-11-22
550.0,2021-11-23
1369.2,2021-11-24
800.0,2021-11-25
580.0,2021-11-26
29999.0,2021-11-27
888.0,2021-11-28
549.01,2021-11-29
685.0,2021-11-3
831.13,2021-11-30
684.0,2021-11-4
683.0,2021-11-5
806.27,2021-11-6
679.0,2021-11-7
677.0,2021-11-8
675.0,2021-11-9
950.0,2021-12-1
615.0,2021-12-11
755.24,2021-12-13
29999.0,2021-12-14
584.0,2021-12-15
799.99,2021-12-17
888.88,2021-12-18
725.0,2021-12-19
836.28,2021-12-2
790.0,2021-12-20
580.0,2021-12-21
860.0,2021-12-23
788.88,2021-12-24
649.0,2021-12-25
788.88,2021-12-26
750.0,2021-12-27
750.0,2021-12-28
29999.0,2021-12-3
750.0,2021-12-31
790.49,2021-12-4
773.49,2021-12-5
537.0,2021-12-6
763.27,2021-12-7
600.0,2021-12-8
620.0,2021-12-9
676.15,2022-1-1
600.0,2022-1-10
653.99,2022-1-11
750.0,2022-1-12
750.0,2022-1-15
641.07,2022-1-16
641.59,2022-1-17
640.12,2022-1-18
638.38,2022-1-19
678.5,2022-1-2
638.03,2022-1-20
609.62,2022-1-21
700.0,2022-1-22
700.0,2022-1-23
670.0,2022-1-24
660.0,2022-1-25
660.0,2022-1-26
596.74,2022-1-27
593.4,2022-1-28
29999.0,2022-1-29
750.0,2022-1-3
580.09,2022-1-30
592.67,2022-1-31
676.76,2022-1-4
676.86,2022-1-5
677.83,2022-1-6
600.0,2022-1-7
694.22,2022-1-8
694.22,2022-1-9
660.0,2022-2-1
620.0,2022-2-10
575.17,2022-2-14
620.0,2022-2-15
570.0,2022-2-16
670.0,2022-2-18
575.17,2022-2-19
29999.0,2022-2-2
600.0,2022-2-20
600.0,2022-2-22
600.0,2022-2-23
600.0,2022-2-25
860.0,2022-2-26
860.0,2022-2-27
860.0,2022-2-28
660.0,2022-2-7
698.0,2022-2-8
650.0,2022-2-9
594.37,2022-3-1
589.19,2022-3-10
700.0,2022-3-11
29999.0,2022-3-12
650.0,2022-3-13
650.0,2022-3-14
650.0,2022-3-15
650.0,2022-3-17
800.0,2022-3-2
660.0,2022-3-22
650.0,2022-3-23
698.9,2022-3-27
700.0,2022-3-28
707.94,2022-3-29
800.0,2022-3-3
29999.0,2022-3-30
700.0,2022-3-31
594.13,2022-3-4
594.07,2022-3-5
800.0,2022-3-6
