prix,date
3400.0,2021-10-10
1699.0,2021-10-12
1799.0,2021-10-13
1599.0,2021-10-18
2000.0,2021-10-20
3498.0,2021-10-22
1999.0,2021-10-23
1998.0,2021-10-24
1500.0,2021-10-25
1450.0,2021-11-2
1490.0,2021-11-3
1998.0,2021-11-4
1990.0,2021-12-16
1777.77,2021-12-17
1262.55,2021-12-18
1262.55,2021-12-19
1346.66,2021-12-20
1346.66,2021-12-21
1256.23,2021-12-22
1249.95,2021-12-23
1212.91,2021-12-24
1212.9,2021-12-25
1206.83,2021-12-26
1206.82,2021-12-27
1206.79,2021-12-28
1262.55,2021-12-29
1997.99,2021-12-4
1799.0,2021-12-7
1799.0,2022-1-10
1490.0,2022-1-17
1390.0,2022-1-22
1599.0,2022-1-23
1290.0,2022-1-24
1234.56,2022-1-25
1299.99,2022-1-27
1280.0,2022-1-28
1250.99,2022-1-29
1799.0,2022-1-3
1222.99,2022-1-30
1259.99,2022-1-31
1700.0,2022-1-9
1242.77,2022-2-1
1234.12,2022-2-10
1450.0,2022-2-11
1204.84,2022-2-12
1200.69,2022-2-13
1200.69,2022-2-14
1200.69,2022-2-15
1450.0,2022-2-16
1200.69,2022-2-17
1198.29,2022-2-18
1250.99,2022-2-2
1199.99,2022-2-3
1280.0,2022-2-5
1450.0,2022-2-7
1450.0,2022-3-14
1200.69,2022-3-2
1295.0,2022-3-21
1300.0,2022-3-22
1300.0,2022-3-26
1400.0,2022-3-27
1450.0,2022-3-3
1680.0,2022-3-31
1289.99,2022-3-4
1289.98,2022-3-7
