prix,date
139.99,2021-10-10
139.99,2021-10-12
138.6,2021-10-13
138.59,2021-10-14
138.59,2021-10-15
138.58,2021-10-16
138.57,2021-10-17
138.57,2021-10-18
138.56,2021-10-19
138.55,2021-10-20
150.0,2021-10-21
149.0,2021-10-23
125.93,2021-10-24
134.99,2021-10-25
125.0,2021-10-26
132.9,2021-10-27
129.99,2021-10-28
129.97,2021-10-29
128.8,2021-10-30
127.0,2021-11-10
135.8,2021-11-11
134.99,2021-11-16
131.99,2021-11-2
130.48,2021-11-22
126.99,2021-11-23
125.73,2021-11-26
125.73,2021-11-27
125.72,2021-11-28
130.0,2021-11-29
126.82,2021-11-3
128.7,2021-11-30
135.7,2021-11-4
149.99,2021-11-6
139.0,2021-11-7
137.6,2021-11-8
130.0,2021-11-9
125.72,2021-12-1
147.95,2021-12-10
139.0,2021-12-11
146.46,2021-12-12
139.99,2021-12-13
138.59,2021-12-14
138.59,2021-12-16
138.59,2021-12-17
139.9,2021-12-18
125.71,2021-12-2
133.86,2021-12-20
131.06,2021-12-21
131.03,2021-12-22
130.37,2021-12-23
127.15,2021-12-24
129.97,2021-12-25
129.95,2021-12-26
129.97,2021-12-27
129.97,2021-12-28
129.97,2021-12-29
125.7,2021-12-3
129.97,2021-12-30
129.97,2021-12-31
127.0,2021-12-4
127.0,2021-12-5
142.99,2021-12-7
147.95,2021-12-8
147.95,2021-12-9
129.97,2022-1-1
129.97,2022-1-10
153.0,2022-1-11
129.97,2022-1-12
129.97,2022-1-13
142.0,2022-1-14
142.0,2022-1-15
142.0,2022-1-16
129.97,2022-1-17
129.97,2022-1-18
129.97,2022-1-19
129.97,2022-1-2
129.97,2022-1-20
129.97,2022-1-21
129.97,2022-1-22
129.97,2022-1-23
147.46,2022-1-24
129.97,2022-1-25
138.85,2022-1-26
152.99,2022-1-27
151.99,2022-1-28
151.99,2022-1-29
151.99,2022-1-30
138.85,2022-1-31
129.97,2022-1-4
129.97,2022-1-5
134.99,2022-1-6
139.8,2022-1-7
129.97,2022-1-8
138.39,2022-1-9
142.11,2022-2-10
141.55,2022-2-11
141.55,2022-2-12
141.55,2022-2-13
141.55,2022-2-14
140.07,2022-2-15
142.63,2022-2-16
142.57,2022-2-17
142.46,2022-2-18
142.37,2022-2-19
157.96,2022-2-20
166.3,2022-2-21
160.0,2022-2-22
152.22,2022-2-23
151.93,2022-2-24
151.86,2022-2-25
151.8,2022-2-26
140.0,2022-2-27
