prix,date
254.99,2021-10-10
254.98,2021-10-11
254.0,2021-10-12
253.0,2021-10-13
279.99,2021-10-14
240.79,2021-10-16
235.0,2021-10-17
235.0,2021-10-18
235.0,2021-10-20
249.0,2021-10-25
247.0,2021-10-26
244.99,2021-10-27
238.0,2021-10-28
246.74,2021-10-29
246.7,2021-10-30
246.49,2021-10-31
246.42,2021-11-1
259.99,2021-11-10
250.0,2021-11-11
260.0,2021-11-12
250.0,2021-11-13
259.5,2021-11-14
240.0,2021-11-15
259.5,2021-11-16
246.16,2021-11-2
260.0,2021-11-22
259.0,2021-11-23
255.0,2021-11-24
249.5,2021-11-25
279.99,2021-11-26
249.4,2021-11-27
249.39,2021-11-28
246.0,2021-11-29
230.0,2021-11-3
245.69,2021-11-4
240.0,2021-11-5
246.0,2021-11-6
279.99,2021-11-7
260.0,2021-11-9
245.0,2021-12-1
246.95,2021-12-10
244.95,2021-12-11
247.47,2021-12-12
249.95,2021-12-13
247.43,2021-12-14
279.99,2021-12-15
247.4,2021-12-16
247.4,2021-12-17
233.44,2021-12-18
250.0,2021-12-19
244.0,2021-12-2
250.0,2021-12-20
245.0,2021-12-21
239.98,2021-12-22
259.99,2021-12-24
240.0,2021-12-25
259.99,2021-12-26
259.99,2021-12-27
245.0,2021-12-28
249.7,2021-12-29
244.98,2021-12-3
259.99,2021-12-30
250.0,2021-12-31
249.95,2021-12-4
259.95,2021-12-5
250.0,2021-12-7
249.95,2021-12-8
248.95,2021-12-9
240.0,2022-1-1
249.99,2022-1-10
257.19,2022-1-11
257.16,2022-1-12
257.19,2022-1-13
259.78,2022-1-14
249.99,2022-1-15
249.99,2022-1-16
259.99,2022-1-17
264.95,2022-1-18
259.99,2022-1-19
279.99,2022-1-2
255.0,2022-1-20
259.99,2022-1-21
259.99,2022-1-22
265.98,2022-1-23
259.99,2022-1-24
255.61,2022-1-25
255.0,2022-1-26
264.95,2022-1-27
259.99,2022-1-28
253.99,2022-1-29
259.99,2022-1-3
259.99,2022-1-30
259.99,2022-1-31
242.55,2022-1-4
242.55,2022-1-5
259.99,2022-1-6
259.0,2022-1-7
257.49,2022-1-8
257.49,2022-1-9
259.99,2022-2-1
274.82,2022-2-10
262.07,2022-2-11
292.7232,2022-2-12
254.5,2022-2-13
275.2,2022-2-14
274.42,2022-2-15
254.5,2022-2-16
258.13,2022-2-17
258.24,2022-2-18
279.69,2022-2-19
259.99,2022-2-2
279.8,2022-2-20
279.8,2022-2-21
285.99,2022-2-22
279.79,2022-2-23
279.79,2022-2-24
279.78,2022-2-25
279.78,2022-2-26
266.32,2022-2-27
266.15,2022-2-28
259.99,2022-2-3
279.99,2022-2-4
259.99,2022-2-5
259.99,2022-2-6
259.99,2022-2-7
278.0,2022-2-8
274.82,2022-2-9
266.05,2022-3-1
262.4,2022-3-10
282.34,2022-3-11
282.34,2022-3-12
282.34,2022-3-13
285.0,2022-3-14
280.0,2022-3-15
288.03,2022-3-16
291.7,2022-3-17
289.99,2022-3-18
259.32,2022-3-2
351.11,2022-3-21
305.0,2022-3-22
284.73,2022-3-24
284.64,2022-3-25
304.9,2022-3-26
311.2,2022-3-27
295.0,2022-3-28
299.0,2022-3-29
