prix,date
155.0,2021-10-11
154.0,2021-10-14
190.0,2021-10-16
154.0,2021-10-19
154.0,2021-10-25
152.0,2021-10-27
150.0,2021-10-29
150.0,2021-10-30
150.0,2021-11-1
137.21,2021-11-10
137.2,2021-11-14
137.19,2021-11-15
149.99,2021-11-16
143.55,2021-11-2
173.9195,2021-11-22
169.3605,2021-11-23
165.28080000000003,2021-11-24
161.6923,2021-11-25
158.5589,2021-11-26
155.9254,2021-11-27
153.7538,2021-11-28
152.0753,2021-11-29
140.0,2021-11-3
150.8655,2021-11-30
139.99,2021-11-4
138.59,2021-11-8
150.1437,2021-12-1
147.97,2021-12-10
139.98,2021-12-11
138.57,2021-12-12
148.0,2021-12-13
137.99,2021-12-14
137.99,2021-12-15
146.0,2021-12-16
146.0,2021-12-17
142.0,2021-12-18
151.8,2021-12-19
149.9,2021-12-2
150.99,2021-12-20
147.0,2021-12-21
140.45,2021-12-22
140.45,2021-12-23
140.45,2021-12-24
140.45,2021-12-25
140.45,2021-12-26
150.5,2021-12-27
140.45,2021-12-28
140.45,2021-12-29
149.9,2021-12-3
140.45,2021-12-30
140.45,2021-12-31
160.95,2021-12-4
149.99,2021-12-5
149.98,2021-12-6
166.61700000000002,2021-12-8
147.99,2021-12-9
145.0,2022-1-1
150.55,2022-1-10
140.45,2022-1-12
139.6,2022-1-13
137.5,2022-1-14
147.0,2022-1-15
147.0,2022-1-16
152.0,2022-1-17
140.45,2022-1-18
152.0,2022-1-19
140.45,2022-1-2
155.8,2022-1-20
140.45,2022-1-21
152.0,2022-1-22
150.0,2022-1-23
150.0,2022-1-24
143.55,2022-1-25
153.0,2022-1-26
140.0,2022-1-27
142.0,2022-1-28
140.58,2022-1-29
138.01,2022-1-30
153.0,2022-1-31
147.0,2022-1-4
145.0,2022-1-6
140.45,2022-1-7
140.45,2022-1-8
144.0,2022-1-9
139.0,2022-2-1
142.34,2022-2-11
142.05,2022-2-12
140.36,2022-2-13
138.68,2022-2-14
142.33,2022-2-15
153.0,2022-2-16
144.86,2022-2-17
144.86,2022-2-18
137.6,2022-2-2
141.0,2022-2-20
140.91,2022-2-21
144.86,2022-2-22
151.0,2022-2-23
143.28,2022-2-24
143.21,2022-2-25
143.15,2022-2-26
143.09,2022-2-27
143.02,2022-2-28
149.8,2022-2-3
149.8,2022-2-4
148.31,2022-2-5
153.0,2022-2-6
152.2,2022-2-7
143.58,2022-2-8
142.34,2022-2-9
144.17,2022-3-1
142.82,2022-3-10
141.28,2022-3-11
157.4,2022-3-12
149.44,2022-3-13
157.4,2022-3-14
149.45,2022-3-15
157.4,2022-3-16
164.99,2022-3-17
144.13,2022-3-2
156.17,2022-3-21
155.78,2022-3-22
155.77,2022-3-23
151.19,2022-3-24
171.83,2022-3-25
150.99,2022-3-26
149.15,2022-3-27
147.46,2022-3-28
158.99,2022-3-29
151.9342,2022-3-3
151.88,2022-3-30
148.33,2022-3-31
139.0324,2022-3-4
135.9354,2022-3-5
