prix,date
34.11,2021-10-10
35.11,2021-10-11
34.99,2021-10-12
35.0664,2021-10-13
34.83,2021-10-14
34.83,2021-10-15
34.12,2021-10-16
33.4,2021-10-17
33.34,2021-10-18
33.29,2021-10-19
32.65,2021-10-20
34.99,2021-10-21
34.9,2021-10-22
32.0,2021-10-23
31.55,2021-10-24
31.84,2021-10-25
34.9,2021-10-26
31.76,2021-10-27
32.04,2021-10-28
31.77,2021-10-29
34.79,2021-10-30
34.7,2021-10-31
34.23,2021-10-9
31.9,2021-11-1
33.83,2021-11-10
34.67,2021-11-11
32.97,2021-11-12
35.5,2021-11-13
34.4,2021-11-14
35.47,2021-11-15
34.66,2021-11-16
34.83,2021-11-17
34.65,2021-11-18
33.89,2021-11-19
32.92,2021-11-2
41.99,2021-11-20
35.46,2021-11-21
34.6,2021-11-22
34.79,2021-11-23
34.6,2021-11-24
37.99,2021-11-25
37.99,2021-11-26
35.0,2021-11-27
33.76,2021-11-28
35.0,2021-11-29
32.92,2021-11-3
35.24,2021-11-30
45.26,2021-11-4
34.69,2021-11-5
32.13,2021-11-6
38.72,2021-11-7
33.96,2021-11-8
34.69,2021-11-9
35.0,2021-12-1
37.71,2021-12-10
39.5,2021-12-11
38.78,2021-12-12
37.48,2021-12-13
36.78,2021-12-14
37.0,2021-12-15
37.0,2021-12-16
39.95,2021-12-17
39.95,2021-12-18
39.95,2021-12-19
35.84,2021-12-2
40.4463,2021-12-20
39.4498,2021-12-21
38.5355,2021-12-22
37.7064,2021-12-23
36.9562,2021-12-24
42.95,2021-12-25
42.95,2021-12-26
36.42,2021-12-27
37.19,2021-12-28
37.16,2021-12-29
37.0,2021-12-3
42.95,2021-12-30
42.95,2021-12-31
36.97,2021-12-4
37.03,2021-12-5
39.95,2021-12-6
35.94,2021-12-7
36.91,2021-12-8
38.99,2021-12-9
39.2,2022-1-1
42.7201,2022-1-10
39.1335,2022-1-11
42.75,2022-1-12
37.19,2022-1-13
37.19,2022-1-14
37.19,2022-1-15
42.75,2022-1-16
42.6,2022-1-17
45.95,2022-1-18
37.19,2022-1-19
42.8,2022-1-2
45.8,2022-1-20
45.8,2022-1-21
39.9748,2022-1-22
39.9748,2022-1-23
39.9748,2022-1-24
37.19,2022-1-25
40.26,2022-1-26
39.9748,2022-1-27
39.34,2022-1-28
39.28,2022-1-29
37.17,2022-1-3
39.9748,2022-1-30
42.0,2022-1-31
41.99,2022-1-4
41.99,2022-1-5
42.8,2022-1-6
37.19,2022-1-7
42.75,2022-1-8
37.19,2022-1-9
38.43,2022-2-1
40.5225,2022-2-10
40.5075,2022-2-11
40.5075,2022-2-12
42.0,2022-2-13
39.8,2022-2-14
42.0,2022-2-15
39.71,2022-2-16
42.0,2022-2-17
39.52,2022-2-18
42.0,2022-2-19
41.99,2022-2-2
40.99,2022-2-20
40.99,2022-2-21
40.95,2022-2-22
40.42,2022-2-23
40.95,2022-2-24
40.19,2022-2-25
40.95,2022-2-26
39.72,2022-2-27
40.95,2022-2-28
40.08,2022-2-3
42.0,2022-2-4
42.0,2022-2-5
40.05,2022-2-6
42.0,2022-2-7
42.0,2022-2-8
40.02,2022-2-9
40.95,2022-3-1
40.95,2022-3-10
40.81,2022-3-11
45.0,2022-3-12
40.63,2022-3-13
45.95,2022-3-14
45.95,2022-3-15
41.33,2022-3-16
45.95,2022-3-17
41.23,2022-3-18
40.95,2022-3-2
45.8683,2022-3-21
40.73,2022-3-22
45.8,2022-3-23
40.52,2022-3-24
41.0,2022-3-25
40.33,2022-3-26
40.25,2022-3-27
41.0,2022-3-28
39.92,2022-3-29
38.86,2022-3-3
41.65,2022-3-30
41.0,2022-3-31
40.95,2022-3-4
40.95,2022-3-5
40.95,2022-3-6
39.77,2022-3-7
40.95,2022-3-8
40.95,2022-3-9
