prix,date
22.99,2021-10-10
20.11,2021-10-11
20.11,2021-10-12
19.0,2021-10-13
28.95,2021-10-14
21.9,2021-10-15
21.99,2021-10-16
20.0,2021-10-17
21.91,2021-10-18
21.9,2021-10-19
21.79,2021-10-20
20.19,2021-10-21
20.33,2021-10-22
20.79,2021-10-23
19.9773,2021-10-24
18.2715,2021-10-25
23.95,2021-10-26
19.0,2021-10-27
19.26,2021-10-28
19.05,2021-10-29
18.7,2021-10-30
18.5,2021-10-31
24.0,2021-10-9
23.95,2021-11-1
28.95,2021-11-10
25.99,2021-11-11
80.0,2021-11-12
24.95,2021-11-13
23.16,2021-11-14
22.92,2021-11-15
25.99,2021-11-16
22.68,2021-11-17
22.3,2021-11-18
22.21,2021-11-19
19.96,2021-11-2
24.99,2021-11-20
22.42,2021-11-21
22.52,2021-11-22
22.66,2021-11-23
80.0,2021-11-24
22.66,2021-11-25
22.66,2021-11-26
22.66,2021-11-27
25.0,2021-11-28
25.0,2021-11-29
21.95,2021-11-3
22.6,2021-11-30
23.95,2021-11-4
28.95,2021-11-5
20.33,2021-11-6
19.48,2021-11-7
21.7829,2021-11-8
24.3309,2021-11-9
25.0,2021-12-1
22.0,2021-12-10
22.0,2021-12-11
26.95,2021-12-12
22.81,2021-12-13
22.82,2021-12-14
22.36,2021-12-15
26.95,2021-12-16
25.0,2021-12-17
22.24,2021-12-18
22.99,2021-12-19
22.37,2021-12-2
22.99,2021-12-20
22.99,2021-12-21
22.99,2021-12-22
22.39,2021-12-23
25.0,2021-12-24
22.62,2021-12-25
22.51,2021-12-26
22.62,2021-12-27
24.58,2021-12-28
24.58,2021-12-29
25.0,2021-12-3
26.95,2021-12-30
24.58,2021-12-31
22.33,2021-12-4
22.0,2021-12-5
22.23,2021-12-6
22.54,2021-12-7
22.65,2021-12-8
80.0,2021-12-9
26.95,2022-1-1
26.95,2022-1-10
26.95,2022-1-11
24.58,2022-1-12
26.95,2022-1-13
24.58,2022-1-14
25.05,2022-1-15
24.58,2022-1-16
24.06,2022-1-17
24.02,2022-1-18
25.05,2022-1-19
26.95,2022-1-2
23.97,2022-1-20
24.58,2022-1-21
24.57,2022-1-22
28.2,2022-1-23
80.0,2022-1-24
24.58,2022-1-25
80.0,2022-1-26
24.35,2022-1-27
24.3,2022-1-28
39.95,2022-1-29
24.24,2022-1-3
26.4,2022-1-30
26.39,2022-1-31
26.95,2022-1-4
26.95,2022-1-5
26.95,2022-1-6
24.07,2022-1-7
24.58,2022-1-8
24.76,2022-1-9
24.94,2022-2-1
39.95,2022-2-10
24.13,2022-2-11
39.95,2022-2-12
24.5,2022-2-13
39.95,2022-2-14
39.95,2022-2-15
28.3349,2022-2-16
26.1433,2022-2-17
27.5,2022-2-18
28.5,2022-2-19
24.54,2022-2-2
27.08,2022-2-20
27.08,2022-2-21
39.95,2022-2-22
26.91,2022-2-23
25.76,2022-2-24
25.69,2022-2-25
25.63,2022-2-26
39.95,2022-2-27
27.65,2022-2-28
24.5,2022-2-3
24.47,2022-2-4
39.95,2022-2-5
26.41,2022-2-6
26.41,2022-2-7
26.41,2022-2-8
26.4,2022-2-9
39.95,2022-3-1
39.95,2022-3-10
39.95,2022-3-11
30.24,2022-3-12
35.7792,2022-3-13
29.14,2022-3-14
31.0,2022-3-15
26.7758,2022-3-16
26.5874,2022-3-17
26.5549,2022-3-18
39.95,2022-3-2
28.32,2022-3-21
28.32,2022-3-22
31.0,2022-3-24
27.4,2022-3-25
28.23,2022-3-26
28.16,2022-3-27
31.0,2022-3-28
28.32,2022-3-29
26.9,2022-3-3
28.11,2022-3-30
27.56,2022-3-31
25.98,2022-3-4
39.95,2022-3-5
27.89,2022-3-6
26.5,2022-3-7
39.95,2022-3-8
