prix,date
19.26,2021-10-9
19.08,2021-10-10
18.96,2021-10-11
18.5,2021-10-12
19.85,2021-10-13
19.5,2021-10-14
18.99,2021-10-16
18.57,2021-10-17
17.5,2021-10-18
18.38,2021-10-19
18.19,2021-10-20
18.18,2021-10-21
18.18,2021-10-22
18.21,2021-10-23
18.02,2021-10-24
17.82,2021-10-25
19.26,2021-10-26
19.26,2021-10-27
18.87,2021-10-28
18.85,2021-10-29
18.5,2021-10-30
19.37,2021-10-31
19.0,2021-11-1
18.81,2021-11-2
18.8,2021-11-3
18.99,2021-11-4
18.81,2021-11-5
19.45,2021-11-6
19.45,2021-11-7
19.06,2021-11-8
19.05,2021-11-9
19.2,2021-11-10
19.2,2021-11-11
19.2,2021-11-12
19.01,2021-11-14
18.81,2021-11-15
19.01,2021-11-16
19.35,2021-11-17
18.82,2021-11-22
19.28,2021-11-23
20.0,2021-11-24
19.5,2021-11-25
19.3,2021-11-26
18.99,2021-11-27
18.81,2021-11-28
18.99,2021-11-29
19.12,2021-11-30
18.92,2021-12-1
19.8,2021-12-2
19.61,2021-12-3
20.0,2021-12-4
19.82,2021-12-5
19.81,2021-12-6
19.99,2021-12-7
20.2,2021-12-8
20.2,2021-12-9
21.1,2021-12-10
21.1,2021-12-11
20.77,2021-12-12
20.57,2021-12-13
20.36,2021-12-14
20.16,2021-12-15
20.15,2021-12-16
20.15,2021-12-17
19.94,2021-12-18
20.0,2021-12-19
20.15,2021-12-20
19.85,2021-12-21
19.66,2021-12-22
19.75,2021-12-23
19.76,2021-12-24
20.75,2021-12-25
20.53,2021-12-26
20.31,2021-12-27
20.2,2021-12-28
20.52,2021-12-29
20.75,2021-12-30
20.55,2021-12-31
21.0,2022-1-1
21.78,2022-1-2
21.0,2022-1-3
21.54,2022-1-4
21.29,2022-1-5
21.32,2022-1-6
21.11,2022-1-7
20.9,2022-1-8
20.89,2022-1-9
20.68,2022-1-10
20.48,2022-1-11
20.47,2022-1-12
20.9,2022-1-13
20.7,2022-1-14
20.7,2022-1-15
20.5,2022-1-16
20.7,2022-1-17
21.58,2022-1-18
22.75,2022-1-19
22.51,2022-1-20
21.0,2022-1-21
21.07,2022-1-22
20.86,2022-1-23
21.08,2022-1-24
21.08,2022-1-25
20.79,2022-1-26
20.59,2022-1-27
20.39,2022-1-28
20.78,2022-1-29
20.3,2022-1-30
20.79,2022-1-31
21.93,2022-2-1
21.93,2022-2-2
21.72,2022-2-3
21.5,2022-2-4
21.29,2022-2-5
21.5,2022-2-6
21.28,2022-2-7
21.06,2022-2-8
21.51,2022-2-9
21.24,2022-2-10
21.24,2022-2-11
21.0,2022-2-12
20.79,2022-2-13
20.59,2022-2-14
20.39,2022-2-15
20.38,2022-2-16
20.0,2022-2-17
20.39,2022-2-18
20.19,2022-2-19
20.59,2022-2-20
20.78,2022-2-21
20.99,2022-2-22
21.48,2022-2-23
21.48,2022-2-24
21.27,2022-2-25
21.05,2022-2-26
20.64,2022-2-27
20.63,2022-2-28
20.43,2022-3-1
20.41,2022-3-2
21.09,2022-3-3
20.69,2022-3-4
21.5,2022-3-5
21.79,2022-3-6
21.58,2022-3-7
21.36,2022-3-8
21.15,2022-3-9
21.15,2022-3-10
20.89,2022-3-11
21.36,2022-3-12
21.15,2022-3-13
21.66,2022-3-14
21.63,2022-3-15
21.26,2022-3-16
21.55,2022-3-17
21.34,2022-3-18
21.34,2022-3-21
21.55,2022-3-22
21.54,2022-3-23
21.53,2022-3-24
21.53,2022-3-25
21.53,2022-3-26
21.53,2022-3-27
21.53,2022-3-28
21.56,2022-3-29
21.5,2022-3-30
21.54,2022-3-31
21.53,2022-4-4
21.3,2022-4-5
21.3,2022-4-6
