prix,date
31.4716,2021-10-13
29.99,2021-10-21
30.0,2021-10-29
29.6003,2021-10-30
30.0,2021-10-31
33.0,2021-11-1
31.95,2021-11-2
31.9,2021-11-4
31.2826,2021-11-9
30.9967,2021-11-11
31.5315,2021-11-12
31.35,2021-11-14
31.3,2021-11-15
31.29,2021-11-16
31.29,2021-11-17
35.05,2021-11-18
30.0,2021-11-23
31.49,2021-11-24
31.45,2021-11-25
31.44,2021-11-26
31.45,2021-11-28
31.44,2021-11-29
31.45,2021-11-30
35.0,2021-12-1
32.0,2021-12-2
32.0,2021-12-4
32.0,2021-12-5
32.0,2021-12-6
32.0,2021-12-7
32.0,2021-12-8
35.05,2021-12-9
33.0,2021-12-10
35.0,2021-12-11
34.04,2021-12-13
34.04,2021-12-14
34.65,2021-12-15
34.65,2021-12-16
34.65,2021-12-17
34.0,2021-12-18
34.65,2021-12-19
34.0,2021-12-20
34.0,2021-12-21
34.0,2021-12-22
34.0,2021-12-23
34.0,2021-12-24
34.0,2021-12-27
34.0,2021-12-28
35.94,2021-12-30
35.95,2021-12-31
35.95,2022-1-1
35.95,2022-1-2
35.95,2022-1-4
37.95,2022-1-5
37.95,2022-1-7
33.99,2022-1-9
34.155,2022-1-10
34.155,2022-1-11
34.155,2022-1-12
34.155,2022-1-13
34.155,2022-1-15
34.155,2022-1-16
35.79,2022-1-18
37.0,2022-1-19
36.375,2022-1-20
35.2838,2022-1-21
34.2253,2022-1-22
33.1985,2022-1-23
33.1985,2022-1-24
33.95,2022-1-25
33.95,2022-1-26
33.95,2022-1-27
33.95,2022-1-28
33.34,2022-1-29
33.34,2022-1-31
33.95,2022-2-2
36.99,2022-2-4
34.0,2022-2-5
34.0,2022-2-6
34.0,2022-2-7
34.0,2022-2-8
34.0,2022-2-9
36.99,2022-2-10
35.34,2022-2-11
35.34,2022-2-12
35.34,2022-2-13
35.2125,2022-2-14
35.2125,2022-2-15
32.78,2022-2-16
35.34,2022-2-17
35.34,2022-2-18
33.99,2022-2-20
37.45,2022-2-21
36.0,2022-2-25
36.0,2022-2-26
37.45,2022-2-27
32.99,2022-2-28
32.99,2022-3-1
34.98,2022-3-2
34.98,2022-3-3
33.9023,2022-3-4
34.98,2022-3-5
33.8386,2022-3-7
35.41,2022-3-8
35.41,2022-3-9
36.09,2022-3-12
36.18,2022-3-14
36.18,2022-3-15
36.18,2022-3-17
34.2575,2022-3-18
36.0,2022-3-22
36.0,2022-3-25
37.45,2022-3-27
36.7425,2022-3-28
36.7425,2022-3-29
36.7425,2022-3-30
37.185,2022-4-6
37.1693,2022-4-7
