prix,date
9.79,2021-10-9
9.7,2021-10-10
9.48,2021-10-13
9.37,2021-10-15
9.38,2021-10-16
9.02,2021-10-17
9.47,2021-10-20
8.94,2021-10-22
8.939,2021-10-23
9.47,2021-10-24
9.5,2021-10-26
9.8851,2021-10-27
9.9101,2021-10-28
9.55,2021-10-29
9.69,2021-10-30
9.5,2021-10-31
9.69,2021-11-2
9.65,2021-11-3
10.35,2021-11-4
9.89,2021-11-5
10.5,2021-11-8
10.5,2021-11-9
10.2,2021-11-11
10.15,2021-11-12
10.15,2021-11-13
10.0,2021-11-14
10.0,2021-11-15
9.99,2021-11-16
9.9,2021-11-17
9.89,2021-11-22
9.88,2021-11-23
9.7812,2021-11-24
9.77,2021-11-25
9.77,2021-11-26
9.5179,2021-11-27
9.0,2021-11-28
9.68,2021-11-29
9.68,2021-11-30
9.68,2021-12-1
9.68,2021-12-2
9.3285,2021-12-3
9.5767,2021-12-4
9.8,2021-12-5
10.5,2021-12-6
10.79,2021-12-7
10.65,2021-12-8
10.65,2021-12-9
10.65,2021-12-10
10.65,2021-12-11
10.09,2021-12-12
10.0,2021-12-13
10.0,2021-12-14
10.0,2021-12-15
10.0,2021-12-16
9.91,2021-12-17
9.91,2021-12-18
9.89,2021-12-19
9.89,2021-12-20
9.89,2021-12-21
9.89,2021-12-22
9.89,2021-12-23
9.89,2021-12-24
9.8,2021-12-25
10.5,2021-12-26
10.5,2021-12-27
10.4,2021-12-28
10.3,2021-12-29
10.3,2021-12-30
10.3,2021-12-31
10.4,2022-1-1
10.24,2022-1-2
10.22,2022-1-3
10.4,2022-1-4
10.7,2022-1-5
10.7,2022-1-6
10.99,2022-1-7
11.0,2022-1-8
11.0,2022-1-9
11.1764,2022-1-10
11.1764,2022-1-11
10.97,2022-1-12
10.97,2022-1-13
10.965,2022-1-14
10.95,2022-1-15
10.93,2022-1-16
10.5,2022-1-17
10.49,2022-1-18
10.6,2022-1-19
10.6,2022-1-20
10.45,2022-1-21
10.2,2022-1-22
10.0144,2022-1-23
10.0144,2022-1-24
10.25,2022-1-25
10.25,2022-1-26
10.25,2022-1-27
10.12,2022-1-28
10.2,2022-1-29
10.2,2022-1-30
10.2,2022-1-31
10.2,2022-2-1
10.2,2022-2-2
10.2,2022-2-3
10.2,2022-2-4
10.542,2022-2-5
10.542,2022-2-6
10.4,2022-2-7
10.4,2022-2-8
10.4,2022-2-9
10.4,2022-2-10
10.0,2022-2-11
10.0,2022-2-12
10.0,2022-2-13
10.0,2022-2-14
10.0,2022-2-15
10.0,2022-2-16
10.0,2022-2-17
10.0,2022-2-18
10.0,2022-2-19
10.0,2022-2-20
10.0906,2022-2-21
10.053,2022-2-22
10.0256,2022-2-23
10.0077,2022-2-24
10.0002,2022-2-25
10.0,2022-2-26
10.0,2022-2-27
9.98,2022-2-28
10.3,2022-3-1
10.3,2022-3-2
10.3,2022-3-3
10.3,2022-3-4
10.3,2022-3-5
10.2049,2022-3-6
9.8409,2022-3-7
10.3,2022-3-8
10.39,2022-3-9
10.3,2022-3-10
10.3,2022-3-11
10.3,2022-3-12
10.3,2022-3-13
10.3,2022-3-14
10.3,2022-3-15
10.3,2022-3-16
10.3,2022-3-17
10.3,2022-3-18
10.3,2022-3-21
10.2928,2022-3-22
10.3,2022-3-23
10.3,2022-3-24
9.9779,2022-3-25
9.6622,2022-3-26
10.6,2022-3-27
10.650700000000002,2022-3-28
10.5196,2022-3-29
10.5196,2022-3-30
10.5196,2022-3-31
10.49,2022-4-4
10.9,2022-4-6
