prix,date
3.28,2021-10-9
3.24,2021-10-10
3.21,2021-10-11
3.17,2021-10-12
3.14,2021-10-13
3.1,2021-10-14
3.11,2021-10-16
3.09,2021-10-17
3.14,2021-10-18
3.1,2021-10-19
3.06,2021-10-20
3.03,2021-10-21
3.94,2021-10-22
3.77,2021-10-23
3.73,2021-10-24
3.69,2021-10-25
3.66,2021-10-26
3.63,2021-10-27
3.46,2021-10-28
3.44,2021-10-29
3.4,2021-10-30
3.4,2021-10-31
3.36,2021-11-1
3.6,2021-11-2
3.49,2021-11-3
3.46,2021-11-4
4.0,2021-11-5
3.96,2021-11-6
4.0,2021-11-7
3.96,2021-11-8
3.99,2021-11-9
3.96,2021-11-10
3.95,2021-11-11
3.92,2021-11-12
3.88,2021-11-14
3.84,2021-11-15
3.79,2021-11-16
3.75,2021-11-17
3.9,2021-11-22
3.85,2021-11-23
3.86,2021-11-24
3.83,2021-11-25
3.74,2021-11-26
3.77,2021-11-27
3.73,2021-11-28
3.7,2021-11-29
3.67,2021-11-30
3.63,2021-12-1
3.93,2021-12-2
3.9,2021-12-3
3.87,2021-12-4
4.4,2021-12-5
4.36,2021-12-6
4.36,2021-12-7
3.98,2021-12-8
3.94,2021-12-9
3.9,2021-12-10
3.9,2021-12-11
3.85,2021-12-12
3.69,2021-12-13
3.65,2021-12-14
3.57,2021-12-15
3.52,2021-12-16
3.49,2021-12-17
3.51,2021-12-18
3.62,2021-12-19
3.58,2021-12-20
3.55,2021-12-21
3.51,2021-12-22
3.48,2021-12-23
3.44,2021-12-24
3.44,2021-12-25
3.46,2021-12-26
3.43,2021-12-27
3.43,2021-12-28
3.5,2021-12-29
3.47,2021-12-30
3.4,2021-12-31
3.4,2022-1-1
3.41,2022-1-2
3.55,2022-1-3
3.42,2022-1-4
3.42,2022-1-5
3.35,2022-1-6
3.34,2022-1-7
3.31,2022-1-8
3.54,2022-1-9
3.54,2022-1-10
3.54,2022-1-11
3.76,2022-1-12
3.57,2022-1-13
3.5,2022-1-14
3.47,2022-1-15
3.44,2022-1-16
3.44,2022-1-17
3.44,2022-1-18
3.38,2022-1-19
3.34,2022-1-20
3.33,2022-1-21
3.34,2022-1-22
3.3,2022-1-23
3.27,2022-1-24
3.57,2022-1-25
3.51,2022-1-26
3.47,2022-1-27
3.43,2022-1-28
3.43,2022-1-29
3.37,2022-1-30
3.36,2022-1-31
3.31,2022-2-1
3.21,2022-2-2
3.28,2022-2-3
3.25,2022-2-4
3.3,2022-2-5
3.27,2022-2-6
3.24,2022-2-7
3.69,2022-2-8
3.6,2022-2-9
3.5,2022-2-10
3.47,2022-2-11
3.44,2022-2-12
3.41,2022-2-13
3.38,2022-2-14
3.32,2022-2-15
3.28,2022-2-16
3.27,2022-2-17
3.26,2022-2-18
3.23,2022-2-19
3.19,2022-2-20
3.18,2022-2-21
3.16,2022-2-22
3.19,2022-2-23
3.12,2022-2-24
3.16,2022-2-25
3.12,2022-2-26
3.18,2022-2-27
3.24,2022-2-28
3.29,2022-3-1
3.24,2022-3-2
3.21,2022-3-3
3.21,2022-3-4
3.21,2022-3-5
3.21,2022-3-6
3.18,2022-3-7
2.97,2022-3-8
2.95,2022-3-9
2.91,2022-3-10
2.91,2022-3-11
3.0,2022-3-12
2.96,2022-3-13
2.93,2022-3-14
2.89,2022-3-15
2.89,2022-3-16
2.87,2022-3-17
2.85,2022-3-18
2.78,2022-3-21
2.75,2022-3-22
2.78,2022-3-24
2.76,2022-3-25
2.76,2022-3-26
2.76,2022-3-27
2.73,2022-3-28
2.67,2022-3-29
2.68,2022-3-30
2.68,2022-3-31
2.72,2022-4-4
2.63,2022-4-5
2.59,2022-4-6
