prix,date
42.18,2021-10-9
42.38,2021-10-10
45.74,2021-10-11
40.03,2021-10-12
40.64,2021-10-13
40.66,2021-10-14
42.51,2021-10-15
41.57,2021-10-16
38.72,2021-10-17
42.06,2021-10-18
41.16,2021-10-19
40.26,2021-10-20
39.94,2021-10-21
38.65,2021-10-22
39.6,2021-10-23
39.58,2021-10-24
39.09,2021-10-25
38.66,2021-10-26
38.95,2021-10-27
39.96,2021-10-28
40.51,2021-10-29
40.5,2021-10-30
40.49,2021-10-31
40.51,2021-11-2
40.45,2021-11-3
40.99,2021-11-4
41.31,2021-11-5
42.48,2021-11-6
44.0,2021-11-7
41.88,2021-11-8
42.22,2021-11-9
43.84,2021-11-11
42.17,2021-11-12
49.46,2021-11-13
42.02,2021-11-14
41.89,2021-11-15
41.88,2021-11-16
42.17,2021-11-17
43.35,2021-11-18
42.88,2021-11-19
44.5,2021-11-20
44.35,2021-11-21
44.2,2021-11-22
44.33,2021-11-23
43.9,2021-11-24
43.93,2021-11-25
44.23,2021-11-26
42.28,2021-11-27
44.29,2021-11-28
43.43,2021-11-29
43.9,2021-11-30
44.76,2021-12-1
44.27,2021-12-2
45.42,2021-12-3
45.09,2021-12-4
46.24,2021-12-5
46.81,2021-12-6
44.98,2021-12-7
47.69,2021-12-8
47.45,2021-12-9
46.35,2021-12-10
46.35,2021-12-11
46.3,2021-12-12
44.85,2021-12-13
46.35,2021-12-14
46.35,2021-12-15
48.47,2021-12-16
47.13,2021-12-17
48.47,2021-12-18
46.7,2021-12-19
46.7,2021-12-20
46.68,2021-12-21
46.63,2021-12-22
46.59,2021-12-23
46.55,2021-12-24
46.5,2021-12-25
46.43,2021-12-26
46.37,2021-12-27
46.5,2021-12-28
46.47,2021-12-29
46.39,2021-12-30
46.31,2021-12-31
46.19,2022-1-1
46.11,2022-1-2
46.07,2022-1-3
46.03,2022-1-4
46.0,2022-1-5
45.93,2022-1-6
46.56,2022-1-7
46.56,2022-1-9
46.56,2022-1-10
46.56,2022-1-11
46.56,2022-1-12
46.56,2022-1-13
46.56,2022-1-14
46.56,2022-1-15
46.56,2022-1-16
46.56,2022-1-17
46.56,2022-1-18
46.56,2022-1-20
46.56,2022-1-21
46.56,2022-1-22
46.56,2022-1-23
46.56,2022-1-24
46.56,2022-1-25
48.99,2022-1-26
51.28,2022-1-27
49.46,2022-1-28
49.46,2022-1-29
51.99,2022-1-30
51.99,2022-1-31
51.99,2022-2-1
51.99,2022-2-2
58.56,2022-2-3
58.56,2022-2-4
60.25,2022-2-5
58.56,2022-2-6
58.56,2022-2-7
55.02,2022-2-8
54.37,2022-2-9
53.77,2022-2-10
52.69,2022-2-11
52.69,2022-2-14
54.97,2022-2-15
54.77,2022-2-17
54.52,2022-2-18
54.52,2022-2-21
54.52,2022-2-22
54.52,2022-2-23
54.52,2022-2-24
54.54,2022-2-25
57.67,2022-2-26
56.02,2022-2-27
55.91,2022-3-1
55.55,2022-3-2
53.8,2022-3-3
53.8,2022-3-5
53.79,2022-3-6
55.24,2022-3-7
57.51,2022-3-8
57.15,2022-3-9
56.43,2022-3-10
55.71,2022-3-11
59.9,2022-3-12
59.9,2022-3-13
59.9,2022-3-15
59.9,2022-3-16
59.9,2022-3-17
59.89,2022-3-18
57.96,2022-3-21
57.24,2022-3-22
57.12,2022-3-23
58.81,2022-3-24
58.81,2022-3-25
58.81,2022-3-26
58.81,2022-3-27
57.6,2022-3-28
57.5,2022-3-29
57.43,2022-3-30
57.36,2022-3-31
59.29,2022-4-4
62.15,2022-4-6
