prix,date
2.499,2021-10-9
3.8,2021-10-11
3.8,2021-12-9
3.8,2021-12-13
3.8,2021-12-20
3.8,2021-12-21
3.8,2021-12-22
3.8,2021-12-27
3.8,2021-12-28
3.8,2021-12-29
3.8,2021-12-30
3.8,2022-1-1
3.8,2022-1-3
3.8,2022-1-4
3.8,2022-1-5
3.8,2022-1-8
3.8,2022-1-9
3.8,2022-1-12
3.8,2022-1-13
3.8,2022-1-14
3.8,2022-1-15
3.8,2022-1-16
3.8,2022-1-19
3.8,2022-1-20
3.8,2022-1-21
3.8,2022-1-23
3.8,2022-1-24
3.8,2022-1-25
3.8,2022-1-27
3.8,2022-1-28
3.8,2022-1-29
2.65,2022-1-30
2.65,2022-1-31
2.5,2022-2-2
2.5,2022-2-4
2.5,2022-2-6
2.5,2022-2-7
2.5,2022-2-8
2.5,2022-2-9
2.5,2022-2-10
2.5,2022-2-11
2.5,2022-2-12
2.4075,2022-2-13
2.4075,2022-2-14
2.4075,2022-2-16
2.4075,2022-2-17
2.3775,2022-2-18
2.37,2022-2-19
2.37,2022-2-21
2.37,2022-2-22
2.37,2022-2-23
2.37,2022-2-24
2.37,2022-2-28
2.3775,2022-3-2
2.3775,2022-3-4
2.3775,2022-3-6
2.3775,2022-3-8
2.3775,2022-3-9
2.3775,2022-3-12
2.5,2022-3-15
2.5,2022-3-16
2.5,2022-3-18
2.3625,2022-3-26
