prix,date
61.5,2021-10-9
63.95,2021-10-10
66.0,2021-10-14
65.0,2021-10-17
65.0,2021-10-19
64.0,2021-10-20
64.0,2021-10-21
64.8374,2021-10-22
63.99,2021-10-23
63.6421,2021-10-24
63.99,2021-10-25
64.99,2021-10-26
64.79,2021-10-29
65.79,2021-10-31
66.49,2021-11-1
65.79,2021-11-2
66.49,2021-11-5
67.99,2021-11-6
73.0,2021-11-7
72.9,2021-11-11
71.0,2021-11-13
70.9,2021-11-14
66.5,2021-11-23
68.0,2021-11-24
68.0,2021-11-25
70.0,2021-11-26
70.0,2021-11-28
69.99,2021-11-29
70.0,2021-12-1
68.0,2021-12-2
70.5,2021-12-4
72.0,2021-12-5
72.0,2021-12-7
72.0,2021-12-8
72.0,2021-12-9
72.99,2021-12-10
72.99,2021-12-11
72.99,2021-12-12
71.99,2021-12-13
70.94,2021-12-14
73.0,2021-12-15
70.23,2021-12-16
73.0,2021-12-17
73.0,2021-12-18
74.0,2021-12-19
74.0,2021-12-21
74.0,2021-12-22
74.4,2021-12-23
74.4,2021-12-24
74.3,2021-12-25
74.5,2021-12-26
74.5,2021-12-27
74.5,2021-12-28
74.75,2021-12-29
74.75,2021-12-30
74.75,2021-12-31
74.75,2022-1-1
74.75,2022-1-2
74.5,2022-1-3
76.0,2022-1-4
76.0,2022-1-5
76.0,2022-1-6
76.0,2022-1-7
76.0,2022-1-8
76.0,2022-1-9
76.97,2022-1-10
75.8376,2022-1-11
75.9132,2022-1-12
76.0,2022-1-13
76.0,2022-1-14
76.0,2022-1-15
75.0,2022-1-16
75.0,2022-1-18
74.99,2022-1-19
74.99,2022-1-20
73.99,2022-1-21
78.0,2022-1-22
78.0,2022-1-23
75.0,2022-1-24
75.0,2022-1-25
75.0,2022-1-26
74.0,2022-1-27
72.4331,2022-1-28
73.9,2022-1-29
73.9,2022-1-30
75.0,2022-1-31
75.0,2022-2-1
77.0,2022-2-2
77.0,2022-2-3
78.0,2022-2-5
76.5,2022-2-6
78.0,2022-2-7
78.0,2022-2-8
80.0,2022-2-9
78.0,2022-2-10
78.85,2022-2-11
77.6,2022-2-12
77.6,2022-2-13
77.0061,2022-2-14
75.4846,2022-2-15
76.0,2022-2-16
77.2712,2022-2-17
76.8373,2022-2-18
76.4867,2022-2-19
77.55,2022-2-20
77.55,2022-2-21
79.8,2022-2-22
79.0,2022-2-23
78.0,2022-2-24
78.0,2022-2-25
78.0,2022-2-26
79.0,2022-2-28
78.6467,2022-3-1
78.0707,2022-3-2
77.6195,2022-3-3
79.5,2022-3-4
79.5,2022-3-5
79.5,2022-3-6
78.8455,2022-3-7
78.8455,2022-3-8
81.4,2022-3-9
82.0,2022-3-10
82.0,2022-3-11
83.5,2022-3-12
84.0,2022-3-13
84.0,2022-3-14
82.9,2022-3-15
82.9,2022-3-16
82.9,2022-3-17
91.99,2022-3-22
86.0,2022-3-23
91.99,2022-3-24
89.64,2022-3-25
88.0,2022-3-26
88.0,2022-3-28
86.72,2022-3-29
86.72,2022-3-30
86.72,2022-3-31
86.72,2022-4-4
86.99,2022-4-6
86.99,2022-4-7
