prix,date
2969.69,2021-10-27
2969.69,2021-11-30
3239.4895999999994,2022-2-9
3221.3048,2022-2-10
3203.6872999999996,2022-2-11
3186.6445000000003,2022-2-12
3170.355,2022-2-13
3154.6401,2022-2-14
3139.559,2022-2-15
3125.1123,2022-2-16
3111.2996,2022-2-17
3098.0749,2022-2-18
3085.5327,2022-2-19
3073.6662,2022-2-20
3062.3507,2022-2-21
3051.7109,2022-2-22
3041.8126,2022-2-23
3032.3344,2022-2-24
3023.5968,2022-2-25
3015.4934,2022-2-26
3008.0243,2022-2-27
3001.189,2022-2-28
2960.6291,2022-3-1
2946.2351,2022-3-2
2932.3929,2022-3-3
2919.097,2022-3-4
2495.89,2022-3-5
2549.0,2022-3-6
2400.0,2022-3-7
