prix,date
2197.802197802198,2021-10-9
2182.1036106750394,2021-10-10
2182.1036106750394,2021-10-11
2182.0251177394034,2021-10-13
2225.5886970172683,2021-10-14
2224.4897959183672,2021-10-16
2229.1993720565147,2021-10-17
2213.500784929356,2021-10-18
2213.500784929356,2021-10-21
2197.802197802198,2021-10-23
2213.500784929356,2021-10-24
2291.993720565149,2021-10-25
2350.078492935636,2021-10-26
2339.089481946625,2021-10-27
2331.2401883830457,2021-10-28
2331.2401883830457,2021-10-29
2417.5824175824177,2021-10-30
2462.7943485086344,2021-10-31
2462.7943485086344,2021-11-1
2511.6169544740974,2021-11-2
2590.266875981162,2021-11-3
2513.8916797488228,2021-11-4
2511.772370486656,2021-11-5
2513.8916797488228,2021-11-6
2558.868131868132,2021-11-7
2488.222919937206,2021-11-8
2480.3767660910516,2021-11-9
2488.222919937206,2021-11-10
2537.912087912088,2021-11-11
2537.833594976452,2021-11-12
2535.243328100471,2021-11-14
2535.164835164835,2021-11-15
2590.266875981162,2021-11-23
2582.3390894819468,2021-11-24
2582.3390894819468,2021-11-25
2590.266875981162,2021-11-26
2566.718995290424,2021-11-27
2810.047095761381,2021-11-28
2747.252747252747,2021-11-29
2692.229199372057,2021-11-30
2745.6828885400314,2021-12-1
2739.2464678178967,2021-12-3
2715.85557299843,2021-12-4
2794.3485086342225,2021-12-5
2778.649921507064,2021-12-6
2825.7456828885397,2021-12-7
2700.1569858712714,2021-12-8
2649.921507064364,2021-12-9
2700.1569858712714,2021-12-10
2700.1412872841447,2021-12-11
2747.252747252747,2021-12-12
2747.252747252747,2021-12-13
2747.252747252747,2021-12-14
2743.3281004709575,2021-12-15
2743.249607535322,2021-12-16
2715.85557299843,2021-12-17
2740.188383045526,2021-12-18
2715.6985871271586,2021-12-19
2668.602825745683,2021-12-20
2668.602825745683,2021-12-21
2668.602825745683,2021-12-23
2668.602825745683,2021-12-24
2700.0,2021-12-25
2665.6200941915226,2021-12-26
2574.4113029827313,2021-12-27
2574.4113029827313,2021-12-28
2612.2448979591836,2021-12-29
2591.8367346938776,2021-12-30
2577.5510204081634,2021-12-31
2569.8587127158553,2022-1-1
2568.28885400314,2022-1-2
2574.4113029827313,2022-1-3
2566.718995290424,2022-1-4
2561.852433281005,2022-1-5
2511.773940345369,2022-1-6
2549.4505494505493,2022-1-7
2627.9434850863418,2022-1-8
2601.2558869701725,2022-1-9
2601.2543171114603,2022-1-10
2596.546310832025,2022-1-11
2597.9576138147568,2022-1-12
2597.9576138147568,2022-1-13
2597.9576138147568,2022-1-14
2573.940345368917,2022-1-15
2557.927786499215,2022-1-16
2511.773940345369,2022-1-17
2489.795918367347,2022-1-18
2464.678178963893,2022-1-19
2485.0863422291995,2022-1-20
2476.4521193092623,2022-1-21
2462.7943485086344,2022-1-22
2453.6891679748824,2022-1-23
2463.470957613815,2022-1-24
2463.470957613815,2022-1-25
2503.9246467817893,2022-1-26
2492.150706436421,2022-1-27
2480.298273155416,2022-1-28
2425.431711145997,2022-1-29
2417.5824175824177,2022-1-30
2397.9591836734694,2022-1-31
2390.894819466248,2022-2-1
2354.7880690737834,2022-2-2
2452.1193092621666,2022-2-3
2439.5604395604396,2022-2-4
2386.1852433281006,2022-2-5
2417.5824175824177,2022-2-6
2417.5824175824177,2022-2-7
2417.5824175824177,2022-2-8
2417.5824175824177,2022-2-9
2417.5824175824177,2022-2-10
2346.9387755102043,2022-2-11
2349.921507064364,2022-2-12
2343.642072213501,2022-2-13
2385.4003139717424,2022-2-14
2346.9387755102043,2022-2-15
2323.390894819466,2022-2-16
2331.2401883830457,2022-2-17
2331.2401883830457,2022-2-18
2386.1852433281006,2022-2-19
2464.678178963893,2022-2-20
2386.1852433281006,2022-2-21
2464.678178963893,2022-2-22
2456.828885400314,2022-2-23
2456.828885400314,2022-2-24
2456.828885400314,2022-2-25
2433.281004709576,2022-2-26
2433.2025117739404,2022-2-27
2448.3516483516482,2022-2-28
2416.954474097331,2022-3-1
2416.954474097331,2022-3-2
2416.954474097331,2022-3-3
2416.954474097331,2022-3-4
2416.954474097331,2022-3-5
2502.3547880690735,2022-3-6
2502.3547880690735,2022-3-7
2511.6169544740974,2022-3-8
2503.9246467817893,2022-3-9
2480.3767660910516,2022-3-10
2468.602825745683,2022-3-11
2496.0753532182102,2022-3-12
2511.6169544740974,2022-3-13
2527.4725274725274,2022-3-14
2480.3767660910516,2022-3-16
2543.171114599686,2022-3-17
2543.171114599686,2022-3-18
2597.9576138147568,2022-3-21
2773.3124018838303,2022-3-22
2773.3124018838303,2022-3-23
2825.7456828885397,2022-3-24
2762.7943485086344,2022-3-25
2778.4929356357925,2022-3-26
2887.7551020408164,2022-3-27
2872.684458398744,2022-3-28
2841.287284144427,2022-3-29
2825.7456828885397,2022-3-30
2825.7456828885397,2022-3-31
2825.5886970172683,2022-4-4
2808.1632653061224,2022-4-5
2808.1632653061224,2022-4-6
