prix,date
10911.2906,2021-10-24
10991.3173,2021-10-25
10964.8586,2021-10-26
10119.235,2021-10-27
9999.979,2021-10-28
10443.738,2021-10-29
10128.8796,2021-10-30
10053.111,2021-10-31
9983.4737,2021-11-1
9978.3659,2021-11-2
11000.0,2021-12-8
10000.0,2021-12-18
10000.0,2021-12-19
9800.0,2021-12-23
9800.0,2021-12-25
9600.0,2021-12-26
10400.0,2022-1-1
10350.0,2022-1-2
10050.0,2022-1-5
9500.0,2022-1-6
9500.0,2022-1-7
9500.0,2022-1-10
9375.0,2022-1-21
9050.0,2022-1-22
9500.0,2022-1-23
9500.0,2022-2-16
9300.0,2022-2-19
9100.0,2022-2-23
9000.0,2022-2-24
8900.0,2022-2-26
9600.0,2022-2-28
9600.0,2022-3-17
9500.0,2022-3-21
9600.0,2022-3-29
