prix,date
8948.194662480377,2021-10-10
9026.68759811617,2021-10-11
9026.68759811617,2021-10-12
8948.194662480377,2021-10-13
8710.83202511774,2021-10-14
8633.908948194663,2021-10-15
8602.668759811617,2021-10-16
8634.222919937205,2021-10-17
8522.448979591836,2021-10-18
8555.729984301412,2021-10-19
8555.651491365777,2021-10-20
8477.23704866562,2021-10-21
8477.080062794348,2021-10-22
8790.973312401884,2021-10-23
8712.715855572998,2021-10-24
8791.208791208792,2021-10-25
8932.496075353218,2021-10-26
8948.194662480377,2021-10-27
9192.307692307693,2021-10-29
9105.180533751962,2021-10-30
8869.701726844585,2021-10-31
9167.974882260596,2021-11-1
9105.180533751962,2021-11-2
9105.180533751962,2021-11-3
9105.02354788069,2021-11-5
9089.481946624805,2021-11-6
9026.68759811617,2021-11-7
9105.02354788069,2021-11-8
9070.172684458399,2021-11-9
8948.037676609105,2021-11-10
9087.596546310831,2021-11-11
9024.725274725275,2021-11-13
8978.963893249607,2021-11-14
8895.761381475668,2021-11-15
8930.612244897959,2021-11-16
8791.208791208792,2021-11-17
8789.638932496075,2021-11-22
8791.208791208792,2021-11-23
8791.208791208792,2021-11-24
8712.715855572998,2021-11-25
8791.130298273154,2021-11-26
8791.130298273154,2021-11-27
8838.304552590267,2021-11-28
8838.304552590267,2021-11-29
8838.304552590267,2021-11-30
8830.455259026687,2021-12-1
8791.05180533752,2021-12-2
9183.673469387755,2021-12-3
9183.673469387755,2021-12-4
9481.31868131868,2021-12-5
9472.213500784928,2021-12-6
9261.852433281005,2021-12-7
9387.598116169545,2021-12-8
9301.255886970173,2021-12-9
9196.232339089482,2021-12-10
9466.248037676609,2021-12-11
9340.65934065934,2021-12-12
9466.248037676609,2021-12-13
9511.459968602827,2021-12-14
9497.645211930925,2021-12-15
9480.062794348509,2021-12-16
9366.718995290425,2021-12-17
9481.946624803768,2021-12-18
9447.40973312402,2021-12-19
9497.645211930925,2021-12-20
9497.645211930925,2021-12-21
9497.645211930925,2021-12-22
9497.645211930925,2021-12-23
9481.946624803768,2021-12-24
9418.995290423862,2021-12-25
9497.645211930925,2021-12-26
9497.645211930925,2021-12-27
9496.86028257457,2021-12-28
9466.091051805337,2021-12-29
9466.091051805337,2021-12-30
9401.569858712715,2021-12-31
9401.569858712715,2022-1-1
9340.65934065934,2022-1-2
9262.166405023549,2022-1-3
9387.755102040817,2022-1-4
9387.284144427002,2022-1-5
9244.58398744113,2022-1-6
9230.76923076923,2022-1-7
9244.427001569858,2022-1-8
9244.427001569858,2022-1-9
9244.113029827315,2022-1-10
9244.348508634223,2022-1-11
9244.270015698588,2022-1-12
9244.348508634223,2022-1-13
9244.270015698588,2022-1-14
9277.864992150706,2022-1-15
9356.3579277865,2022-1-16
9262.166405023549,2022-1-17
9262.009419152275,2022-1-18
9183.516483516483,2022-1-19
9152.276295133437,2022-1-20
9244.58398744113,2022-1-21
9244.58398744113,2022-1-22
9244.58398744113,2022-1-23
9244.58398744113,2022-1-24
9105.180533751962,2022-1-25
9105.180533751962,2022-1-26
9026.68759811617,2022-1-27
9105.180533751962,2022-1-28
9136.577708006278,2022-1-29
9136.577708006278,2022-1-30
9183.673469387755,2022-1-31
9152.276295133437,2022-2-1
9152.276295133437,2022-2-2
9152.276295133437,2022-2-3
9136.577708006278,2022-2-4
9136.420722135008,2022-2-5
9136.576138147566,2022-2-6
9105.180533751962,2022-2-7
9058.084772370486,2022-2-8
9089.481946624805,2022-2-9
8946.624803767661,2022-2-10
8885.400313971742,2022-2-11
9024.80376766091,2022-2-12
8916.797488226059,2022-2-13
8948.194662480377,2022-2-14
8948.194662480377,2022-2-15
8869.701726844585,2022-2-16
8948.11616954474,2022-2-17
8948.11616954474,2022-2-18
8948.194662480377,2022-2-19
8948.194662480377,2022-2-20
8971.664050235478,2022-2-21
8971.507064364207,2022-2-22
8971.428571428572,2022-2-23
8885.400313971742,2022-2-24
8885.400313971742,2022-2-25
8869.701726844585,2022-2-26
8869.701726844585,2022-2-27
8948.021978021978,2022-2-28
8948.194662480377,2022-3-1
8948.194662480377,2022-3-2
9056.907378335949,2022-3-3
9055.337519623234,2022-3-4
9054.47409733124,2022-3-5
9054.552590266876,2022-3-6
9104.866562009418,2022-3-7
9104.866562009418,2022-3-8
9089.481946624805,2022-3-9
9089.481946624805,2022-3-10
9175.824175824177,2022-3-11
9174.25431711146,2022-3-12
9167.89638932496,2022-3-13
9166.40502354788,2022-3-14
9165.620094191523,2022-3-15
9136.577708006278,2022-3-16
9124.018838304553,2022-3-17
9123.70486656201,2022-3-18
9418.524332810046,2022-3-21
9417.582417582418,2022-3-22
9417.582417582418,2022-3-23
9417.582417582418,2022-3-24
9417.34693877551,2022-3-25
9417.582417582418,2022-3-26
9417.425431711146,2022-3-27
9417.582417582418,2022-3-28
9419.152276295134,2022-3-29
9419.152276295134,2022-3-30
9419.152276295134,2022-3-31
9403.453689167975,2022-4-4
9418.995290423862,2022-4-5
9411.302982731553,2022-4-6
9403.453689167975,2022-4-7
