prix,date
4199.0,2021-10-9
5000.0,2021-10-10
5157.89,2021-10-17
4766.99,2021-10-18
7000.0,2021-10-28
4854.99,2021-10-30
7000.0,2021-11-3
6500.0,2021-11-11
6500.0,2021-11-18
3890.0,2021-11-22
3890.0,2021-11-24
3889.99,2021-11-25
3889.98,2021-11-26
6500.0,2021-11-30
3699.0,2021-12-2
3599.0,2021-12-4
4113.74,2021-12-10
4133.8,2021-12-11
4125.47,2021-12-12
4041.11,2021-12-13
4152.39,2021-12-14
4212.78,2021-12-15
4227.11,2021-12-16
4206.07,2021-12-17
4141.21,2021-12-18
4115.81,2021-12-19
4999.99,2021-12-24
4194.88,2021-12-27
4141.66,2021-12-28
4128.94,2021-12-29
4027.05,2021-12-30
3953.88,2021-12-31
4071.56,2022-1-1
3982.04,2022-1-2
4008.8,2022-1-3
4479.62,2022-1-4
4999.99,2022-1-7
5149.99,2022-1-8
4800.96,2022-1-20
4157.0,2022-1-27
4157.0,2022-1-29
4157.0,2022-2-5
3929.88,2022-2-6
3929.87,2022-2-7
3929.87,2022-2-8
3929.87,2022-2-9
3919.93,2022-2-10
3862.23,2022-2-11
4157.0,2022-2-12
5151.51,2022-2-18
3954.55,2022-2-19
3907.83,2022-2-20
4399.0,2022-2-21
4381.44,2022-2-27
4360.0,2022-2-28
4043.94,2022-3-21
4003.68,2022-3-22
3991.67,2022-3-23
3904.69,2022-3-24
3881.98,2022-3-25
3874.22,2022-3-26
4360.0,2022-3-27
4840.0,2022-4-4
4124.51,2022-4-6
4124.49,2022-4-7
