prix,date
3843.3281004709575,2021-10-9
3846.153846153846,2021-10-10
3844.5839874411304,2021-10-11
3799.0580847723704,2021-10-12
3806.9073783359495,2021-10-13
3767.34693877551,2021-10-14
3682.260596546311,2021-10-15
3806.9073783359495,2021-10-16
3673.390894819466,2021-10-17
3687.912087912088,2021-10-18
3609.105180533752,2021-10-19
3577.394034536892,2021-10-20
3593.0926216640505,2021-10-21
3610.361067503925,2021-10-22
3579.120879120879,2021-10-23
3500.706436420722,2021-10-24
3546.3108320251176,2021-10-25
3748.822605965463,2021-10-26
3750.078492935636,2021-10-27
3729.67032967033,2021-10-28
3594.6624803767663,2021-10-29
3610.675039246468,2021-10-30
3689.1679748822603,2021-10-31
3712.7158555729984,2021-11-1
3751.805337519623,2021-11-2
3704.866562009419,2021-11-3
3736.263736263736,2021-11-4
3736.263736263736,2021-11-5
3750.078492935636,2021-11-6
3859.8901098901097,2021-11-7
3830.4552590266876,2021-11-8
3767.6609105180537,2021-11-9
3814.756671899529,2021-11-10
3783.3594976452123,2021-11-11
3767.6609105180537,2021-11-12
3751.962323390895,2021-11-13
3736.263736263736,2021-11-14
3707.8037676609106,2021-11-15
3704.866562009419,2021-11-16
3736.263736263736,2021-11-17
3704.788069073783,2021-11-18
3686.0282574568287,2021-11-22
3681.16169544741,2021-11-23
3687.2841444270016,2021-11-24
3642.0722135007845,2021-11-25
3657.770800627943,2021-11-26
3610.675039246468,2021-11-27
3657.770800627943,2021-11-28
3641.915227629513,2021-11-29
3626.3736263736264,2021-11-30
3657.770800627943,2021-12-1
3689.1679748822603,2021-12-2
3718.9952904238617,2021-12-3
3814.756671899529,2021-12-4
4073.7833594976455,2021-12-5
4003.1397174254316,2021-12-6
3984.14442700157,2021-12-7
4050.2354788069074,2021-12-8
4079.7488226059654,2021-12-9
4159.968602825746,2021-12-10
4160.047095761382,2021-12-11
4081.632653061224,2021-12-12
4144.4270015698585,2021-12-13
4207.221350078493,2021-12-14
4220.72213500785,2021-12-15
4206.90737833595,2021-12-16
4144.03453689168,2021-12-17
4144.03453689168,2021-12-18
4128.728414442699,2021-12-19
4144.1915227629515,2021-12-20
4136.263736263736,2021-12-21
4189.952904238618,2021-12-22
4199.998430141288,2021-12-23
4186.1852433281,2021-12-24
4185.714285714286,2021-12-25
4194.505494505494,2021-12-26
4175.824175824176,2021-12-27
4139.717425431711,2021-12-28
4034.3799058084774,2021-12-29
4034.536891679749,2021-12-30
4073.7833594976455,2021-12-31
4018.83830455259,2022-1-1
4010.989010989011,2022-1-2
4029.1993720565147,2022-1-3
4018.602825745683,2022-1-4
4016.326530612245,2022-1-5
4001.1773940345365,2022-1-6
3997.723704866562,2022-1-7
3996.6248037676605,2022-1-8
3960.596546310832,2022-1-9
3952.8257456828887,2022-1-10
3940.1098901098903,2022-1-11
3951.1773940345365,2022-1-12
3949.1365777080064,2022-1-13
3908.791208791209,2022-1-14
3869.701726844584,2022-1-15
3850.9434850863418,2022-1-16
3924.568288854003,2022-1-17
3940.3453689167973,2022-1-18
3955.259026687598,2022-1-19
3955.259026687598,2022-1-20
3924.4113029827317,2022-1-21
3955.808477237049,2022-1-22
4002.98273155416,2022-1-23
4002.98273155416,2022-1-24
4002.8257456828887,2022-1-25
4002.668759811617,2022-1-26
3998.2731554160127,2022-1-27
3955.8869701726844,2022-1-28
3924.646781789639,2022-1-29
3893.171114599686,2022-1-30
3854.0690737833593,2022-1-31
3853.990580847724,2022-2-1
3924.646781789639,2022-2-2
3924.646781789639,2022-2-3
3916.797488226059,2022-2-4
3908.8697017268446,2022-2-5
3940.3453689167973,2022-2-6
3948.1946624803763,2022-2-7
3924.4897959183672,2022-2-8
3954.1601255886967,2022-2-9
3907.064364207221,2022-2-10
3893.0926216640505,2022-2-11
3861.852433281005,2022-2-12
3938.3830455259026,2022-2-13
3938.461538461538,2022-2-14
3919.1522762951336,2022-2-15
3919.1522762951336,2022-2-16
3889.638932496075,2022-2-17
3846.153846153846,2022-2-18
3908.791208791209,2022-2-19
3900.313971742543,2022-2-20
3900.313971742543,2022-2-21
3899.8430141287286,2022-2-22
3872.2135007849297,2022-2-23
3861.6954474097333,2022-2-24
3893.249607535322,2022-2-25
3892.464678178964,2022-2-26
3854.0031397174253,2022-2-27
3877.5510204081634,2022-2-28
3916.326530612245,2022-3-1
3955.8869701726844,2022-3-2
3981.153846153846,2022-3-3
4003.1397174254316,2022-3-4
4002.8257456828887,2022-3-5
4003.1397174254316,2022-3-6
4026.6875981161697,2022-3-7
4034.536891679749,2022-3-8
4081.632653061224,2022-3-9
4062.7943485086344,2022-3-10
4062.7943485086344,2022-3-11
4032.967032967033,2022-3-12
4062.7943485086344,2022-3-13
4058.084772370487,2022-3-14
4062.7943485086344,2022-3-15
4062.7943485086344,2022-3-16
4062.323390894819,2022-3-17
4062.7943485086344,2022-3-18
4205.651491365777,2022-3-21
4207.064364207221,2022-3-22
4207.064364207221,2022-3-23
4144.4270015698585,2022-3-24
4128.571428571428,2022-3-25
4113.029827315541,2022-3-26
4113.029827315541,2022-3-27
4142.543171114599,2022-3-28
4144.4270015698585,2022-3-29
4128.728414442699,2022-3-30
4106.750392464678,2022-3-31
4097.095761381475,2022-4-4
4141.287284144427,2022-4-5
4189.6389324960755,2022-4-6
4175.667189952904,2022-4-7
