prix,date
7674.54,2021-10-20
6607.28,2021-10-28
6584.88,2021-10-29
6598.51,2021-10-30
6606.44,2021-11-1
6666.84,2021-11-2
6600.0,2021-12-10
7571.99,2021-12-16
6820.06,2021-12-22
6967.22,2021-12-23
6944.19,2021-12-24
6858.84,2021-12-25
6861.15,2021-12-26
6797.41,2021-12-27
6745.24,2021-12-29
6844.46,2021-12-30
6836.27,2021-12-31
6836.26,2022-1-1
6773.51,2022-1-2
6773.5,2022-1-3
6773.49,2022-1-4
6764.19,2022-1-5
6793.46,2022-1-6
6786.83,2022-1-7
6691.6,2022-1-8
6690.85,2022-1-9
6690.85,2022-1-10
6690.84,2022-1-12
6809.13,2022-1-18
7835.77,2022-3-3
6808.8,2022-3-29
