prix,date
6514.9136577708005,2021-10-10
6514.9136577708005,2021-10-11
6514.8351648351645,2021-10-12
6514.9136577708005,2021-10-13
6514.9136577708005,2021-10-14
6514.9136577708005,2021-10-15
6483.516483516483,2021-10-16
6420.72213500785,2021-10-17
6507.064364207222,2021-10-18
6459.968602825746,2021-10-19
6459.968602825746,2021-10-20
6459.890109890111,2021-10-21
6459.811616954474,2021-10-22
6458.320251177393,2021-10-23
6324.882260596546,2021-10-24
6433.281004709575,2021-10-25
6436.420722135007,2021-10-26
6436.420722135007,2021-10-28
6420.72213500785,2021-10-29
6436.420722135007,2021-10-30
6436.420722135007,2021-11-1
6497.488226059654,2021-11-2
6436.420722135007,2021-11-3
6499.215070643641,2021-11-4
6499.215070643641,2021-11-5
6577.708006279435,2021-11-6
6514.9136577708005,2021-11-7
6483.437990580847,2021-11-8
6420.72213500785,2021-11-9
6420.408163265307,2021-11-11
6404.866562009419,2021-11-12
6405.02354788069,2021-11-13
6404.866562009419,2021-11-14
6404.866562009419,2021-11-15
6404.788069073784,2021-11-16
6405.02354788069,2021-11-17
6483.516483516483,2021-11-22
6436.420722135007,2021-11-23
6436.420722135007,2021-11-24
6436.263736263736,2021-11-25
6405.02354788069,2021-11-26
6405.02354788069,2021-11-27
6350.078492935635,2021-11-28
6530.612244897959,2021-11-29
6530.612244897959,2021-11-30
6530.612244897959,2021-12-1
6593.406593406593,2021-12-2
6662.4803767660915,2021-12-3
6781.789638932496,2021-12-4
6781.789638932496,2021-12-5
6985.2433281004705,2021-12-6
6976.452119309262,2021-12-7
6976.766091051805,2021-12-8
6970.172684458399,2021-12-9
6907.378335949765,2021-12-10
6907.378335949765,2021-12-11
6891.679748822606,2021-12-12
6860.2825745682885,2021-12-13
6828.885400313971,2021-12-14
6828.885400313971,2021-12-15
6828.885400313971,2021-12-16
6828.885400313971,2021-12-17
6828.885400313971,2021-12-18
6750.156985871272,2021-12-19
6875.824175824176,2021-12-20
6813.186813186813,2021-12-21
6907.378335949765,2021-12-22
6907.378335949765,2021-12-23
6907.378335949765,2021-12-24
6907.378335949765,2021-12-25
6821.2700156985875,2021-12-26
6906.593406593406,2021-12-27
6745.682888540032,2021-12-28
6907.378335949765,2021-12-29
6907.064364207222,2021-12-30
6907.064364207222,2021-12-31
6828.885400313971,2022-1-1
6828.885400313971,2022-1-2
6750.392464678179,2022-1-3
6750.392464678179,2022-1-4
6750.376766091052,2022-1-5
6750.392464678179,2022-1-6
6750.392464678179,2022-1-7
6779.434850863422,2022-1-8
6773.155416012559,2022-1-9
6772.213500784929,2022-1-10
6763.631083202512,2022-1-11
6762.951334379905,2022-1-12
6750.392464678179,2022-1-13
6750.313971742543,2022-1-14
6779.905808477237,2022-1-15
6779.905808477237,2022-1-16
6779.905808477237,2022-1-17
6766.091051805337,2022-1-18
6779.905808477237,2022-1-19
6766.091051805337,2022-1-20
6779.905808477237,2022-1-21
6779.905808477237,2022-1-22
6779.905808477237,2022-1-23
6750.390894819467,2022-1-24
6732.496075353219,2022-1-25
6732.496075353219,2022-1-26
6732.496075353219,2022-1-27
6718.995290423863,2022-1-28
6726.530612244898,2022-1-29
6722.919937205651,2022-1-30
6722.919937205651,2022-1-31
6722.919937205651,2022-2-1
6722.919937205651,2022-2-2
6718.838304552591,2022-2-3
6718.838304552591,2022-2-4
6684.458398744112,2022-2-5
6671.899529042386,2022-2-6
6640.502354788069,2022-2-7
6577.629513343799,2022-2-8
6514.7566718995295,2022-2-9
6340.894819466248,2022-2-10
6593.406593406593,2022-2-11
6593.249607535321,2022-2-12
6514.9136577708005,2022-2-13
6436.420722135007,2022-2-14
6593.249607535321,2022-2-15
6575.824175824176,2022-2-16
6593.249607535321,2022-2-17
6593.09262166405,2022-2-18
6593.014128728415,2022-2-19
6593.406593406593,2022-2-20
6593.406593406593,2022-2-21
6575.824175824176,2022-2-22
6575.824175824176,2022-2-23
6622.919937205651,2022-2-24
6622.919937205651,2022-2-25
6593.406593406593,2022-2-26
6575.824175824176,2022-2-27
6575.588697017269,2022-2-28
6575.353218210361,2022-3-1
6514.7566718995295,2022-3-2
6575.824175824176,2022-3-3
6575.824175824176,2022-3-4
6575.74568288854,2022-3-5
6554.160125588696,2022-3-6
6554.160125588696,2022-3-7
6554.160125588696,2022-3-8
6522.76295133438,2022-3-9
6522.76295133438,2022-3-10
6514.7566718995295,2022-3-11
6514.7566718995295,2022-3-12
6514.599686028258,2022-3-13
6546.310832025118,2022-3-14
6530.612244897959,2022-3-15
6530.612244897959,2022-3-16
6514.9136577708005,2022-3-17
6514.9136577708005,2022-3-18
6797.488226059654,2022-3-21
6907.378335949765,2022-3-22
6860.2825745682885,2022-3-24
6821.036106750393,2022-3-25
6828.885400313971,2022-3-26
6828.806907378336,2022-3-27
6819.3877551020405,2022-3-28
6819.466248037676,2022-3-29
6797.488226059654,2022-3-30
6828.885400313971,2022-3-31
6907.378335949765,2022-4-4
6907.378335949765,2022-4-5
6907.378335949765,2022-4-6
6907.378335949765,2022-4-7
